Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2019-01-06;26,00;7,00;20,00;3,00;20,00;10,00;0,00;7,00;0,00;3,00;0,00;7,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;23,00;10,00;0,00;3,00;3,00;13,00;0,00;7,00;0,00;3,00;0,00;3,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-01-20;38,00;3,00;10,00;10,00;10,00;3,00;10,00;6,00;0,00;6,00;0,00;6,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;6,00;6,00;13,00;3,00;10,00;6,00;0,00;3,00;6,00;6,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;3,00;0,00;3,00;0,00
2019-02-03;30,00;7,00;16,00;3,00;3,00;3,00;13,00;10,00;7,00;0,00;0,00;0,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;39,00;7,00;36,00;3,00;10,00;7,00;10,00;0,00;0,00;0,00;3,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;10,00;10,00;0,00;3,00;7,00;0,00;3,00;0,00;3,00;0,00;3,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;20,00;20,00;10,00;16,00;10,00;0,00;0,00;0,00;3,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;24,00;13,00;24,00;13,00;17,00;3,00;3,00;10,00;0,00;3,00;7,00;7,00;0,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-03-10;23,00;13,00;13,00;10,00;16,00;10,00;10,00;6,00;3,00;3,00;3,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
