Semaine;Nice (FR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;35,00;117,50;70,00;0,00;70,00;57,04;60,93;47,96;47,96;22,00;31,00;4,00;35,00;25,93;16,85;12,96;22,04;4,00;4,00;13,00;17,00;0,00;22,00;13,00;9,00;0,00;9,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00
2019-01-13;35,00;80,00;57,50;5,00;47,50;66,11;66,11;53,15;22,04;9,00;22,00;18,00;62,00;12,96;3,89;3,89;3,89;4,00;4,00;4,00;18,00;0,00;13,00;22,00;4,00;0,00;0,00;13,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;47,00;89,05;79,16;0,00;34,63;73,11;50,92;33,94;33,94;64,00;30,00;42,00;55,00;25,51;13,43;8,06;8,06;13,00;17,00;13,00;4,00;4,00;0,00;13,00;4,00;4,00;4,00;4,00;4,00;0,00;9,00;4,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;21,00;76,13;84,00;0,00;49,88;60,38;21,00;30,19;47,25;21,00;34,00;17,00;64,00;47,25;13,13;3,94;13,13;0,00;4,00;8,00;8,00;8,00;4,00;21,00;4,00;4,00;13,00;8,00;4,00;0,00;9,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;62,00;99,20;64,48;0,00;62,00;35,62;80,47;35,62;22,43;31,00;26,00;26,00;53,00;22,43;9,23;9,23;22,43;18,00;9,00;9,00;0,00;9,00;13,00;13,00;13,00;9,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;4,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;44,00;103,53;54,35;0,00;46,59;38,82;82,82;38,82;47,88;40,00;18,00;22,00;40,00;30,67;13,33;17,33;26,67;4,00;9,00;4,00;0,00;9,00;31,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;18,00;100,29;41,14;0,00;64,29;39,86;61,71;43,71;12,86;31,00;22,00;27,00;45,00;21,86;18,00;12,86;9,00;9,00;4,00;18,00;9,00;13,00;4,00;9,00;4,00;9,00;13,00;4,00;4,00;4,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00
2019-02-24;39,00;114,56;56,06;4,88;63,38;48,10;83,20;26,00;26,00;52,00;35,00;26,00;52,00;35,10;9,10;22,10;13,00;17,00;9,00;9,00;9,00;4,00;4,00;13,00;0,00;9,00;0,00;17,00;9,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00
2019-03-03;35,00;110,00;57,50;0,00;30,00;49,26;49,26;31,11;31,11;36,00;27,00;31,00;36,00;31,11;3,89;18,15;22,04;40,00;13,00;4,00;13,00;4,00;22,00;9,00;0,00;4,00;0,00;4,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;52,00;111,43;59,43;0,00;24,76;26,00;61,10;26,00;26,00;35,00;17,00;13,00;57,00;26,00;9,10;3,90;13,00;9,00;17,00;4,00;0,00;4,00;13,00;17,00;4,00;4,00;4,00;4,00;0,00;9,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00
