Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Les Deux Alpes (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;33,00;97,63;53,63;75,63;75,63;55,50;55,50;78,00;33,00;45,00;56,00;22,00;22,00;22,00;22,00;22,00;22,00;0,00;0,00;11,00;22,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;67,00;100,50;44,67;44,67;33,50;101,24;101,24;44,67;44,67;56,00;45,00;0,00;45,00;11,00;0,00;11,00;45,00;11,00;22,00;22,00;11,00;0,00;11,00;11,00;0,00;0,00;0,00;0,00
2019-01-20;54,00;142,11;32,68;65,37;44,05;97,50;22,50;66,00;43,50;0,00;54,00;33,00;22,00;0,00;11,00;0,00;22,00;11,00;11,00;11,00;11,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;54,00;86,68;108,00;108,00;86,68;54,00;33,00;108,00;43,50;54,00;0,00;11,00;22,00;22,00;32,00;11,00;11,00;32,00;11,00;32,00;32,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00
2019-02-03;34,00;90,67;68,00;34,00;11,33;44,35;78,35;34,00;0,00;34,00;22,00;22,00;11,00;56,00;0,00;11,00;11,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;45,00;67,50;67,50;56,25;22,50;57,00;57,00;57,00;45,00;22,00;0,00;11,00;0,00;11,00;0,00;22,00;0,00;22,00;22,00;0,00;22,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;80,00;56,14;102,46;80,00;22,46;12,08;22,64;80,00;0,00;11,00;34,00;46,00;23,00;23,00;23,00;0,00;11,00;11,00;0,00;0,00;11,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00
2019-02-24;89,00;111,60;77,70;66,40;77,70;111,25;111,25;66,75;54,88;44,00;11,00;45,00;56,00;0,00;22,00;44,00;11,00;0,00;33,00;33,00;22,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;23,00;70,44;93,44;81,94;93,44;153,33;58,27;82,80;35,27;11,00;11,00;34,00;11,00;23,00;11,00;0,00;0,00;0,00;23,00;23,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;22,00;33,00;130,63;53,63;44,00;76,27;66,00;54,27;32,27;11,00;33,00;0,00;0,00;11,00;22,00;0,00;0,00;22,00;11,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;11,00;44,00;0,00;33,00;44,00;137,50;42,63;31,63;11,00;11,00;23,00;57,00;11,00;0,00;11,00;11,00;11,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;35,00;11,67;23,33;23,33;23,33;59,35;22,83;22,83;0,00;12,00;12,00;0,00;0,00;35,00;0,00;12,00;23,00;0,00;23,00;23,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;22,00;53,63;44,00;53,63;64,63;98,27;44,00;54,27;0,00;22,00;0,00;0,00;11,00;22,00;0,00;11,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;35,00;46,20;35,00;46,20;93,80;46,67;58,33;46,67;35,00;35,00;0,00;0,00;0,00;24,00;12,00;0,00;12,00;0,00;0,00;0,00;12,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00
2019-04-14;12,00;12,00;12,00;12,00;22,67;12,00;37,50;12,00;0,00;12,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;12,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;58,00;0,00;22,63;11,32;11,32;11,90;11,90;11,90;0,00;12,00;12,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;54,00;0,00;11,37;11,37;11,37;0,00;10,50;10,50;10,50;11,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;32,00;10,18;0,00;10,18;10,18;0,00;10,67;10,67;10,67;32,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21,00;11,00;11,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00
