Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;12,00;66,00;51,00;129,00;0,00;12,00;12,00;0,00;12,00
2019-01-13;35,00;115,77;24,23;94,23;0,00;0,00;12,00;0,00;24,00
2019-01-20;0,00;21,00;4,00;29,00;0,00;0,00;11,00;0,00;0,00
2019-01-27;34,00;99,38;10,46;109,85;0,00;0,00;11,00;11,00;0,00
2019-02-03;59,00;59,00;24,14;80,45;0,00;0,00;12,00;0,00;12,00
2019-02-10;59,00;45,59;24,14;59,00;0,00;24,00;12,00;0,00;0,00
2019-02-17;48,00;117,33;24,00;69,33;0,00;0,00;0,00;0,00;12,00
2019-02-24;23,00;53,67;0,00;43,44;0,00;0,00;0,00;0,00;0,00
2019-03-03;24,00;93,33;34,67;128,00;0,00;0,00;12,00;0,00;12,00
2019-03-10;46,00;81,18;10,82;46,00;0,00;23,00;12,00;0,00;0,00
2019-03-17;24,00;58,67;69,33;69,33;0,00;0,00;0,00;24,00;12,00
2019-03-24;48,00;82,67;34,67;96,00;0,00;0,00;12,00;12,00;0,00
2019-03-31;23,00;56,22;33,22;66,44;23,00;0,00;12,00;0,00;0,00
2019-04-07;0,00;28,00;9,00;23,00;0,00;13,00;13,00;13,00;0,00
2019-04-14;25,00;63,89;0,00;52,78;0,00;0,00;13,00;13,00;13,00
2019-04-21;37,00;71,36;47,57;84,57;0,00;0,00;24,00;24,00;0,00
2019-04-28;23,00;71,88;23,00;60,38;11,50;0,00;0,00;0,00;0,00
2019-05-05;33,00;44,00;22,00;90,75;0,00;0,00;0,00;0,00;0,00
2019-05-12;0,00;26,00;17,00;56,00;0,00;0,00;12,00;35,00;0,00
2019-05-19;11,00;79,75;57,75;33,00;11,00;0,00;11,00;0,00;0,00
2019-05-26;11,00;57,75;0,00;46,75;0,00;0,00;11,00;0,00;0,00
2019-06-02;21,00;42,00;0,00;84,00;0,00;0,00;0,00;11,00;0,00
2019-06-09;11,00;44,00;11,00;90,75;0,00;0,00;11,00;11,00;11,00
2019-06-16;35,00;137,31;35,00;80,77;0,00;0,00;23,00;12,00;12,00
