Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2019-01-06;26,00;325,00;65,00;13,00;26,00;20,00;13,00;17,00;7,00;17,00;0,00;10,00;3,00
2019-01-13;23,00;253,00;69,00;23,00;23,00;23,00;13,00;0,00;0,00;3,00;7,00;0,00;7,00
2019-01-20;38,00;316,67;63,33;12,67;12,67;26,00;10,00;3,00;16,00;6,00;3,00;0,00;0,00
2019-01-27;6,00;132,00;24,00;3,00;6,00;26,00;6,00;3,00;6,00;3,00;6,00;3,00;0,00
2019-02-03;30,00;240,00;40,00;20,00;10,00;33,00;30,00;10,00;10,00;13,00;0,00;7,00;0,00
2019-02-10;39,00;260,00;78,00;26,00;13,00;26,00;16,00;0,00;10,00;3,00;0,00;10,00;0,00
2019-02-17;10,00;210,00;70,00;10,00;10,00;13,00;13,00;0,00;17,00;13,00;10,00;0,00;0,00
2019-02-24;20,00;240,00;40,00;20,00;30,00;20,00;20,00;10,00;7,00;7,00;10,00;7,00;0,00
2019-03-03;24,00;276,00;84,00;24,00;12,00;30,00;24,00;7,00;3,00;14,00;0,00;14,00;3,00
2019-03-10;23,00;241,50;57,50;23,00;34,50;33,00;20,00;3,00;3,00;0,00;3,00;3,00;10,00
2019-03-17;47,00;293,75;70,50;11,75;11,75;37,00;10,00;14,00;7,00;10,00;3,00;7,00;3,00
2019-03-24;7,00;161,00;42,00;7,00;7,00;21,00;21,00;7,00;10,00;0,00;7,00;21,00;3,00
2019-03-31;46,00;310,50;80,50;23,00;34,50;13,00;20,00;13,00;10,00;0,00;10,00;7,00;3,00
2019-04-07;32,00;298,67;64,00;21,33;21,33;39,00;28,00;11,00;7,00;21,00;7,00;14,00;0,00
2019-04-14;47,00;1175,00;82,25;23,50;11,75;18,00;36,00;11,00;14,00;33,00;14,00;14,00;0,00
2019-04-21;51,00;255,00;76,50;12,75;25,50;27,00;14,00;7,00;10,00;21,00;17,00;0,00;3,00
2019-04-28;45,00;247,50;78,75;11,25;11,25;32,00;26,00;19,00;0,00;13,00;3,00;10,00;3,00
2019-05-05;35,00;245,00;46,67;23,33;35,00;22,00;13,00;16,00;0,00;13,00;0,00;6,00;0,00
2019-05-12;46,00;253,00;46,00;11,50;34,50;20,00;20,00;7,00;7,00;7,00;3,00;0,00;0,00
2019-05-19;22,00;264,00;55,00;22,00;44,00;19,00;13,00;6,00;10,00;10,00;3,00;13,00;0,00
2019-05-26;35,00;280,00;58,33;23,33;23,33;26,00;13,00;6,00;10,00;6,00;6,00;6,00;0,00
2019-06-02;45,00;303,75;45,00;33,75;22,50;33,00;3,00;12,00;15,00;24,00;6,00;6,00;6,00
2019-06-09;44,00;220,00;44,00;22,00;33,00;35,00;28,00;22,00;16,00;13,00;3,00;9,00;13,00
2019-06-16;29,00;183,67;58,00;19,33;19,33;52,00;20,00;6,00;16,00;7,00;3,00;13,00;3,00
2019-06-23;38,00;228,00;101,33;12,67;25,33;42,00;38,00;10,00;3,00;14,00;10,00;3,00;3,00
2019-06-30;42,00;262,50;63,00;10,50;42,00;21,00;45,00;14,00;17,00;10,00;7,00;17,00;10,00
2019-07-07;88,00;264,00;99,00;22,00;22,00;61,00;44,00;10,00;17,00;24,00;14,00;14,00;10,00
2019-07-14;36,00;288,00;72,00;24,00;36,00;25,00;18,00;22,00;14,00;11,00;0,00;11,00;11,00
2019-07-21;72,00;372,00;60,00;24,00;36,00;42,00;27,00;15,00;23,00;27,00;15,00;8,00;15,00
2019-07-28;29,00;435,00;101,50;43,50;29,00;33,00;25,00;14,00;7,00;7,00;7,00;15,00;11,00
2019-08-04;39,00;364,00;117,00;39,00;26,00;53,00;21,00;14,00;28,00;14,00;11,00;28,00;11,00
2019-08-11;24,00;396,00;84,00;36,00;24,00;38,00;34,00;3,00;14,00;17,00;7,00;3,00;0,00
2019-08-18;42,00;252,00;84,00;31,50;21,00;35,00;18,00;21,00;28,00;11,00;4,00;14,00;4,00
2019-08-25;27,00;297,00;94,50;27,00;13,50;17,00;17,00;3,00;3,00;17,00;3,00;14,00;0,00
2019-09-01;59,00;259,60;70,80;23,60;11,80;43,00;30,00;10,00;7,00;3,00;3,00;7,00;3,00
2019-09-08;47,00;305,50;94,00;35,25;23,50;37,00;17,00;7,00;14,00;3,00;7,00;24,00;10,00
2019-09-15;40,00;333,33;93,33;26,67;13,33;40,00;17,00;3,00;7,00;7,00;3,00;13,00;0,00
2019-09-22;44,00;286,00;77,00;22,00;33,00;44,00;12,00;9,00;12,00;3,00;3,00;6,00;3,00
2019-09-29;28,00;378,00;84,00;28,00;28,00;25,00;16,00;12,00;0,00;6,00;6,00;3,00;0,00
2019-10-06;25,00;262,50;112,50;25,00;25,00;25,00;16,00;3,00;13,00;3,00;6,00;3,00;3,00
2019-10-13;16,00;336,00;96,00;32,00;32,00;19,00;6,00;25,00;16,00;0,00;6,00;0,00;0,00
2019-10-20;22,00;275,00;99,00;22,00;22,00;25,00;6,00;9,00;16,00;6,00;6,00;0,00;6,00
2019-10-27;29,00;536,50;116,00;43,50;43,50;26,00;13,00;6,00;6,00;16,00;3,00;0,00;0,00
2019-11-03;12,00;396,00;72,00;24,00;12,00;19,00;12,00;12,00;12,00;3,00;0,00;0,00;3,00
2019-11-10;13,00;325,00;78,00;39,00;13,00;3,00;25,00;0,00;19,00;9,00;6,00;3,00;0,00
2019-11-17;25,00;275,00;62,50;25,00;25,00;19,00;15,00;3,00;6,00;3,00;3,00;0,00;0,00
2019-11-24;15,00;255,00;120,00;45,00;30,00;15,00;0,00;3,00;12,00;6,00;3,00;3,00;3,00
2019-12-01;34,00;260,67;68,00;45,33;22,67;19,00;9,00;15,00;0,00;3,00;6,00;3,00;0,00
2019-12-08;36,00;252,00;36,00;36,00;12,00;12,00;6,00;9,00;21,00;12,00;6,00;0,00;0,00
2019-12-15;36,00;216,00;72,00;60,00;24,00;12,00;18,00;6,00;12,00;0,00;3,00;0,00;3,00
2019-12-22;23,00;310,50;115,00;34,50;11,50;23,00;23,00;7,00;10,00;7,00;3,00;3,00;3,00
2019-12-29;22,00;275,00;55,00;22,00;11,00;32,00;13,00;3,00;10,00;3,00;0,00;10,00;3,00
2020-01-05;26,00;273,00;39,00;26,00;26,00;32,00;20,00;6,00;9,00;9,00;3,00;0,00;3,00
2020-01-12;28,00;294,00;98,00;28,00;14,00;23,00;9,00;11,00;6,00;14,00;3,00;3,00;6,00
2020-01-19;24,00;384,00;84,00;24,00;12,00;30,00;12,00;6,00;3,00;12,00;3,00;6,00;0,00
2020-01-26;18,00;225,00;54,00;9,00;18,00;32,00;0,00;15,00;21,00;6,00;0,00;6,00;0,00
2020-02-02;27,00;283,50;81,00;13,50;40,50;12,00;15,00;6,00;12,00;6,00;9,00;9,00;6,00
2020-02-09;26,00;260,00;39,00;26,00;13,00;17,00;17,00;6,00;6,00;6,00;6,00;12,00;6,00
2020-02-16;35,00;291,67;46,67;23,33;23,33;23,00;12,00;15,00;17,00;9,00;3,00;9,00;0,00
2020-02-23;23,00;241,50;57,50;34,50;23,00;23,00;20,00;6,00;6,00;9,00;0,00;9,00;6,00
2020-03-01;26,00;351,00;52,00;13,00;26,00;38,00;32,00;9,00;12,00;3,00;14,00;6,00;3,00
2020-03-08;100,00;277,78;44,44;11,11;11,11;8,00;14,00;0,00;8,00;6,00;3,00;6,00;8,00
2020-03-15;8,00;104,00;16,00;8,00;4,00;19,00;8,00;11,00;8,00;3,00;0,00;0,00;0,00
2020-03-22;0,00;7,00;1,00;0,50;1,00;14,00;5,00;8,00;0,00;3,00;3,00;0,00;0,00
2020-03-29;11,00;77,00;5,50;11,00;11,00;11,00;5,00;8,00;5,00;3,00;0,00;0,00;0,00
2020-04-05;6,00;84,00;6,00;6,00;6,00;14,00;6,00;14,00;0,00;3,00;0,00;3,00;3,00
2020-04-12;5,00;60,00;10,00;5,00;5,00;5,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00
2020-04-19;0,00;7,00;1,00;1,00;0,00;5,00;0,00;0,00;3,00;8,00;0,00;0,00;0,00
2020-04-26;10,00;50,00;10,00;5,00;0,00;3,00;3,00;10,00;5,00;3,00;0,00;0,00;0,00
2020-05-03;3,00;36,00;6,00;3,00;0,00;8,00;0,00;5,00;0,00;0,00;0,00;5,00;0,00
2020-05-10;0,00;6,00;1,00;0,50;0,50;5,00;8,00;3,00;0,00;3,00;0,00;3,00;3,00
2020-05-17;8,00;56,00;16,00;8,00;4,00;8,00;6,00;6,00;0,00;6,00;6,00;0,00;0,00
2020-05-24;19,00;57,00;19,00;9,50;9,50;13,00;5,00;5,00;5,00;5,00;3,00;5,00;5,00
2020-05-31;30,00;80,00;20,00;5,00;10,00;23,00;3,00;0,00;5,00;13,00;5,00;15,00;3,00
2020-06-07;27,00;81,00;54,00;13,50;27,00;30,00;23,00;3,00;0,00;3,00;10,00;10,00;0,00
2020-06-14;34,00;102,00;34,00;11,33;45,33;34,00;16,00;0,00;13,00;18,00;3,00;10,00;13,00
2020-06-21;27,00;175,50;67,50;13,50;27,00;25,00;25,00;5,00;5,00;11,00;3,00;14,00;3,00
2020-06-28;29,00;154,67;58,00;9,67;29,00;64,00;32,00;16,00;11,00;27,00;11,00;27,00;8,00
2020-07-05;43,00;193,50;64,50;10,75;32,25;66,00;34,00;17,00;9,00;26,00;3,00;11,00;9,00
2020-07-12;73,00;292,00;85,17;24,33;36,50;49,00;27,00;3,00;3,00;6,00;46,00;12,00;3,00
2020-07-19;42,00;220,50;63,00;21,00;10,50;55,00;29,00;13,00;13,00;29,00;19,00;6,00;6,00
2020-07-26;55,00;176,00;55,00;33,00;11,00;37,00;24,00;12,00;9,00;18,00;6,00;6,00;9,00
2020-08-02;26,00;143,00;52,00;13,00;26,00;44,00;18,00;6,00;6,00;12,00;3,00;12,00;6,00
2020-08-09;42,00;189,00;31,50;10,50;10,50;48,00;20,00;6,00;3,00;11,00;3,00;8,00;11,00
2020-08-16;31,00;124,00;51,67;20,67;10,33;31,00;17,00;8,00;3,00;14,00;6,00;11,00;8,00
2020-08-23;39,00;143,00;78,00;13,00;26,00;22,00;20,00;8,00;11,00;14,00;6,00;3,00;11,00
2020-08-30;31,00;103,33;20,67;10,33;10,33;14,00;3,00;11,00;0,00;11,00;0,00;3,00;3,00
2020-09-06;23,00;103,50;57,50;11,50;11,50;12,00;23,00;6,00;0,00;3,00;3,00;9,00;12,00
2020-09-13;20,00;90,00;10,00;10,00;10,00;9,00;12,00;9,00;3,00;6,00;0,00;0,00;0,00
2020-09-20;11,00;88,00;33,00;22,00;11,00;8,00;11,00;3,00;6,00;3,00;3,00;0,00;0,00
2020-09-27;20,00;100,00;40,00;10,00;10,00;8,00;8,00;3,00;6,00;8,00;6,00;0,00;0,00
2020-10-04;17,00;187,00;68,00;17,00;8,50;9,00;9,00;3,00;6,00;6,00;0,00;3,00;3,00
2020-10-11;9,00;72,00;27,00;9,00;4,50;0,00;9,00;0,00;3,00;3,00;3,00;0,00;0,00
2020-10-18;3,00;66,00;18,00;6,00;6,00;6,00;3,00;3,00;0,00;0,00;3,00;3,00;0,00
2020-10-25;28,00;98,00;7,00;7,00;14,00;11,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00
2020-11-01;0,00;4,00;1,00;2,00;0,50;5,00;0,00;3,00;3,00;0,00;3,00;3,00;0,00
2020-11-08;3,00;30,00;6,00;3,00;6,00;6,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00
2020-11-15;3,00;42,00;6,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00
2020-11-22;3,00;42,00;6,00;0,00;6,00;8,00;3,00;6,00;0,00;6,00;3,00;3,00;0,00
2020-11-29;6,00;96,00;24,00;6,00;6,00;3,00;6,00;6,00;0,00;6,00;6,00;3,00;0,00
2020-12-06;6,00;96,00;12,00;12,00;12,00;3,00;6,00;11,00;0,00;3,00;3,00;3,00;0,00
2020-12-13;0,00;9,00;2,00;0,50;0,50;14,00;12,00;3,00;0,00;3,00;0,00;0,00;0,00
2020-12-20;15,00;120,00;30,00;30,00;15,00;15,00;6,00;3,00;3,00;0,00;0,00;3,00;6,00
2020-12-27;12,00;120,00;24,00;12,00;0,00;15,00;3,00;3,00;3,00;0,00;0,00;3,00;0,00
2021-01-03;17,00;136,00;17,00;8,50;17,00;6,00;6,00;6,00;11,00;3,00;0,00;3,00;0,00
2021-01-10;3,00;66,00;6,00;0,00;6,00;3,00;3,00;6,00;0,00;6,00;3,00;3,00;0,00
2021-01-17;14,00;56,00;28,00;7,00;14,00;8,00;8,00;3,00;0,00;6,00;0,00;0,00;0,00
2021-01-24;11,00;66,00;22,00;0,00;0,00;11,00;3,00;6,00;0,00;9,00;0,00;0,00;0,00
