Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;35,00;437,50;367,50;227,50;210,00;131,76;100,88;105,00;115,29;96,25;87,50;52,50;87,50;70,00;86,33;46,67;14,00;44,00;31,00;39,00;26,00;26,00;40,00;22,00;40,00;9,00;13,00;13,00;13,00;13,00;4,00;9,00;13,00;4,00;4,00;0,00
2019-01-13;35,00;437,50;315,00;280,00;175,00;168,82;102,94;65,88;152,35;88,96;80,21;75,83;88,96;86,33;81,67;44,33;30,33;40,00;71,00;44,00;67,00;22,00;40,00;44,00;27,00;4,00;13,00;13,00;13,00;0,00;4,00;13,00;0,00;9,00;13,00;0,00
2019-01-20;47,00;407,33;297,67;188,00;156,67;126,70;79,70;71,52;132,83;69,03;73,44;73,44;77,84;72,85;94,00;37,60;16,45;43,00;90,00;30,00;47,00;26,00;13,00;17,00;4,00;4,00;21,00;13,00;4,00;13,00;4,00;4,00;8,00;13,00;4,00;4,00
2019-01-27;21,00;462,00;441,00;252,00;189,00;157,50;81,90;117,60;210,00;74,20;85,40;57,40;78,40;72,33;72,33;4,67;4,67;26,00;55,00;25,00;38,00;34,00;30,00;21,00;30,00;9,00;21,00;0,00;21,00;21,00;4,00;4,00;4,00;8,00;0,00;4,00
2019-02-03;62,00;387,50;449,50;248,00;155,00;183,93;126,07;119,87;142,60;107,76;90,05;85,62;63,48;83,46;76,31;16,69;35,77;35,00;44,00;26,00;22,00;49,00;22,00;22,00;31,00;22,00;36,00;0,00;4,00;9,00;4,00;13,00;9,00;4,00;0,00;4,00
2019-02-10;44,00;308,00;278,67;161,33;132,00;142,00;100,00;116,00;116,00;146,67;70,40;48,40;66,00;80,67;63,56;53,78;36,67;49,00;66,00;35,00;35,00;49,00;22,00;31,00;9,00;9,00;31,00;0,00;22,00;9,00;13,00;0,00;9,00;18,00;4,00;4,00
2019-02-17;18,00;378,00;324,00;162,00;126,00;158,00;92,00;96,00;154,00;102,00;46,50;73,50;82,50;81,00;67,50;13,50;13,50;31,00;54,00;13,00;13,00;27,00;18,00;31,00;27,00;27,00;9,00;0,00;0,00;22,00;13,00;9,00;18,00;9,00;4,00;0,00
2019-02-24;39,00;351,00;221,00;182,00;143,00;158,05;100,58;112,89;112,89;95,33;56,33;43,33;69,33;75,56;80,44;17,06;58,50;22,00;52,00;30,00;22,00;35,00;22,00;13,00;35,00;17,00;22,00;4,00;22,00;13,00;13,00;9,00;9,00;4,00;9,00;4,00
2019-03-03;35,00;507,50;420,00;297,50;192,50;175,00;121,47;125,59;133,82;88,96;62,71;67,08;93,33;56,00;100,33;25,67;35,00;36,00;54,00;22,00;54,00;49,00;31,00;4,00;18,00;36,00;27,00;4,00;0,00;4,00;13,00;4,00;18,00;9,00;0,00;4,00
2019-03-10;52,00;312,00;273,00;182,00;169,00;102,00;90,00;116,00;110,00;143,00;86,67;65,00;65,00;78,00;47,27;42,55;30,73;26,00;61,00;43,00;48,00;26,00;26,00;26,00;13,00;26,00;18,00;0,00;18,00;4,00;0,00;4,00;13,00;4,00;0,00;9,00
2019-03-17;44,00;293,33;249,33;176,00;146,67;108,00;78,00;78,00;140,00;67,47;54,27;76,27;98,27;50,95;48,63;20,84;9,26;58,00;58,00;53,00;13,00;22,00;18,00;40,00;9,00;18,00;18,00;13,00;4,00;13,00;4,00;4,00;9,00;18,00;0,00;0,00
