Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;18,00;18,00;0,00;0,00;0,00;18,00;0,00;0,00;0,00;0,00;72,00;18,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;19,00;0,00;19,00;0,00;0,00;19,00;0,00;0,00;19,00;19,00;58,90;19,00;0,00;0,00;0,00;19,00;0,00;0,00;19,00;0,00;0,00
2019-01-20;18,00;18,00;18,00;18,00;0,00;0,00;18,00;0,00;18,00;10,00;10,00;10,00;0,00;0,00;0,00;52,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;0,00;0,00;0,00;0,00;0,00;36,00;0,00;0,00;36,00;0,00;68,00;51,00;0,00;0,00;0,00;34,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;0,00;0,00;0,00;0,00;0,00;37,00;0,00;0,00;19,00;0,00;10,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;35,00;0,00;0,00
2019-02-10;38,00;19,00;38,00;0,00;0,00;38,00;0,00;0,00;0,00;0,00;110,55;38,00;0,00;0,00;0,00;38,00;0,00;76,00;0,00;0,00;0,00
2019-02-17;19,00;19,00;19,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;74,27;0,00;0,00;0,00;0,00;0,00;0,00;0,00;19,00;0,00;0,00
2019-02-24;38,00;19,51;19,51;0,00;0,00;0,00;0,00;0,00;0,00;0,00;159,60;38,00;0,00;0,00;0,00;38,00;38,00;0,00;38,00;0,00;0,00
2019-03-03;34,00;68,00;34,00;68,00;34,00;0,00;0,00;0,00;0,00;0,00;85,00;34,00;0,00;0,00;0,00;51,00;17,00;0,00;0,00;0,00;0,00
2019-03-10;0,00;0,00;0,00;0,00;0,00;18,00;0,00;0,00;18,00;0,00;21,00;31,00;0,00;0,00;0,00;18,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;54,00;54,00;27,00;0,00;0,00;27,00;0,00;0,00;0,00;0,00;89,44;72,56;0,00;0,00;0,00;0,00;0,00;0,00;36,00;0,00;18,00
2019-03-24;58,00;0,00;0,00;19,33;0,00;19,00;0,00;0,00;0,00;0,00;110,73;110,73;0,00;0,00;0,00;116,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;19,00;0,00;19,00;0,00;0,00;18,00;0,00;0,00;0,00;0,00;52,00;31,00;0,00;0,00;18,00;18,00;53,00;0,00;35,00;0,00;0,00
2019-04-07;0,00;18,00;18,00;18,00;0,00;35,00;0,00;0,00;35,00;0,00;66,30;49,30;0,00;17,00;0,00;0,00;0,00;0,00;17,00;17,00;0,00
2019-04-14;41,00;21,00;21,00;0,00;21,00;21,00;0,00;0,00;0,00;0,00;92,00;58,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;39,00
2019-04-21;21,00;21,00;21,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;80,50;40,25;0,00;0,00;0,00;40,95;0,00;0,00;0,00;0,00;0,00
2019-04-28;68,00;68,00;0,00;22,67;0,00;68,00;0,00;0,00;0,00;17,00;85,00;170,00;0,00;0,00;0,00;34,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;0,00;18,00;0,00;18,00;0,00;54,00;0,00;0,00;0,00;0,00;10,00;40,00;10,00;0,00;0,00;34,00;0,00;0,00;17,00;17,00;0,00
2019-05-12;56,00;0,00;0,00;0,00;0,00;19,00;0,00;0,00;0,00;0,00;117,60;235,20;0,00;0,00;0,00;56,00;56,00;0,00;0,00;56,00;0,00
2019-05-19;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;61,00;10,00;0,00;0,00;0,00;17,00;17,00;0,00;17,00;0,00;0,00
2019-05-26;0,00;0,00;100,00;0,00;0,00;40,00;0,00;0,00;40,00;0,00;56,00;56,00;11,00;0,00;0,00;19,00;0,00;0,00;19,00;0,00;38,00
2019-06-02;19,00;19,00;0,00;0,00;19,00;19,00;0,00;19,00;19,00;0,00;10,00;10,00;0,00;0,00;0,00;18,00;0,00;0,00;18,00;0,00;0,00
