Semaine;Nice (FR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;17,00;74,80;0,00;0,00;0,00;27,00;8,00;14,00;27,00;44,00;11,00;14,00;11,00;0,00;8,00;14,00;3,00;3,00;3,00;3,00;3,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;28,00;44,47;4,94;0,00;11,53;23,00;6,00;6,00;26,00;37,00;11,00;11,00;25,00;14,00;9,00;3,00;6,00;3,00;6,00;3,00;6,00;0,00;3,00;9,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;19,00;96,58;7,92;0,00;11,08;36,00;6,00;14,00;22,00;50,00;8,00;6,00;19,00;3,00;8,00;11,00;3,00;3,00;11,00;8,00;6,00;6,00;3,00;6,00;8,00;0,00;0,00;0,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;22,00;62,62;0,00;0,00;8,46;11,00;8,00;5,00;11,00;24,00;14,00;3,00;30,00;5,00;16,00;3,00;0,00;0,00;0,00;5,00;0,00;5,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;5,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;3,00;0,00
2019-02-03;14,00;91,00;8,75;0,00;8,75;20,00;14,00;8,00;23,00;45,00;6,00;8,00;17,00;3,00;11,00;0,00;3,00;3,00;3,00;6,00;0,00;6,00;0,00;14,00;3,00;0,00;0,00;0,00;3,00;3,00;0,00;0,00;0,00;3,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;23,00;98,57;4,93;0,00;4,93;20,00;14,00;11,00;14,00;34,00;11,00;9,00;11,00;12,00;9,00;14,00;3,00;3,00;9,00;9,00;0,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;26,00;110,50;8,13;0,00;8,13;32,00;20,00;9,00;15,00;64,00;0,00;17,00;12,00;3,00;18,00;6,00;3,00;3,00;3,00;3,00;0,00;15,00;0,00;9,00;3,00;0,00;3,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;28,00;136,71;4,94;0,00;8,24;37,00;11,00;3,00;31,00;26,00;11,00;6,00;9,00;11,00;17,00;20,00;6,00;3,00;6,00;11,00;0,00;14,00;3,00;14,00;6,00;0,00;0,00;0,00;0,00;0,00;3,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;19,00;89,82;3,45;0,00;5,18;22,00;16,00;14,00;19,00;35,00;14,00;8,00;8,00;11,00;14,00;5,00;0,00;0,00;5,00;11,00;3,00;5,00;5,00;3,00;5,00;0,00;0,00;0,00;3,00;3,00;3,00;3,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;23,00;118,54;14,15;0,00;8,85;31,00;3,00;8,00;22,00;59,00;17,00;0,00;22,00;11,00;28,00;8,00;0,00;0,00;3,00;3,00;0,00;11,00;6,00;0,00;11,00;0,00;0,00;3,00;0,00;8,00;3,00;6,00;3,00;0,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
