Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;79,00;112,86;22,57;79,00;0,00;11,00;11,00;0,00;0,00
2019-01-13;23,00;47,64;23,00;118,29;0,00;0,00;0,00;12,00;12,00
2019-01-20;46,00;23,00;23,00;103,50;11,50;11,00;23,00;0,00;0,00
2019-01-27;22,00;22,00;44,00;77,00;0,00;11,00;22,00;22,00;0,00
2019-02-03;23,00;95,29;23,00;70,64;0,00;0,00;0,00;23,00;12,00
2019-02-10;47,00;35,66;11,34;59,97;0,00;12,00;0,00;12,00;12,00
2019-02-17;48,00;11,20;11,20;96,00;0,00;0,00;24,00;12,00;0,00
2019-02-24;12,00;87,43;61,71;37,71;12,00;0,00;0,00;12,00;0,00
2019-03-03;34,00;45,33;22,67;68,00;11,33;0,00;0,00;11,00;0,00
2019-03-10;23,00;47,64;36,14;36,14;0,00;0,00;12,00;0,00;12,00
2019-03-17;72,00;60,55;36,00;109,64;0,00;12,00;24,00;24,00;0,00
2019-03-24;12,00;25,71;37,71;63,43;0,00;0,00;0,00;12,00;12,00
2019-03-31;23,00;23,00;23,00;106,79;0,00;0,00;0,00;0,00;12,00
2019-04-07;0,00;34,00;7,00;41,00;7,00;0,00;11,00;0,00;0,00
2019-04-14;65,00;0,00;39,00;65,00;0,00;13,00;13,00;13,00;13,00
2019-04-21;0,00;16,00;0,00;40,00;8,00;0,00;26,00;0,00;13,00
2019-04-28;34,00;45,33;45,33;79,33;0,00;11,00;11,00;11,00;0,00
2019-05-05;45,00;0,00;11,25;90,00;0,00;11,00;0,00;0,00;0,00
2019-05-12;46,00;57,10;11,10;68,21;0,00;0,00;12,00;0,00;0,00
2019-05-19;34,00;22,67;45,33;45,33;0,00;0,00;11,00;11,00;0,00
2019-05-26;25,00;25,00;0,00;13,33;0,00;0,00;25,00;0,00;12,00
2019-06-02;23,00;59,14;11,50;59,14;0,00;12,00;12,00;0,00;0,00
2019-06-09;12,00;12,00;12,00;126,86;0,00;0,00;12,00;24,00;0,00
2019-06-16;24,00;72,00;24,00;59,20;11,20;0,00;24,00;0,00;12,00
2019-06-23;62,00;12,72;23,85;23,85;0,00;0,00;0,00;0,00;25,00
2019-06-30;12,00;0,00;22,50;46,50;0,00;25,00;12,00;0,00;0,00
2019-07-07;0,00;23,00;8,00;53,00;0,00;0,00;24,00;12,00;0,00
2019-07-14;26,00;40,63;13,00;40,63;0,00;13,00;0,00;0,00;13,00
2019-07-21;58,00;87,00;14,50;87,00;0,00;0,00;0,00;14,00;29,00
2019-07-28;29,00;14,50;14,50;130,50;0,00;14,00;0,00;0,00;0,00
2019-08-04;26,00;66,63;26,00;131,63;0,00;13,00;13,00;0,00;0,00
2019-08-11;61,00;48,16;36,92;48,16;0,00;0,00;0,00;0,00;0,00
2019-08-18;12,00;25,71;0,00;87,43;0,00;12,00;0,00;0,00;24,00
