Semaine;Nice (FR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;15,00;320,00;10,00;0,00;40,00;46,50;15,00;36,00;91,50;81,25;13,75;26,25;26,25;26,00;7,00;4,00;3,00;4,00;1,00;1,00;3,00;12,00;4,00;12,00;3,00;1,00;0,00;0,00;0,00;0,00;2,00;2,00;0,00;3,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00
2019-01-13;24,00;360,00;6,00;3,00;24,00;39,00;18,00;19,50;91,50;55,58;11,37;29,05;29,05;33,00;5,00;3,00;0,00;2,00;1,00;3,00;2,00;5,00;4,00;13,00;1,00;0,00;3,00;0,00;0,00;1,00;2,00;1,00;0,00;2,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-01-20;23,00;385,25;5,75;2,88;28,75;46,00;23,00;17,25;64,69;61,74;9,68;20,58;42,37;24,00;10,00;5,00;3,00;7,00;3,00;3,00;1,00;9,00;2,00;11,00;3,00;1,00;0,00;2,00;0,00;3,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;27,00;318,60;5,40;5,40;27,00;43,50;21,00;18,00;87,00;52,71;10,29;27,00;19,29;29,00;17,00;6,00;9,00;2,00;0,00;4,00;1,00;8,00;0,00;9,00;4,00;1,00;0,00;1,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;24,00;360,00;6,00;3,00;30,00;33,00;18,00;21,00;64,50;54,32;7,58;26,53;17,68;29,00;17,00;6,00;0,00;4,00;4,00;3,00;2,00;13,00;2,00;11,00;2,00;0,00;1,00;0,00;0,00;0,00;1,00;2,00;1,00;3,00;0,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00
2019-02-10;20,00;280,00;5,00;2,50;25,00;30,77;26,15;10,77;69,23;43,75;5,00;26,25;26,25;27,00;21,00;5,00;3,00;1,00;3,00;4,00;2,00;11,00;4,00;17,00;4,00;0,00;1,00;0,00;1,00;3,00;1,00;2,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;32,00;298,67;5,33;5,33;26,67;40,73;18,91;24,73;64,00;39,68;11,52;24,32;29,44;30,00;15,00;5,00;0,00;1,00;0,00;5,00;1,00;11,00;5,00;7,00;5,00;0,00;1,00;0,00;0,00;4,00;0,00;2,00;0,00;5,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;20,00;280,00;5,00;5,00;25,00;31,43;15,71;15,71;64,29;52,50;5,00;23,75;28,75;24,00;12,00;8,00;2,00;3,00;3,00;4,00;1,00;9,00;4,00;9,00;2,00;0,00;1,00;0,00;1,00;1,00;2,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;23,00;333,50;5,75;2,88;23,00;31,63;21,56;20,13;73,31;54,94;5,11;23,00;29,39;30,00;16,00;4,00;1,00;4,00;2,00;4,00;1,00;10,00;3,00;21,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;3,00;1,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;37,00;322,43;5,29;2,64;26,43;37,00;22,20;8,88;74,00;57,97;7,40;30,83;32,07;28,00;14,00;7,00;1,00;3,00;1,00;5,00;3,00;11,00;6,00;11,00;4,00;0,00;1,00;1,00;0,00;0,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;0,00
2019-03-17;38,00;325,71;5,43;2,71;27,14;39,46;14,62;21,92;58,46;45,35;8,58;23,29;25,74;24,00;15,00;5,00;0,00;4,00;3,00;6,00;0,00;7,00;7,00;14,00;2,00;0,00;3,00;0,00;1,00;2,00;2,00;1,00;0,00;2,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;36,00;303,43;10,29;5,14;20,57;37,50;24,00;16,50;70,50;53,38;8,69;28,55;31,03;33,00;10,00;2,00;0,00;5,00;4,00;6,00;1,00;9,00;4,00;9,00;3,00;0,00;0,00;0,00;0,00;3,00;2,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;36,00;324,00;10,29;2,57;20,57;53,28;18,72;15,84;74,88;40,97;6,21;24,83;26,07;25,00;6,00;6,00;1,00;3,00;2,00;2,00;1,00;9,00;4,00;14,00;2,00;0,00;1,00;0,00;1,00;2,00;1,00;2,00;1,00;3,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;33,00;346,50;5,50;5,50;16,50;60,00;31,50;15,00;81,00;53,31;11,42;29,19;25,38;33,00;5,00;4,00;0,00;3,00;4,00;5,00;1,00;23,00;3,00;18,00;3,00;0,00;1,00;1,00;0,00;4,00;1,00;1,00;0,00;2,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;33,00;412,50;11,00;0,00;22,00;43,50;22,50;18,00;82,50;62,19;7,62;39,35;33,00;42,00;5,00;7,00;1,00;6,00;4,00;6,00;3,00;15,00;3,00;16,00;2,00;0,00;0,00;0,00;0,00;1,00;0,00;3,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;39,00;395,57;11,14;5,57;27,86;58,50;28,50;19,50;96,00;62,90;11,32;31,45;15,10;34,00;8,00;6,00;2,00;3,00;2,00;4,00;1,00;12,00;8,00;17,00;3,00;0,00;0,00;2,00;0,00;4,00;4,00;2,00;0,00;1,00;0,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-04-28;40,00;451,43;5,71;2,86;22,86;41,48;20,74;17,78;120,00;66,25;11,25;27,50;8,75;35,00;7,00;7,00;1,00;4,00;3,00;6,00;1,00;12,00;3,00;20,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;2,00;4,00;0,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;34,00;413,67;11,33;5,67;17,00;48,78;23,65;17,74;138,96;78,07;5,04;28,96;23,93;29,00;11,00;5,00;2,00;4,00;1,00;4,00;1,00;13,00;4,00;18,00;5,00;0,00;0,00;0,00;0,00;4,00;4,00;3,00;0,00;4,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;41,00;410,00;10,25;2,56;20,50;60,04;21,96;16,11;139,11;80,76;3,73;27,33;22,36;45,00;14,00;7,00;0,00;6,00;2,00;6,00;4,00;16,00;9,00;11,00;5,00;0,00;0,00;1,00;0,00;1,00;2,00;3,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-05-19;27,00;421,20;10,80;2,70;16,20;66,79;22,74;21,32;113,68;60,14;6,14;34,36;18,41;46,00;14,00;1,00;1,00;5,00;5,00;7,00;3,00;5,00;5,00;14,00;2,00;0,00;0,00;0,00;0,00;1,00;1,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;36,00;426,86;5,14;5,14;15,43;64,80;18,72;23,04;133,92;55,86;7,45;27,31;14,90;43,00;15,00;6,00;2,00;6,00;7,00;7,00;3,00;14,00;5,00;17,00;6,00;0,00;0,00;0,00;0,00;4,00;5,00;0,00;1,00;1,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-06-02;51,00;487,33;11,33;5,67;22,67;58,29;36,43;45,17;128,23;79,61;9,95;24,88;19,90;60,00;15,00;6,00;11,00;6,00;1,00;5,00;2,00;12,00;5,00;18,00;5,00;0,00;0,00;1,00;1,00;3,00;5,00;5,00;1,00;2,00;1,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-06-09;45,00;517,50;11,25;5,63;16,88;81,29;29,03;47,90;130,65;90,00;8,75;30,00;16,25;59,00;15,00;15,00;5,00;7,00;7,00;7,00;5,00;14,00;9,00;20,00;5,00;0,00;1,00;0,00;2,00;2,00;3,00;6,00;1,00;2,00;0,00;2,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-06-16;41,00;512,50;5,13;5,13;15,38;62,96;27,82;41,00;125,93;90,70;12,42;28,58;22,36;50,00;16,00;11,00;4,00;9,00;5,00;10,00;4,00;22,00;9,00;19,00;8,00;1,00;0,00;0,00;2,00;5,00;3,00;3,00;0,00;4,00;2,00;1,00;2,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-06-23;51,00;521,33;11,33;0,00;34,00;67,03;29,14;40,80;100,54;95,78;8,71;26,12;23,63;58,00;19,00;6,00;5,00;3,00;6,00;6,00;1,00;14,00;3,00;25,00;4,00;0,00;1,00;4,00;0,00;6,00;2,00;3,00;2,00;3,00;0,00;0,00;2,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-06-30;54,00;491,40;5,40;5,40;21,60;80,27;30,65;42,32;112,38;99,21;5,02;15,07;17,58;76,00;19,00;4,00;4,00;8,00;2,00;8,00;2,00;12,00;16,00;9,00;6,00;0,00;0,00;1,00;0,00;4,00;2,00;3,00;1,00;1,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-07-07;40,00;502,86;5,71;2,86;22,86;84,44;31,11;45,93;131,85;90,00;7,50;40,00;20,00;64,00;13,00;4,00;8,00;9,00;4,00;6,00;4,00;10,00;6,00;21,00;5,00;0,00;0,00;0,00;1,00;4,00;3,00;5,00;0,00;4,00;1,00;1,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-14;43,00;478,38;5,38;5,38;21,50;67,37;31,53;48,73;143,33;82,31;12,29;31,94;20,89;67,00;17,00;12,00;6,00;9,00;3,00;4,00;1,00;6,00;4,00;18,00;3,00;0,00;0,00;0,00;3,00;4,00;4,00;11,00;0,00;1,00;2,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-21;41,00;451,00;5,13;2,56;20,50;62,96;39,54;46,86;117,14;79,44;12,81;25,63;29,47;87,00;24,00;11,00;2,00;10,00;3,00;4,00;5,00;11,00;4,00;16,00;8,00;0,00;1,00;0,00;2,00;2,00;3,00;3,00;1,00;3,00;0,00;1,00;2,00;0,00;1,00;1,00;0,00;0,00;0,00
2019-07-28;43,00;483,75;10,75;5,38;21,50;83,03;35,59;35,59;109,72;84,74;12,65;26,56;21,50;86,00;18,00;10,00;3,00;2,00;5,00;5,00;3,00;16,00;4,00;14,00;3,00;0,00;1,00;0,00;1,00;4,00;2,00;5,00;0,00;2,00;0,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00
2019-08-04;48,00;490,67;5,33;5,33;21,33;68,36;30,55;37,82;110,55;88,42;12,63;39,16;24,00;72,00;14,00;18,00;8,00;4,00;3,00;7,00;2,00;16,00;3,00;24,00;2,00;0,00;0,00;2,00;0,00;7,00;2,00;0,00;1,00;0,00;0,00;0,00;2,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-08-11;37,00;444,00;5,29;0,00;15,86;62,16;32,56;26,64;115,44;62,90;13,57;29,60;22,20;59,00;21,00;15,00;6,00;3,00;8,00;1,00;4,00;11,00;7,00;18,00;5,00;1,00;0,00;0,00;0,00;6,00;4,00;6,00;1,00;2,00;0,00;0,00;2,00;1,00;1,00;0,00;1,00;0,00;0,00
2019-08-18;42,00;472,50;10,50;5,25;21,00;63,72;39,10;17,38;101,38;58,06;9,88;24,71;16,06;51,00;9,00;87,00;4,00;7,00;6,00;8,00;0,00;17,00;7,00;18,00;5,00;1,00;1,00;0,00;0,00;4,00;3,00;3,00;0,00;2,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00
2019-08-25;38,00;510,29;5,43;5,43;21,71;71,62;20,46;10,23;105,23;60,80;5,07;25,33;19,00;64,00;22,00;89,00;5,00;2,00;7,00;8,00;4,00;22,00;6,00;17,00;4,00;0,00;0,00;1,00;2,00;1,00;3,00;3,00;0,00;1,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-01;34,00;442,00;5,67;2,83;22,67;65,04;20,70;25,13;121,22;66,74;7,56;34,00;27,70;53,00;14,00;14,00;4,00;5,00;1,00;5,00;5,00;13,00;6,00;21,00;0,00;1,00;0,00;0,00;0,00;3,00;3,00;1,00;0,00;4,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-08;40,00;445,71;5,71;5,71;28,57;41,48;20,74;22,22;103,70;38,75;11,25;30,00;27,50;36,00;17,00;7,00;2,00;1,00;2,00;3,00;3,00;17,00;5,00;20,00;9,00;1,00;2,00;3,00;0,00;4,00;1,00;4,00;1,00;2,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
