Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2019-01-06;18,00;141,00;3,00;48,00;9,00;10,00;3,00;1,00;2,00;3,00;3,00;0,00;2,00
2019-01-13;32,00;140,80;3,20;44,80;9,60;15,00;7,00;2,00;4,00;2,00;2,00;1,00;2,00
2019-01-20;20,00;153,33;1,67;46,67;10,00;11,00;5,00;1,00;2,00;2,00;4,00;5,00;2,00
2019-01-27;24,00;140,57;1,71;51,43;3,43;11,00;6,00;2,00;7,00;4,00;0,00;2,00;2,00
2019-02-03;21,00;147,00;3,50;49,00;3,50;12,00;9,00;3,00;2,00;1,00;2,00;2,00;1,00
2019-02-10;23,00;134,71;1,64;55,86;6,57;13,00;12,00;1,00;1,00;3,00;3,00;2,00;0,00
2019-02-17;26,00;156,00;3,25;65,00;3,25;8,00;8,00;1,00;3,00;5,00;1,00;2,00;1,00
2019-02-24;18,00;135,00;1,50;60,00;6,00;11,00;8,00;3,00;4,00;3,00;3,00;1,00;2,00
2019-03-03;22,00;141,43;6,29;56,57;3,14;12,00;8,00;0,00;4,00;0,00;2,00;4,00;2,00
2019-03-10;29,00;180,44;3,22;58,00;9,67;16,00;11,00;2,00;4,00;2,00;5,00;2,00;2,00
2019-03-17;27,00;165,38;3,38;57,38;6,75;14,00;4,00;3,00;5,00;4,00;3,00;3,00;3,00
2019-03-24;33,00;155,10;3,30;75,90;3,30;13,00;8,00;4,00;5,00;3,00;2,00;1,00;1,00
2019-03-31;28,00;149,33;3,11;56,00;6,22;15,00;15,00;2,00;4,00;3,00;3,00;2,00;0,00
2019-04-07;37,00;188,36;1,68;80,73;6,73;14,00;9,00;7,00;3,00;4,00;3,00;1,00;3,00
2019-04-14;34,00;309,09;1,55;86,55;9,27;8,00;6,00;1,00;6,00;3,00;6,00;0,00;0,00
2019-04-21;44,00;176,00;3,14;88,00;9,43;12,00;7,00;1,00;3,00;4,00;3,00;1,00;1,00
2019-04-28;37,00;151,08;6,17;58,58;6,17;12,00;7,00;3,00;5,00;3,00;1,00;0,00;1,00
2019-05-05;29,00;161,11;1,61;64,44;12,89;16,00;10,00;2,00;7,00;3,00;1,00;2,00;0,00
2019-05-12;46,00;180,71;3,29;69,00;3,29;13,00;9,00;2,00;7,00;9,00;1,00;3,00;1,00
2019-05-19;29,00;164,33;3,22;70,89;16,11;8,00;14,00;4,00;8,00;3,00;2,00;2,00;1,00
2019-05-26;24,00;150,00;1,50;69,00;6,00;23,00;2,00;4,00;8,00;3,00;4,00;2,00;3,00
2019-06-02;24,00;205,71;3,43;82,29;10,29;16,00;7,00;4,00;8,00;7,00;5,00;4,00;1,00
2019-06-09;51,00;178,50;3,19;73,31;9,56;18,00;12,00;4,00;5,00;5,00;4,00;4,00;1,00
2019-06-16;45,00;170,36;3,21;99,64;6,43;17,00;3,00;3,00;4,00;10,00;3,00;2,00;1,00
2019-06-23;44,00;154,00;3,14;62,86;12,57;18,00;20,00;3,00;8,00;3,00;8,00;1,00;2,00
2019-06-30;50,00;173,33;3,33;70,00;20,00;26,00;8,00;3,00;11,00;7,00;3,00;2,00;1,00
2019-07-07;46,00;180,71;3,29;72,29;9,86;13,00;14,00;5,00;8,00;8,00;3,00;11,00;3,00
2019-07-14;53,00;177,71;3,12;87,29;6,24;11,00;12,00;2,00;4,00;9,00;2,00;2,00;3,00
2019-07-21;44,00;160,29;3,14;84,86;6,29;11,00;14,00;2,00;7,00;3,00;2,00;1,00;3,00
2019-07-28;44,00;157,14;3,14;91,14;3,14;16,00;14,00;3,00;7,00;7,00;3,00;3,00;3,00
2019-08-04;52,00;169,00;3,25;97,50;9,75;13,00;10,00;3,00;8,00;5,00;2,00;4,00;3,00
2019-08-11;36,00;176,73;3,27;72,00;9,82;17,00;9,00;1,00;9,00;1,00;3,00;3,00;2,00
2019-08-18;49,00;166,60;3,27;143,73;6,53;13,00;10,00;6,00;4,00;11,00;2,00;4,00;0,00
2019-08-25;39,00;156,00;3,25;185,25;9,75;15,00;8,00;3,00;5,00;7,00;2,00;0,00;1,00
2019-09-01;32,00;160,00;0,00;73,60;9,60;10,00;10,00;5,00;7,00;4,00;4,00;2,00;2,00
2019-09-08;36,00;183,27;1,64;65,45;9,82;15,00;10,00;4,00;5,00;3,00;5,00;3,00;1,00
2019-09-15;35,00;152,73;3,18;66,82;6,36;15,00;7,00;3,00;5,00;3,00;3,00;2,00;2,00
2019-09-22;35,00;168,64;0,00;95,45;9,55;18,00;8,00;4,00;6,00;1,00;1,00;2,00;1,00
2019-09-29;35,00;200,45;6,36;108,18;9,55;13,00;13,00;1,00;3,00;6,00;3,00;2,00;2,00
2019-10-06;30,00;170,00;0,00;90,00;6,67;17,00;8,00;3,00;5,00;4,00;0,00;5,00;0,00
2019-10-13;23,00;193,86;3,29;62,43;9,86;11,00;6,00;3,00;6,00;0,00;2,00;0,00;0,00
2019-10-20;24,00;174,86;3,43;89,14;3,43;11,00;2,00;1,00;3,00;3,00;2,00;1,00;1,00
2019-10-27;17,00;170,00;3,40;85,00;3,40;7,00;8,00;2,00;6,00;2,00;2,00;2,00;1,00
2019-11-03;15,00;120,00;1,50;48,00;3,00;12,00;5,00;1,00;4,00;2,00;4,00;0,00;1,00
2019-11-10;20,00;146,67;1,67;56,67;3,33;8,00;5,00;2,00;6,00;2,00;1,00;2,00;3,00
2019-11-17;16,00;169,60;3,20;48,00;6,40;7,00;5,00;1,00;4,00;2,00;2,00;1,00;1,00
2019-11-24;24,00;150,86;3,43;68,57;6,86;8,00;6,00;1,00;4,00;5,00;3,00;2,00;0,00
2019-12-01;20,00;133,33;0,00;76,67;6,67;7,00;2,00;2,00;6,00;3,00;2,00;1,00;0,00
2019-12-08;13,00;146,25;3,25;74,75;6,50;14,00;5,00;4,00;3,00;2,00;1,00;1,00;1,00
2019-12-15;16,00;166,40;3,20;57,60;6,40;6,00;6,00;3,00;3,00;4,00;2,00;2,00;0,00
