Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Marseille (FR);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;15,00;142,50;210,00;168,75;172,50;127,50;3,75;84,38;110,63;176,25;60,00;123,75;70,00;95,00;110,00;30,00;40,00;99,00;9,00;16,00;36,00;29,00;4,00;16,00;3,00;5,00;0,00;2,00;1,00;5,00;0,00;2,00
2019-01-13;24,00;172,00;240,00;176,00;212,00;114,46;1,85;66,46;112,62;180,00;60,00;152,00;66,00;114,00;138,00;48,00;64,00;90,00;8,00;11,00;40,00;27,00;8,00;11,00;1,00;4,00;6,00;4,00;1,00;4,00;1,00;0,00
2019-01-20;23,00;145,67;203,17;145,67;199,33;100,85;1,77;79,62;97,31;145,67;49,83;115,00;63,25;109,25;126,50;57,50;45,00;85,00;8,00;11,00;31,00;35,00;3,00;14,00;1,00;4,00;4,00;4,00;2,00;4,00;2,00;0,00
2019-01-27;27,00;150,43;227,57;158,14;115,71;77,40;1,80;93,60;91,80;162,00;65,57;135,00;54,00;102,60;124,20;48,60;46,00;86,00;5,00;13,00;38,00;23,00;4,00;13,00;3,00;8,00;9,00;3,00;3,00;5,00;1,00;2,00
2019-02-03;24,00;164,00;208,00;188,00;156,00;72,00;1,85;77,54;108,92;176,00;64,00;152,00;84,00;144,00;108,00;54,00;60,00;70,00;3,00;8,00;32,00;25,00;10,00;12,00;3,00;4,00;2,00;4,00;2,00;7,00;0,00;1,00
2019-02-10;20,00;164,00;224,00;168,00;120,00;80,00;0,00;89,09;114,55;188,00;76,00;168,00;66,67;140,00;120,00;60,00;57,00;74,00;8,00;10,00;34,00;33,00;12,00;14,00;3,00;4,00;4,00;3,00;2,00;7,00;0,00;0,00
2019-02-17;32,00;160,00;192,00;184,00;152,00;65,78;1,78;78,22;120,89;196,00;84,00;152,00;57,60;128,00;134,40;64,00;59,00;79,00;8,00;11,00;41,00;23,00;8,00;9,00;3,00;5,00;3,00;1,00;2,00;5,00;1,00;1,00
2019-02-24;20,00;172,00;208,00;196,00;156,00;74,55;3,64;74,55;127,27;204,00;80,00;152,00;100,00;166,67;160,00;80,00;50,00;72,00;7,00;19,00;38,00;37,00;6,00;9,00;2,00;6,00;3,00;5,00;1,00;5,00;2,00;0,00
2019-03-03;23,00;164,83;222,33;195,50;141,83;86,69;5,31;81,38;107,92;218,50;65,17;145,67;92,00;120,75;120,75;69,00;60,00;90,00;6,00;11,00;46,00;38,00;7,00;14,00;2,00;4,00;4,00;4,00;4,00;6,00;1,00;1,00
2019-03-10;37,00;199,80;207,20;181,30;136,90;86,33;0,00;81,05;132,14;205,56;102,78;156,22;98,67;141,83;123,33;74,00;57,00;85,00;6,00;14,00;39,00;29,00;12,00;16,00;2,00;8,00;2,00;5,00;1,00;6,00;2,00;0,00
