Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;25,00;0,00;25,00;0,00;0,00;85,00;25,00;0,00;11,67;0,00;11,76;60,29;25,00;0,00;0,00;25,00;0,00;0,00;48,53;0,00;11,76
2019-01-13;25,00;25,00;0,00;0,00;0,00;25,00;11,67;11,67;0,00;0,00;48,53;36,76;25,00;0,00;12,50;60,71;0,00;147,06;61,76;0,00;25,00
2019-01-20;37,00;37,00;12,00;0,00;12,00;0,00;0,00;12,33;0,00;0,00;61,67;61,67;12,33;12,95;0,00;0,00;0,00;0,00;0,00;12,33;24,67
2019-01-27;24,00;12,00;0,00;12,00;0,00;0,00;0,00;0,00;12,00;0,00;48,00;36,00;0,00;0,00;0,00;36,92;0,00;12,00;36,00;0,00;24,00
2019-02-03;25,00;0,00;0,00;25,00;0,00;25,00;11,67;11,67;25,00;0,00;48,53;25,00;0,00;0,00;0,00;48,21;0,00;0,00;36,76;0,00;0,00
2019-02-10;25,00;13,00;0,00;0,00;0,00;36,67;0,00;11,67;0,00;0,00;36,76;48,53;0,00;0,00;0,00;25,00;0,00;0,00;48,53;0,00;11,76
2019-02-17;13,00;13,00;0,00;0,00;0,00;13,00;13,00;0,00;0,00;27,63;13,00;27,63;0,00;13,00;13,00;39,00;0,00;0,00;95,88;0,00;27,63
2019-02-24;38,00;13,00;25,00;13,00;13,00;63,91;25,91;0,00;0,00;0,00;50,16;50,16;0,00;0,00;0,00;38,00;0,00;0,00;24,32;0,00;0,00
2019-03-03;13,00;0,00;13,00;13,00;0,00;13,00;13,00;0,00;13,00;0,00;37,56;24,56;0,00;0,00;0,00;39,00;0,00;0,00;42,25;0,00;0,00
2019-03-10;13,00;13,00;13,00;0,00;0,00;13,00;13,00;0,00;13,00;0,00;81,25;66,63;0,00;0,00;0,00;63,14;0,00;0,00;13,00;0,00;0,00
2019-03-17;13,00;13,00;39,00;13,00;0,00;13,00;13,00;0,00;0,00;0,00;13,00;13,00;0,00;13,00;0,00;65,00;13,00;0,00;27,63;0,00;0,00
2019-03-24;13,00;13,00;26,00;0,00;26,00;13,00;0,00;0,00;0,00;0,00;13,00;24,56;0,00;0,00;0,00;104,00;13,00;0,00;0,00;0,00;0,00
2019-03-31;13,00;13,00;13,00;13,00;13,00;40,86;27,86;13,00;0,00;13,00;40,63;53,63;0,00;0,00;0,00;37,14;0,00;0,00;27,63;0,00;53,63
2019-04-07;13,00;13,00;13,00;13,00;27,00;26,00;26,00;0,00;13,00;26,00;37,56;37,56;0,00;0,00;0,00;133,71;0,00;0,00;13,00;0,00;0,00
2019-04-14;0,00;0,00;0,00;0,00;14,00;32,00;16,00;0,00;0,00;9,00;18,00;0,00;0,00;0,00;0,00;45,00;15,00;0,00;9,00;0,00;0,00
