Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;45,00;13,00;0,00;7,00;0,00;13,00;6,00;7,00;6,00;6,00;0,00;13,00;39,00;0,00;0,00;19,00;6,00;0,00;0,00;20,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;45,00;6,00;0,00;6,00;0,00
2019-01-13;49,00;31,00;19,00;0,00;0,00;6,00;0,00;0,00;0,00;12,00;0,00;6,00;6,00;0,00;0,00;0,00;6,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;6,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;24,50;18,38;12,00;0,00;0,00
2019-01-20;65,00;0,00;12,00;0,00;0,00;18,00;0,00;12,00;6,00;12,00;0,00;6,00;36,00;0,00;0,00;0,00;6,00;0,00;0,00;24,00;0,00;0,00;6,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;18,00;12,00;6,00;0,00;0,00;0,00;0,00;0,00;83,57;12,38;0,00;18,00;6,00
2019-01-27;42,00;0,00;0,00;18,00;0,00;0,00;6,00;6,00;0,00;12,00;6,00;12,00;24,00;0,00;0,00;6,00;0,00;6,00;0,00;24,00;0,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;79,33;0,00;0,00;18,00;6,00
2019-02-03;19,00;0,00;13,00;0,00;6,00;25,00;6,00;6,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;44,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;6,33;52,25;19,00;0,00;38,00;13,00
2019-02-10;25,00;0,00;6,00;0,00;0,00;25,00;0,00;12,00;0,00;6,00;0,00;19,00;19,00;0,00;0,00;6,00;6,00;12,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;43,75;12,50;0,00;0,00;0,00
2019-02-17;25,00;6,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;6,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;25,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;82,81;6,25;0,00;19,00;0,00
2019-02-24;43,00;6,00;0,00;12,00;6,00;6,00;0,00;0,00;0,00;6,00;0,00;6,00;12,00;0,00;6,00;6,00;6,00;6,00;0,00;6,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;6,00;0,00;6,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;43,00;12,29;0,00;6,00;6,00
2019-03-03;45,00;0,00;6,00;0,00;0,00;6,00;6,00;6,00;0,00;13,00;0,00;19,00;6,00;0,00;0,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;6,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;6,21;12,41;26,38;0,00;0,00;13,00
2019-03-10;26,00;13,00;13,00;6,00;6,00;6,00;6,00;0,00;6,00;0,00;0,00;6,00;13,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,12;0,00;19,88;0,00;0,00;0,00;0,00
2019-03-17;19,00;6,00;6,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;6,00;39,00;0,00;6,00;19,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;19,00;19,00;0,00;0,00;0,00
2019-03-24;19,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;6,00;6,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;19,00;6,33;0,00;0,00;0,00
2019-03-31;43,00;0,00;6,00;0,00;0,00;18,00;0,00;6,00;0,00;6,00;0,00;0,00;49,00;0,00;0,00;12,00;0,00;12,00;0,00;18,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;18,43;6,14;0,00;6,00;0,00
