Semaine;London (GB);Paris (FR);Amsterdam (NL);Roma (IT);Lille (FR);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;92,00;61,75;21,42;72,00;0,50;15,00;33,00;22,00;19,00;16,00;21,00;22,00;27,00;1,00;5,00;17,00;4,00;6,00;2,00;10,00;7,00;4,00;4,00;3,00;1,00;3,00;3,00;1,00;2,00;1,00;1,00;0,00;0,00
2019-01-13;96,00;61,89;21,47;59,00;1,00;13,00;32,00;21,00;16,00;20,00;19,00;27,00;22,00;2,00;7,00;15,00;2,00;10,00;3,00;6,00;12,00;6,00;4,00;2,00;1,00;4,00;2,00;1,00;1,00;1,00;2,00;0,50;0,50
2019-01-20;82,00;54,25;21,45;65,00;1,00;13,00;29,00;20,00;18,00;22,00;24,00;23,00;20,00;2,00;4,00;16,00;3,00;7,00;2,00;6,00;11,00;3,00;3,00;3,00;1,00;3,00;3,00;3,00;3,00;0,00;1,00;0,00;1,00
2019-01-27;87,00;55,48;21,43;63,00;0,50;13,00;28,00;20,00;17,00;19,00;25,00;21,00;21,00;2,00;5,00;17,00;3,00;5,00;4,00;5,00;7,00;4,00;4,00;3,00;1,00;3,00;3,00;1,00;1,00;1,00;1,00;0,50;1,00
2019-02-03;82,00;59,29;21,45;52,00;1,00;15,00;44,00;22,00;16,00;19,00;24,00;23,00;18,00;2,00;6,00;15,00;2,00;9,00;1,00;5,00;7,00;2,00;5,00;1,00;1,00;6,00;2,00;1,00;3,00;1,00;1,00;0,00;0,00
2019-02-10;78,00;59,13;17,61;55,00;0,50;21,00;25,00;20,00;13,00;18,00;24,00;24,00;26,00;1,00;4,00;19,00;1,00;5,00;4,00;5,00;8,00;3,00;2,00;1,00;1,00;5,00;2,00;1,00;1,00;0,50;1,00;0,00;0,50
2019-02-17;65,00;53,53;15,29;50,00;1,00;13,00;30,00;23,00;17,00;16,00;22,00;22,00;23,00;1,00;5,00;13,00;3,00;6,00;4,00;8,00;9,00;4,00;5,00;3,00;0,50;2,00;3,00;1,00;2,00;1,00;1,00;0,50;0,50
2019-02-24;89,00;55,94;17,80;52,00;1,00;20,00;30,00;18,00;15,00;21,00;17,00;25,00;25,00;2,00;5,00;14,00;3,00;6,00;4,00;7,00;10,00;4,00;6,00;3,00;0,50;4,00;3,00;1,00;3,00;1,00;1,00;0,00;0,00
2019-03-03;85,00;67,24;15,22;58,00;1,00;14,00;31,00;20,00;10,00;19,00;22,00;25,00;23,00;1,00;6,00;18,00;3,00;7,00;3,00;5,00;8,00;3,00;3,00;3,00;0,50;4,00;3,00;1,00;1,00;0,00;2,00;0,00;0,00
2019-03-10;76,00;63,33;16,47;55,00;0,50;22,00;34,00;20,00;14,00;22,00;18,00;21,00;21,00;2,00;6,00;17,00;3,00;8,00;5,00;7,00;10,00;2,00;6,00;2,00;1,00;4,00;3,00;3,00;3,00;1,00;1,00;0,00;0,00
2019-03-17;69,00;51,11;17,89;56,00;0,00;15,00;27,00;22,00;18,00;22,00;20,00;23,00;27,00;3,00;5,00;15,00;1,00;5,00;4,00;8,00;9,00;2,00;4,00;2,00;0,50;3,00;3,00;1,00;1,00;0,50;1,00;0,00;0,00
2019-03-24;78,00;57,54;16,62;46,00;1,00;20,00;31,00;23,00;19,00;20,00;21,00;26,00;27,00;2,00;6,00;19,00;3,00;8,00;3,00;9,00;8,00;5,00;6,00;2,00;1,00;4,00;3,00;1,00;2,00;1,00;1,00;0,50;1,00
2019-03-31;66,00;52,04;16,50;63,00;0,50;16,00;35,00;21,00;20,00;25,00;21,00;21,00;26,00;3,00;5,00;22,00;4,00;6,00;3,00;6,00;8,00;3,00;6,00;4,00;2,00;5,00;3,00;2,00;2,00;1,00;1,00;0,00;1,00
2019-04-07;82,00;52,53;15,38;65,00;0,50;21,00;30,00;21,00;17,00;22,00;19,00;25,00;23,00;1,00;10,00;19,00;2,00;6,00;3,00;9,00;10,00;4,00;7,00;3,00;1,00;6,00;3,00;1,00;1,00;1,00;1,00;0,00;0,50
2019-04-14;77,00;128,33;14,12;60,00;1,00;23,00;29,00;18,00;17,00;22,00;22,00;18,00;23,00;3,00;3,00;19,00;4,00;5,00;4,00;8,00;8,00;3,00;9,00;3,00;2,00;5,00;5,00;2,00;5,00;1,00;1,00;0,00;1,00
2019-04-21;66,00;50,77;16,50;59,00;0,50;16,00;27,00;16,00;15,00;20,00;23,00;21,00;20,00;1,00;7,00;17,00;3,00;6,00;3,00;6,00;9,00;3,00;5,00;3,00;3,00;5,00;1,00;2,00;2,00;0,50;1,00;0,00;1,00
2019-04-28;56,00;48,36;10,18;53,00;0,00;15,00;29,00;18,00;14,00;19,00;24,00;22,00;20,00;1,00;6,00;16,00;2,00;7,00;4,00;6,00;8,00;4,00;2,00;4,00;1,00;5,00;2,00;0,50;2,00;0,00;1,00;0,50;1,00
2019-05-05;66,00;58,38;13,96;56,00;0,50;15,00;27,00;19,00;16,00;21,00;22,00;25,00;21,00;1,00;7,00;12,00;3,00;9,00;4,00;10,00;6,00;6,00;7,00;3,00;2,00;3,00;3,00;1,00;1,00;1,00;1,00;0,50;0,00
2019-05-12;57,00;46,87;15,20;64,00;0,00;19,00;29,00;18,00;16,00;24,00;21,00;24,00;16,00;2,00;7,00;14,00;4,00;6,00;5,00;7,00;9,00;4,00;5,00;4,00;3,00;4,00;5,00;2,00;2,00;1,00;2,00;0,00;0,50
2019-05-19;65,00;50,98;12,75;55,00;0,50;16,00;29,00;16,00;22,00;18,00;21,00;26,00;19,00;1,00;8,00;15,00;3,00;6,00;3,00;8,00;7,00;4,00;3,00;3,00;1,00;4,00;3,00;1,00;2,00;1,00;2,00;0,00;0,50
2019-05-26;63,00;46,62;12,60;45,00;1,00;14,00;26,00;19,00;13,00;15,00;21,00;22,00;18,00;2,00;6,00;13,00;3,00;6,00;3,00;6,00;7,00;3,00;5,00;4,00;2,00;4,00;3,00;2,00;3,00;1,00;1,00;0,00;1,00
2019-06-02;71,00;53,25;13,95;56,00;1,00;17,00;22,00;21,00;18,00;18,00;20,00;32,00;17,00;4,00;7,00;17,00;2,00;6,00;5,00;8,00;7,00;4,00;5,00;4,00;1,00;6,00;2,00;2,00;2,00;1,00;2,00;0,00;0,00
