Avion;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;51,00;75,00;14,00;10,00;7,00;16,11;128,84;6,71;24,16
2019-01-13;51,00;85,00;15,00;10,00;5,00;16,54;111,65;6,89;22,05
2019-01-20;46,00;66,00;21,00;13,00;6,00;14,88;97,41;6,76;21,65
2019-01-27;47,00;76,00;17,00;13,00;3,00;14,77;110,11;8,06;21,49
2019-02-03;45,00;92,00;24,00;12,00;5,00;16,36;114,55;8,18;23,18
2019-02-10;45,00;85,00;8,00;13,00;3,00;17,73;102,27;5,45;24,55
2019-02-17;49,00;64,00;13,00;14,00;4,00;14,97;95,28;6,81;24,50
2019-02-24;49,00;76,00;15,00;10,00;4,00;19,06;104,81;8,17;24,50
2019-03-03;40,00;77,00;13,00;13,00;4,00;12,00;88,00;8,00;25,33
2019-03-10;44,00;64,00;15,00;10,00;3,00;13,75;94,88;5,50;24,75
2019-03-17;51,00;83,00;15,00;15,00;5,00;12,08;96,63;5,37;22,82
2019-03-24;45,00;83,00;15,00;17,00;3,00;13,64;88,64;6,82;23,18
2019-03-31;48,00;66,00;23,00;13,00;3,00;13,71;91,89;6,86;21,94
2019-04-07;48,00;82,00;17,00;13,00;5,00;12,34;109,71;8,23;21,94
2019-04-14;47,00;68,00;15,00;14,00;6,00;14,77;77,89;8,06;22,83
2019-04-21;48,00;66,00;20,00;12,00;4,00;15,09;94,63;6,86;21,94
2019-04-28;48,00;80,00;17,00;12,00;6,00;16,46;94,63;8,23;23,31
2019-05-05;45,00;72,00;15,00;13,00;4,00;19,09;99,55;8,18;23,18
2019-05-12;40,00;52,00;24,00;13,00;4,00;13,33;86,67;8,00;24,00
2019-05-19;46,00;71,00;13,00;13,00;7,00;14,88;101,47;8,12;25,71
2019-05-26;48,00;60,00;21,00;12,00;4,00;13,71;106,97;8,23;24,69
2019-06-02;49,00;64,00;12,00;15,00;5,00;14,97;99,36;8,17;25,86
2019-06-09;50,00;77,00;22,00;15,00;6,00;20,27;117,57;9,46;24,32
2019-06-16;56,00;72,00;13,00;13,00;9,00;12,29;99,71;8,20;25,95
2019-06-23;53,00;91,00;11,00;15,00;6,00;19,03;95,13;6,79;27,18
2019-06-30;59,00;95,00;14,00;16,00;7,00;20,58;124,86;9,60;26,07
2019-07-07;60,00;89,00;20,00;18,00;7,00;21,82;129,55;8,18;24,55
2019-07-14;53,00;79,00;18,00;17,00;8,00;17,67;135,90;9,51;25,82
2019-07-21;52,00;86,00;19,00;18,00;10,00;21,89;127,26;9,58;26,00
2019-07-28;69,00;91,00;15,00;18,00;12,00;18,94;108,24;6,76;23,00
2019-08-04;62,00;100,00;23,00;13,00;7,00;20,67;128,13;9,64;22,04
2019-08-11;51,00;75,00;8,00;16,00;8,00;14,76;112,74;5,37;21,47
2019-08-18;44,00;67,00;20,00;12,00;7,00;16,00;112,00;9,33;18,67
2019-08-25;45,00;49,00;22,00;13,00;5,00;15,00;110,45;6,82;21,82
2019-09-01;42,00;70,00;15,00;11,00;5,00;16,26;109,74;9,48;20,32
2019-09-08;48,00;68,00;21,00;14,00;6,00;15,09;98,74;10,97;20,57
2019-09-15;43,00;66,00;19,00;12,00;6,00;13,87;97,10;11,10;22,19
2019-09-22;38,00;67,00;20,00;11,00;6,00;14,93;92,29;10,86;21,71
2019-09-29;42,00;45,00;22,00;12,00;6,00;10,84;88,06;10,84;23,03
2019-10-06;43,00;60,00;12,00;11,00;5,00;15,26;102,65;12,48;20,81
2019-10-13;44,00;55,00;10,00;12,00;6,00;15,13;99,00;16,50;23,38
2019-10-20;46,00;65,00;21,00;10,00;7,00;13,53;94,71;31,12;32,47
2019-10-27;40,00;58,00;11,00;11,00;5,00;10,67;88,00;18,67;25,33
2019-11-03;44,00;68,00;17,00;12,00;5,00;15,13;83,88;9,63;22,00
2019-11-10;37,00;58,00;10,00;11,00;5,00;17,81;93,19;10,96;21,93
2019-11-17;39,00;44,00;13,00;9,00;5,00;12,10;94,14;10,76;21,52
2019-11-24;43,00;64,00;11,00;10,00;6,00;16,13;81,97;10,75;22,84
2019-12-01;43,00;58,00;10,00;11,00;5,00;13,87;92,94;12,48;23,58
2019-12-08;42,00;48,00;12,00;13,00;6,00;10,84;81,29;12,19;23,03
2019-12-15;38,00;54,00;18,00;12,00;5,00;12,21;85,50;14,93;24,43
2019-12-22;48,00;74,00;18,00;11,00;4,00;15,09;98,74;17,83;26,06
2019-12-29;52,00;83,00;14,00;10,00;8,00;17,79;121,79;16,42;27,37
2020-01-05;48,00;78,00;11,00;12,00;9,00;17,83;135,77;15,09;28,80
2020-01-12;47,00;74,00;20,00;11,00;6,00;15,21;125,79;13,82;29,03
2020-01-19;49,00;77,00;20,00;14,00;4,00;16,33;123,86;10,89;28,58
2020-01-26;42,00;73,00;12,00;12,00;5,00;14,90;119,23;9,48;24,39
2020-02-02;48,00;77,00;14,00;12,00;5,00;15,09;102,86;13,71;24,69
2020-02-09;48,00;64,00;20,00;9,00;6,00;12,34;102,86;9,60;24,69
2020-02-16;52,00;67,00;12,00;11,00;6,00;13,68;104,00;13,68;26,00
2020-02-23;46,00;69,00;10,00;10,00;3,00;12,18;87,94;9,47;24,35
2020-03-01;40,00;67,00;10,00;10,00;5,00;12,41;84,14;9,66;26,21
2020-03-08;44,00;53,00;10,00;12,00;6,00;8,25;104,50;15,13;59,13
2020-03-15;25,00;32,00;11,00;6,00;4,00;4,17;43,06;12,50;27,78
2020-03-22;16,00;11,00;9,00;5,00;3,00;4,00;25,33;6,67;16,00
2020-03-29;16,00;14,00;6,00;5,00;2,00;4,00;25,33;6,67;12,00
2020-04-05;10,00;17,00;5,00;4,00;2,00;3,75;20,00;5,00;10,00
2020-04-12;14,00;17,00;6,00;4,00;1,00;4,20;22,40;5,60;12,60
2020-04-19;15,00;18,00;7,00;4,00;2,00;4,09;20,45;4,09;12,27
2020-04-26;13,00;12,00;6,00;4,00;2,00;2,60;22,10;3,90;11,70
2020-05-03;12,00;14,00;2,00;4,00;2,00;4,00;21,33;5,33;13,33
2020-05-10;16,00;15,00;1,00;4,00;3,00;6,67;26,67;5,33;13,33
2020-05-17;15,00;13,00;10,00;6,00;2,00;6,82;25,91;6,82;15,00
2020-05-24;16,00;21,00;11,00;7,00;2,00;5,33;32,00;5,33;13,33
2020-05-31;23,00;28,00;2,00;6,00;3,00;9,47;36,53;5,41;14,88
2020-06-07;26,00;35,00;9,00;7,00;2,00;6,84;39,68;6,84;16,42
2020-06-14;27,00;36,00;10,00;8,00;3,00;6,75;49,95;5,40;18,90
2020-06-21;31,00;38,00;8,00;8,00;3,00;10,78;48,52;6,74;17,52
2020-06-28;34,00;44,00;7,00;11,00;3,00;13,60;48,96;6,80;14,96
2020-07-05;34,00;29,00;18,00;11,00;3,00;10,88;61,20;8,16;13,60
2020-07-12;32,00;33,00;5,00;8,00;3,00;10,67;50,67;5,33;14,67
2020-07-19;27,00;25,00;8,00;10,00;3,00;10,80;48,60;6,75;14,85
2020-07-26;27,00;20,00;8,00;7,00;2,00;9,45;41,85;8,10;12,15
2020-08-02;29,00;27,00;10,00;8,00;3,00;9,67;38,67;5,52;13,81
2020-08-09;26,00;22,00;10,00;6,00;4,00;9,58;36,95;6,84;13,68
2020-08-16;27,00;32,00;9,00;8,00;3,00;6,75;27,00;8,10;13,50
2020-08-23;23,00;18,00;7,00;6,00;2,00;5,41;31,12;5,41;13,53
2020-08-30;24,00;25,00;5,00;6,00;4,00;6,67;33,33;6,67;14,67
2020-09-06;23,00;26,00;5,00;6,00;3,00;5,41;36,53;5,41;13,53
2020-09-13;20,00;25,00;9,00;6,00;3,00;7,14;34,29;7,14;14,29
2020-09-20;18,00;27,00;5,00;7,00;2,00;6,92;34,62;5,54;15,23
2020-09-27;20,00;20,00;4,00;6,00;3,00;5,33;20,00;6,67;13,33
2020-10-04;23,00;22,00;4,00;6,00;3,00;5,41;31,12;8,12;14,88
2020-10-11;24,00;19,00;4,00;5,00;2,00;5,65;32,47;7,06;16,94
2020-10-18;24,00;23,00;3,00;5,00;2,00;4,00;25,33;6,67;16,00
2020-10-25;17,00;25,00;7,00;3,00;2,00;2,62;24,85;5,23;13,08
2020-11-01;15,00;21,00;5,00;5,00;2,00;5,45;25,91;6,82;12,27
2020-11-08;17,00;23,00;10,00;4,00;1,00;4,25;28,33;7,08;17,00
2020-11-15;18,00;27,00;6,00;5,00;2,00;4,15;31,85;5,54;16,62
2020-11-22;22,00;20,00;12,00;5,00;3,00;6,88;27,50;8,25;15,13
2020-11-29;28,00;38,00;6,00;4,00;4,00;4,00;24,00;5,33;13,33
2020-12-06;27,00;28,00;3,00;6,00;2,00;6,75;31,05;6,75;13,50
2020-12-13;32,00;25,00;9,00;5,00;2,00;6,67;26,67;8,00;14,67
2020-12-20;25,00;35,00;5,00;4,00;2,00;6,94;18,06;6,94;15,28
2020-12-27;31,00;36,00;5,00;4,00;1,00;5,39;29,65;5,39;16,17
2021-01-03;30,00;28,00;11,00;8,00;2,00;6,82;27,27;5,45;17,73
2021-01-10;28,00;25,00;9,00;5,00;2,00;7,00;25,20;7,00;16,80
2021-01-17;22,00;21,00;5,00;5,00;1,00;4,13;27,50;6,88;15,13
2021-01-24;21,00;14,00;5,00;5,00;2,00;5,25;17,06;6,56;15,75
2021-01-31;20,00;17,00;8,00;4,00;2,00;4,00;22,67;4,00;13,33
2021-02-07;19,00;14,00;12,00;4,00;2,00;5,43;20,36;5,43;14,93
