Hotel;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;27,00;37,00;59,00;41,00;48,00;46,44;34,56;56,16;22,68
2019-01-13;29,00;36,00;57,00;43,00;52,00;47,26;34,37;55,85;22,56
2019-01-20;30,00;38,00;63,00;39,00;51,00;43,93;35,36;51,43;22,50
2019-01-27;29,00;36,00;59,00;41,00;57,00;46,19;32,22;47,26;22,56
2019-02-03;33,00;38,00;59,00;38,00;58,00;45,10;36,30;52,80;24,20
2019-02-10;32,00;41,00;55,00;37,00;59,00;48,00;36,27;50,13;24,53
2019-02-17;33,00;36,00;56,00;36,00;61,00;48,97;31,94;48,97;24,48
2019-02-24;32,00;36,00;58,00;36,00;64,00;50,13;32,00;46,93;24,53
2019-03-03;32,00;36,00;54,00;36,00;57,00;46,93;32,00;48,00;26,67
2019-03-10;29,00;32,00;55,00;36,00;61,00;49,41;32,22;44,04;27,93
2019-03-17;31,00;33,00;55,00;35,00;62,00;52,38;28,86;45,97;24,59
2019-03-24;30,00;33,00;52,00;35,00;62,00;51,43;30,00;46,07;26,79
2019-03-31;32,00;33,00;51,00;34,00;56,00;49,07;30,93;45,87;25,60
2019-04-07;32,00;38,00;61,00;36,00;63,00;53,33;32,00;51,20;25,60
2019-04-14;33,00;35,00;60,00;36,00;63,00;50,03;30,87;46,84;23,42
2019-04-21;30,00;33,00;56,00;34,00;56,00;56,79;27,86;45,00;24,64
2019-04-28;31,00;33,00;57,00;36,00;58,00;50,24;35,28;48,10;25,66
2019-05-05;28,00;31,00;52,00;35,00;64,00;49,54;31,23;48,46;23,69
2019-05-12;29,00;35,00;49,00;37,00;60,00;49,41;31,15;49,41;26,85
2019-05-19;29,00;32,00;51,00;36,00;63,00;50,48;31,15;53,70;29,00
2019-05-26;31,00;35,00;59,00;36,00;67,00;52,38;33,14;54,52;31,00
2019-06-02;31,00;34,00;57,00;38,00;69,00;67,34;32,07;51,31;28,86
2019-06-09;31,00;36,00;58,00;43,00;73,00;74,83;33,14;51,31;29,93
2019-06-16;32,00;34,00;63,00;40,00;81,00;81,07;33,07;54,40;33,07
2019-06-23;32,00;38,00;55,00;38,00;81,00;84,97;34,21;56,28;33,10
2019-06-30;32,00;41,00;62,00;40,00;87,00;84,27;36,27;54,40;32,00
2019-07-07;34,00;45,00;73,00;42,00;85,00;80,75;39,31;54,19;31,88
2019-07-14;35,00;48,00;71,00;42,00;89,00;83,79;42,42;54,09;31,82
2019-07-21;36,00;47,00;75,00;44,00;91,00;92,73;43,64;57,82;32,73
2019-07-28;40,00;46,00;73,00;44,00;95,00;92,97;42,16;56,22;32,43
2019-08-04;42,00;47,00;65,00;46,00;100,00;95,55;42,00;55,65;29,40
2019-08-11;44,00;43,00;58,00;42,00;94,00;98,73;38,63;56,88;28,98
2019-08-18;38,00;40,00;57,00;43,00;88,00;86,86;39,09;56,46;27,14
2019-08-25;32,00;34,00;58,00;41,00;75,00;66,13;30,93;52,27;26,67
2019-09-01;30,00;34,00;60,00;38,00;70,00;56,79;34,29;61,07;26,79
2019-09-08;31,00;36,00;57,00;40,00;60,00;55,59;32,07;62,00;26,72
2019-09-15;30,00;37,00;57,00;39,00;59,00;48,21;33,21;61,07;27,86
2019-09-22;29,00;34,00;54,00;39,00;59,00;44,04;31,15;59,07;26,85
2019-09-29;29,00;29,00;56,00;39,00;59,00;42,96;31,15;58,00;27,93
2019-10-06;28,00;34,00;54,00;37,00;59,00;43,08;32,31;61,38;25,85
2019-10-13;27,00;29,00;52,00;35,00;56,00;41,04;32,40;52,92;23,76
2019-10-20;28,00;32,00;49,00;33,00;51,00;39,85;31,23;50,62;23,69
2019-10-27;27,00;35,00;43,00;32,00;51,00;39,96;29,16;46,44;22,68
2019-11-03;26,00;34,00;42,00;32,00;46,00;36,83;30,33;47,67;24,92
2019-11-10;26,00;32,00;44,00;30,00;46,00;39,00;28,17;45,50;22,75
2019-11-17;25,00;33,00;45,00;31,00;48,00;36,46;26,04;42,71;21,88
2019-11-24;24,00;31,00;42,00;28,00;46,00;36,00;25,09;42,55;24,00
2019-12-01;24,00;29,00;44,00;28,00;47,00;37,57;26,09;39,65;22,96
2019-12-08;24,00;29,00;43,00;27,00;44,00;38,18;26,18;42,55;25,09
2019-12-15;23,00;27,00;44,00;28,00;39,00;35,55;26,14;42,86;26,14
2019-12-22;28,00;33,00;57,00;38,00;44,00;48,46;32,31;54,92;32,31
2019-12-29;31,00;36,00;59,00;42,00;48,00;55,59;34,21;60,93;31,00
2020-01-05;29,00;37,00;59,00;41,00;50,00;42,96;36,52;64,44;33,30
2020-01-12;30,00;38,00;61,00;42,00;55,00;45,00;37,50;64,29;34,29
2020-01-19;28,00;38,00;59,00;40,00;51,00;45,23;33,38;62,46;34,46
2020-01-26;29,00;37,00;54,00;36,00;54,00;42,96;34,37;56,93;29,00
2020-02-02;30,00;34,00;54,00;35,00;57,00;39,64;32,14;56,79;31,07
2020-02-09;32,00;34,00;51,00;35,00;57,00;44,14;32,00;59,59;35,31
