Residence_tourisme;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;37,00;32,52;22,42;17,94;24,67;17,00;35,00;28,00;0,50
2019-01-13;46,00;39,27;44,88;19,07;40,39;14,00;38,00;22,00;1,00
2019-01-20;39,00;43,46;28,97;27,86;57,94;21,00;18,00;20,00;1,00
2019-01-27;38,00;6,51;6,51;26,06;38,00;13,00;24,00;23,00;1,00
2019-02-03;36,00;46,13;0,00;22,50;43,88;13,00;47,00;18,00;1,00
2019-02-10;48,00;18,98;30,14;24,56;42,42;5,00;16,00;23,00;1,00
2019-02-17;49,00;13,36;7,80;17,82;46,77;14,00;23,00;15,00;1,00
2019-02-24;47,00;31,70;29,51;15,30;59,02;14,00;16,00;14,00;1,00
2019-03-03;47,00;13,43;6,71;11,19;52,60;11,00;13,00;15,00;0,50
2019-03-10;41,00;32,14;7,76;19,95;38,78;13,00;22,00;21,00;1,00
2019-03-17;49,00;20,05;30,07;8,91;52,34;7,00;6,00;18,00;1,00
2019-03-24;53,00;19,88;29,81;13,25;46,38;13,00;10,00;20,00;1,00
2019-03-31;46,00;6,57;43,81;18,62;47,10;16,00;23,00;21,00;2,00
2019-04-07;53,00;41,72;64,28;14,66;65,40;7,00;13,00;26,00;1,00
2019-04-14;45,00;42,75;41,63;15,75;39,38;11,00;26,00;15,00;1,00
2019-04-21;36,00;40,50;0,00;12,38;49,50;23,00;26,00;17,00;2,00
2019-04-28;44,00;0,00;14,30;16,50;37,40;14,00;31,00;18,00;1,00
2019-05-05;51,00;0,00;7,76;14,41;53,22;11,00;3,00;26,00;1,00
2019-05-12;28,00;6,72;36,96;20,16;44,80;12,00;9,00;22,00;1,00
2019-05-19;46,00;18,62;21,90;12,05;74,48;12,00;12,00;24,00;2,00
2019-05-26;45,00;12,38;23,63;19,13;68,63;10,00;22,00;20,00;4,00
2019-06-02;43,00;36,21;14,71;19,24;79,21;7,00;20,00;30,00;2,00
2019-06-09;56,00;68,32;22,40;20,16;60,48;11,00;21,00;27,00;2,00
2019-06-16;54,00;12,38;22,50;14,63;90,00;10,00;25,00;25,00;1,00
2019-06-23;41,00;19,95;47,65;14,41;73,14;16,00;22,00;14,00;2,00
2019-06-30;46,00;26,29;53,67;25,19;81,05;17,00;31,00;25,00;0,50
2019-07-07;38,00;6,71;15,65;15,65;68,18;14,00;28,00;23,00;1,00
2019-07-14;56,00;28,00;25,76;16,80;84,00;23,00;23,00;22,00;1,00
2019-07-21;51,00;57,65;8,87;18,85;85,37;13,00;49,00;25,00;1,00
2019-07-28;58,00;20,79;27,36;17,51;91,92;18,00;14,00;16,00;2,00
2019-08-04;53,00;48,58;16,56;22,08;110,42;15,00;21,00;25,00;2,00
2019-08-11;59,00;46,75;7,79;20,04;76,81;13,00;39,00;20,00;0,50
2019-08-18;57,00;33,98;14,25;18,63;59,19;16,00;27,00;24,00;1,00
2019-08-25;35,00;32,74;22,58;28,23;41,77;16,00;32,00;20,00;1,00
2019-09-01;44,00;25,95;6,77;22,56;54,15;5,00;12,00;24,00;2,00
2019-09-08;42,00;32,05;22,11;21,00;32,05;12,00;22,00;19,00;2,00
2019-09-15;39,00;18,94;0,00;20,06;25,63;16,00;22,00;17,00;3,00
2019-09-22;42,00;5,53;22,11;17,68;33,16;9,00;15,00;26,00;1,00
2019-09-29;50,00;54,44;30,00;15,56;25,56;9,00;15,00;22,00;3,00
2019-10-06;37,00;29,38;7,62;16,32;40,26;8,00;24,00;26,00;2,00
2019-10-13;36,00;5,63;14,63;20,25;36,00;9,00;9,00;24,00;3,00
2019-10-20;45,00;18,00;6,75;12,38;31,50;5,00;21,00;16,00;1,00
2019-10-27;38,00;38,00;27,94;14,53;35,76;10,00;9,00;18,00;2,00
2019-11-03;37,00;30,27;28,03;21,30;20,18;6,00;6,00;17,00;1,00
2019-11-10;40,00;12,22;21,11;12,22;27,78;6,00;12,00;10,00;2,00
2019-11-17;31,00;17,71;21,04;15,50;28,79;5,00;24,00;12,00;2,00
2019-11-24;45,00;23,05;20,85;6,59;28,54;4,00;6,00;20,00;3,00
2019-12-01;40,00;17,78;14,44;15,56;25,56;5,00;18,00;14,00;3,00
2019-12-08;36,00;36,00;6,75;15,75;23,63;5,00;21,00;13,00;2,00
2019-12-15;28,00;17,92;29,12;16,80;28,00;5,00;15,00;17,00;3,00
2019-12-22;44,00;32,72;0,00;20,31;29,33;11,00;13,00;28,00;6,00
2019-12-29;43,00;18,74;16,54;17,64;26,46;10,00;3,00;19,00;3,00
2020-01-05;39,00;27,86;34,54;21,17;39,00;7,00;40,00;32,00;6,00
2020-01-12;47,00;39,17;33,57;20,14;48,12;13,00;19,00;24,00;5,00
2020-01-19;49,00;16,70;20,05;23,39;36,75;12,00;20,00;34,00;5,00
2020-01-26;37,00;29,15;6,73;14,58;53,82;5,00;23,00;23,00;4,00
2020-02-02;46,00;16,43;26,29;16,43;44,90;6,00;26,00;24,00;5,00
2020-02-09;45,00;16,88;27,00;20,25;47,25;12,00;11,00;16,00;6,00
2020-02-16;53,00;39,75;27,60;18,77;29,81;11,00;26,00;18,00;5,00
2020-02-23;42,00;22,11;19,89;14,37;36,47;5,00;20,00;22,00;4,00
2020-03-01;37,00;5,44;0,00;8,71;31,56;7,00;6,00;17,00;4,00
2020-03-08;16,00;21,33;11,73;7,47;14,93;2,00;5,00;8,00;5,00
2020-03-15;8,00;5,71;6,86;3,43;13,71;1,00;5,00;7,00;5,00
2020-03-22;2,00;5,00;0,00;5,00;10,00;2,00;8,00;10,00;5,00
2020-03-29;7,00;14,00;0,00;1,00;2,00;0,00;5,00;7,00;3,00
2020-04-05;4,00;5,00;6,00;3,00;2,00;1,00;0,00;11,00;3,00
2020-04-12;8,00;5,00;12,00;3,00;8,00;1,00;3,00;8,00;3,00
2020-04-19;7,00;0,00;0,00;3,50;11,67;0,00;5,00;4,00;4,00
2020-04-26;7,00;0,00;18,67;4,67;7,00;4,00;0,00;8,00;2,00
2020-05-03;8,00;0,00;19,43;5,71;9,14;1,00;5,00;7,00;3,00
2020-05-10;12,00;0,00;13,20;6,00;10,80;3,00;5,00;8,00;3,00
2020-05-17;15,00;20,36;12,86;6,43;20,36;2,00;10,00;8,00;5,00
2020-05-24;17,00;5,67;6,80;10,20;31,73;4,00;8,00;7,00;3,00
2020-05-31;32,00;4,41;12,14;12,14;17,66;7,00;12,00;16,00;6,00
2020-06-07;20,00;14,44;31,11;15,56;34,44;12,00;7,00;31,00;30,00
2020-06-14;39,00;30,09;31,20;16,71;45,69;6,00;15,00;23,00;11,00
2020-06-21;44,00;11,00;6,60;9,90;41,80;14,00;21,00;31,00;19,00
2020-06-28;46,00;25,80;20,20;17,95;56,10;14,00;28,00;15,00;4,00
2020-07-05;63,00;16,58;21,00;15,47;45,32;8,00;11,00;16,00;4,00
2020-07-12;48,00;17,86;50,23;17,86;51,35;13,00;11,00;18,00;4,00
2020-07-19;78,00;12,08;35,15;12,08;58,23;14,00;28,00;23,00;4,00
2020-07-26;92,00;11,08;14,41;18,84;70,94;21,00;29,00;17,00;7,00
2020-08-02;98,00;45,66;21,16;15,59;73,50;17,00;21,00;13,00;5,00
2020-08-09;85,00;16,78;6,71;14,54;70,46;10,00;17,00;16,00;4,00
2020-08-16;71,00;11,09;33,28;15,53;64,34;10,00;28,00;15,00;4,00
2020-08-23;29,00;16,73;26,77;10,04;37,92;5,00;19,00;14,00;5,00
2020-08-30;44,00;27,50;19,80;14,30;31,90;10,00;8,00;19,00;3,00
2020-09-06;47,00;16,79;0,00;11,19;32,45;5,00;14,00;11,00;4,00
2020-09-13;61,00;27,73;13,31;11,09;25,51;7,00;14,00;15,00;4,00
2020-09-20;63,00;16,58;13,26;15,47;22,11;4,00;8,00;13,00;2,00
2020-09-27;73,00;5,53;13,27;18,80;18,80;6,00;14,00;12,00;4,00
2020-10-04;57,00;10,96;27,40;14,25;7,67;0,00;17,00;9,00;5,00
2020-10-11;61,00;5,55;14,42;12,20;14,42;4,00;6,00;16,00;5,00
2020-10-18;53,00;0,00;6,63;19,88;15,46;0,00;3,00;13,00;5,00
2020-10-25;23,00;0,00;6,57;20,81;9,86;0,00;3,00;18,00;3,00
2020-11-01;41,00;15,51;0,00;16,62;8,86;1,00;6,00;18,00;4,00
2020-11-08;38,00;5,59;13,41;14,53;7,82;2,00;6,00;16,00;6,00
2020-11-15;31,00;11,07;6,64;18,82;7,75;1,00;12,00;18,00;4,00
2020-11-22;22,00;20,90;0,00;12,10;18,70;1,00;11,00;10,00;4,00
2020-11-29;46,00;16,43;0,00;13,14;5,48;0,00;0,00;13,00;4,00
2020-12-06;61,00;0,00;6,65;9,98;17,75;0,00;3,00;11,00;4,00
2020-12-13;73,00;5,62;0,00;13,48;12,35;1,00;6,00;15,00;5,00
2020-12-20;50,00;0,00;23,33;20,00;16,67;1,00;3,00;20,00;3,00
2020-12-27;21,00;5,53;30,95;4,42;13,26;1,00;6,00;9,00;2,00
2021-01-03;53,00;11,04;6,63;9,94;17,67;2,00;8,00;8,00;5,00
2021-01-10;49,00;11,14;13,36;14,48;14,48;4,00;3,00;12,00;3,00
