Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;26,00;12,00;6,00;17,00;8,00;33,91;5,65;2,26;10,17;4,59;56,59;38,24;13,76;4,16;9,36;29,12;3,12;3,39;7,91;9,04;16,96
2019-01-13;23,00;19,00;4,00;9,00;6,00;23,00;2,30;1,15;13,80;2,88;37,38;38,81;10,06;13,59;9,41;35,55;3,14;41,62;8,76;17,52;10,95
2019-01-20;21,00;21,00;2,00;21,00;12,00;26,83;4,67;3,50;12,83;3,00;40,50;49,50;12,00;5,25;5,25;54,60;1,05;18,79;7,74;15,47;14,37
2019-01-27;30,00;9,00;6,00;12,00;2,00;30,00;3,33;5,56;10,00;4,50;34,50;48,00;6,00;3,10;5,17;43,45;4,14;3,21;30,00;5,36;11,79
2019-02-03;40,00;16,00;6,00;19,00;4,00;24,44;6,67;4,44;21,11;1,48;54,81;45,93;5,93;3,08;5,13;52,31;3,08;5,41;29,19;9,73;10,81
2019-02-10;32,00;16,00;5,00;13,00;3,00;27,43;8,00;1,14;20,57;2,91;48,00;49,45;4,36;8,26;10,32;42,32;4,13;4,41;38,62;5,52;19,86
2019-02-17;45,00;17,00;7,00;13,00;5,00;41,63;10,13;2,25;19,13;5,81;49,35;60,97;8,71;7,16;7,16;42,95;3,07;4,39;25,24;6,59;10,98
2019-02-24;47,00;28,00;7,00;8,00;5,00;34,69;1,12;4,48;7,83;1,47;30,84;51,41;7,34;5,11;2,04;36,78;2,04;2,19;24,05;8,74;12,02
2019-03-03;47,00;24,00;6,00;8,00;6,00;36,93;12,31;3,36;15,67;2,94;33,78;66,09;4,41;3,07;2,04;51,09;3,07;2,19;25,14;3,28;17,49
2019-03-10;41,00;22,00;6,00;11,00;4,00;35,31;5,69;2,28;10,25;2,93;32,21;64,43;5,86;2,05;4,10;41,00;1,03;4,43;24,38;6,65;12,19
2019-03-17;41,00;20,00;8,00;5,00;3,00;36,44;13,67;2,28;9,11;10,25;39,54;58,57;4,39;7,18;1,03;50,23;3,08;2,22;17,73;9,97;17,73
2019-03-24;59,00;28,00;9,00;9,00;6,00;36,31;11,35;3,40;14,75;4,43;44,25;51,63;11,80;2,07;5,18;38,30;8,28;5,46;19,67;8,74;22,94
2019-03-31;51,00;27,00;6,00;15,00;7,00;39,67;9,07;3,40;12,47;13,50;31,50;66,00;10,50;6,24;2,08;52,04;2,08;5,54;5,54;15,52;18,85
2019-04-07;51,00;32,00;7,00;24,00;12,00;45,46;8,87;1,11;17,74;14,57;45,17;72,86;18,94;2,04;4,08;56,10;5,10;2,17;8,68;17,36;18,45
2019-04-14;65,00;35,00;7,00;21,00;13,00;53,79;11,21;3,36;13,45;5,91;51,70;72,39;19,20;6,09;3,05;47,73;3,05;5,42;6,50;21,67;17,33
2019-04-21;46,00;30,00;4,00;25,00;11,00;54,98;15,71;4,49;17,95;5,94;31,16;68,26;14,84;3,07;2,04;58,27;7,16;2,19;5,48;36,14;20,81
2019-04-28;60,00;29,00;8,00;26,00;14,00;41,89;7,92;1,13;16,98;3,00;51,00;78,00;9,00;8,28;0,00;64,14;2,07;2,18;4,36;18,55;14,18
2019-05-05;47,00;27,00;5,00;21,00;9,00;47,00;15,67;2,24;20,14;1,47;32,31;69,03;16,16;5,11;2,04;55,17;4,09;4,27;5,34;22,43;14,95
2019-05-12;43,00;27,00;7,00;21,00;7,00;30,55;10,18;1,13;10,18;4,45;25,21;68,21;11,86;1,05;2,10;40,90;2,10;5,51;4,41;23,15;17,64
2019-05-19;49,00;32,00;6,00;18,00;20,00;39,88;5,70;1,14;15,95;4,45;29,70;51,97;13,36;8,34;2,09;49,00;1,04;4,45;4,45;22,27;15,59
2019-05-26;60,00;26,00;11,00;30,00;12,00;61,13;14,72;1,13;20,38;6,00;48,00;79,50;22,50;9,31;2,07;58,97;3,10;7,64;7,64;22,91;22,91
2019-06-02;52,00;28,00;8,00;15,00;8,00;49,79;8,85;1,11;11,06;4,46;47,54;84,69;7,43;9,18;2,04;55,06;4,08;9,75;8,67;19,50;16,25
2019-06-09;50,00;16,00;5,00;21,00;7,00;45,56;8,89;1,11;20,00;1,47;39,71;79,41;14,71;6,12;1,02;53,06;2,04;5,43;6,52;22,83;27,17
2019-06-16;52,00;26,00;5,00;26,00;7,00;52,00;6,78;7,91;16,96;10,40;50,51;68,34;16,34;6,24;1,04;66,56;2,08;7,74;2,21;23,23;18,81
2019-06-23;44,00;19,00;7,00;17,00;12,00;45,13;10,15;3,38;22,56;7,33;44,00;71,87;17,60;5,12;5,12;55,26;3,07;6,60;9,90;26,40;20,90
2019-06-30;55,00;24,00;8,00;24,00;12,00;61,73;10,10;6,73;17,96;8,92;34,19;78,78;11,89;6,11;1,02;70,28;5,09;5,50;12,10;24,20;31,90
2019-07-07;63,00;32,00;11,00;24,00;16,00;76,50;11,25;2,25;20,25;5,86;58,60;79,12;21,98;5,08;2,03;68,08;5,08;5,43;13,03;19,55;34,76
2019-07-14;65,00;35,00;12,00;23,00;8,00;85,17;10,09;7,84;28,02;8,86;48,75;87,16;19,20;7,11;5,08;79,22;2,03;9,75;8,67;15,17;36,83
2019-07-21;58,00;23,00;15,00;33,00;11,00;80,75;14,78;3,41;27,29;13,38;44,62;86,26;16,36;4,14;2,07;87,00;9,32;9,85;6,57;22,98;36,11
2019-07-28;68,00;39,00;12,00;32,00;14,00;74,69;21,18;5,57;39,02;17,74;69,48;116,78;20,70;14,21;3,04;90,33;7,10;14,03;15,11;23,75;32,38
