Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2019-01-06;53,00;23,71;6,97;26,50;8,37;16,00;6,00;17,00;1,00;4,00;2,00;3,00;2,00;2,00;1,00;1,00;3,00;2,00;0,50;0,50;0,50
2019-01-13;49,00;19,06;5,44;23,14;6,81;16,00;9,00;14,00;1,00;3,00;4,00;5,00;3,00;3,00;1,00;1,00;2,00;1,00;0,50;0,50;0,50
2019-01-20;48,00;26,06;6,86;19,20;6,86;18,00;6,00;21,00;1,00;3,00;4,00;5,00;3,00;3,00;1,00;1,00;1,00;1,00;0,50;0,50;1,00
2019-01-27;42,00;23,80;8,40;22,40;7,00;16,00;8,00;19,00;2,00;3,00;5,00;5,00;3,00;4,00;1,00;0,50;2,00;1,00;0,50;1,00;1,00
2019-02-03;40,00;23,45;8,28;23,45;8,28;17,00;8,00;17,00;2,00;5,00;5,00;5,00;3,00;4,00;1,00;2,00;1,00;1,00;0,00;0,50;1,00
2019-02-10;42,00;23,80;9,80;26,60;8,40;19,00;7,00;19,00;2,00;5,00;4,00;5,00;4,00;6,00;1,00;2,00;2,00;1,00;0,50;0,50;1,00
2019-02-17;40,00;30,34;13,79;30,34;9,66;17,00;8,00;23,00;3,00;4,00;3,00;5,00;5,00;6,00;1,00;1,00;3,00;2,00;1,00;0,50;2,00
2019-02-24;45,00;31,36;12,27;25,91;8,18;17,00;11,00;21,00;1,00;5,00;6,00;6,00;5,00;5,00;2,00;2,00;2,00;2,00;1,00;1,00;1,00
2019-03-03;42,00;29,81;12,19;28,45;10,84;19,00;8,00;21,00;1,00;4,00;4,00;5,00;5,00;5,00;1,00;2,00;1,00;3,00;0,50;0,50;1,00
2019-03-10;48,00;24,69;9,60;23,31;6,86;20,00;11,00;21,00;1,00;3,00;4,00;5,00;3,00;4,00;1,00;2,00;3,00;2,00;1,00;1,00;1,00
2019-03-17;48,00;28,80;10,97;28,80;6,86;23,00;8,00;22,00;2,00;4,00;5,00;4,00;4,00;4,00;1,00;2,00;3,00;3,00;1,00;1,00;1,00
2019-03-24;46,00;28,41;13,53;28,41;8,12;21,00;8,00;21,00;1,00;5,00;5,00;5,00;4,00;7,00;1,00;2,00;3,00;1,00;1,00;1,00;1,00
2019-03-31;62,00;33,07;15,16;27,56;11,02;26,00;9,00;26,00;2,00;5,00;6,00;7,00;3,00;4,00;1,00;2,00;2,00;3,00;0,50;0,50;1,00
2019-04-07;63,00;39,72;21,91;34,24;15,07;27,00;9,00;28,00;1,00;6,00;5,00;9,00;8,00;7,00;2,00;2,00;3,00;4,00;0,00;1,00;2,00
2019-04-14;65,00;40,11;20,74;37,34;19,36;32,00;11,00;25,00;2,00;7,00;7,00;6,00;8,00;8,00;2,00;3,00;4,00;5,00;0,50;1,00;1,00
