Semaine;Nice (FR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;51,00;17,00;1,00;1,00;13,00;2,00;16,00;4,00;3,00;10,00;2,00;5,00;1,00;1,34;1,34;21,47;6,71;22,00;6,00;1,00;17,00;0,50;5,00;2,00;18,00;0,50;0,50;5,00;3,00;1,00;5,00;1,00;3,00;0,50;1,00;1,00;2,00;1,00;0,50;0,50;1,00;1,00;0,00
2019-01-13;52,00;16,00;2,00;0,50;13,00;3,00;15,00;3,00;6,00;10,00;2,00;5,00;2,00;1,37;2,74;20,53;5,47;24,00;8,00;1,00;15,00;0,50;6,00;2,00;16,00;2,00;0,50;4,00;4,00;0,50;6,00;4,00;4,00;0,50;1,00;0,50;1,00;1,00;0,50;0,50;0,50;1,00;0,00
2019-01-20;48,00;17,00;1,00;1,00;8,00;2,00;15,00;3,00;4,00;10,00;1,00;5,00;3,00;1,37;1,37;24,69;6,86;22,00;7,00;1,00;20,00;0,50;6,00;1,00;18,00;1,00;0,50;2,00;3,00;0,50;4,00;2,00;4,00;0,50;1,00;1,00;2,00;1,00;0,00;0,00;1,00;0,50;0,50
2019-01-27;45,00;18,00;2,00;0,50;11,00;2,00;14,00;5,00;5,00;7,00;2,00;6,00;2,00;1,36;2,73;23,18;6,82;22,00;6,00;1,00;17,00;1,00;10,00;2,00;18,00;1,00;0,00;3,00;3,00;1,00;3,00;3,00;4,00;0,50;1,00;1,00;2,00;2,00;0,00;0,50;1,00;1,00;0,00
2019-02-03;40,00;19,00;2,00;0,50;12,00;4,00;18,00;5,00;4,00;6,00;2,00;4,00;3,00;2,76;2,76;24,83;8,28;26,00;9,00;2,00;15,00;1,00;9,00;2,00;18,00;2,00;0,00;4,00;6,00;1,00;3,00;2,00;3,00;0,50;1,00;2,00;1,00;2,00;0,00;1,00;2,00;1,00;0,00
2019-02-10;42,00;19,00;1,00;1,00;13,00;3,00;20,00;3,00;6,00;7,00;2,00;4,00;4,00;2,80;1,40;28,00;9,80;32,00;7,00;1,00;20,00;1,00;9,00;3,00;22,00;2,00;0,50;3,00;5,00;0,50;5,00;3,00;4,00;0,50;1,00;1,00;3,00;1,00;0,50;0,50;2,00;1,00;0,00
2019-02-17;41,00;16,00;1,00;1,00;15,00;4,00;14,00;5,00;5,00;6,00;2,00;5,00;3,00;1,37;2,73;31,43;13,67;37,00;9,00;1,00;20,00;1,00;8,00;2,00;19,00;3,00;0,00;5,00;4,00;1,00;6,00;4,00;4,00;0,00;2,00;3,00;2,00;2,00;1,00;0,50;2,00;1,00;0,50
2019-02-24;47,00;22,00;2,00;0,50;14,00;4,00;17,00;8,00;4,00;7,00;3,00;5,00;2,00;2,69;4,03;30,89;16,11;30,00;11,00;1,00;17,00;1,00;9,00;2,00;22,00;2,00;0,50;5,00;5,00;0,50;4,00;4,00;4,00;1,00;1,00;3,00;2,00;2,00;0,50;0,50;0,50;1,00;1,00
2019-03-03;45,00;21,00;2,00;1,00;13,00;4,00;18,00;4,00;6,00;6,00;2,00;7,00;3,00;1,36;2,73;30,00;9,55;28,00;10,00;2,00;19,00;1,00;10,00;2,00;25,00;1,00;0,50;5,00;4,00;1,00;5,00;5,00;5,00;0,50;1,00;1,00;3,00;2,00;0,50;0,50;1,00;1,00;0,00
2019-03-10;51,00;20,00;4,00;0,50;11,00;4,00;18,00;7,00;5,00;9,00;2,00;4,00;3,00;2,76;2,76;26,19;9,65;26,00;9,00;2,00;20,00;1,00;10,00;2,00;21,00;1,00;0,50;3,00;4,00;1,00;6,00;4,00;4,00;0,00;2,00;1,00;3,00;1,00;1,00;1,00;1,00;1,00;0,50
