Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Les Deux Alpes (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;42,00;28,00;30,00;19,00;28,00;30,00;11,00;19,00;16,00;27,00;14,00;4,00;15,00;7,00;15,00;15,00;10,00;5,00;11,00;11,00;6,00;14,00;10,00;22,00;9,00;1,00;4,00;4,00
2019-01-13;40,00;21,00;36,00;22,00;25,00;28,00;19,00;22,00;10,00;23,00;14,00;6,00;16,00;8,00;13,00;17,00;8,00;4,00;12,00;10,00;11,00;12,00;9,00;20,00;13,00;2,00;8,00;7,00
2019-01-20;44,00;23,00;42,00;26,00;18,00;23,00;16,00;26,00;11,00;25,00;13,00;6,00;15,00;8,00;26,00;14,00;12,00;11,00;14,00;9,00;10,00;17,00;7,00;35,00;18,00;3,00;7,00;6,00
2019-01-27;49,00;27,00;42,00;35,00;29,00;31,00;17,00;35,00;13,00;27,00;16,00;7,00;14,00;12,00;12,00;18,00;9,00;7,00;14,00;8,00;14,00;8,00;6,00;26,00;14,00;4,00;9,00;10,00
2019-02-03;55,00;28,00;48,00;26,00;28,00;28,00;22,00;26,00;11,00;28,00;19,00;9,00;17,00;13,00;18,00;16,00;9,00;6,00;14,00;10,00;13,00;5,00;10,00;25,00;14,00;2,00;7,00;11,00
2019-02-10;43,00;31,00;40,00;31,00;23,00;24,00;24,00;31,00;13,00;27,00;15,00;9,00;23,00;7,00;14,00;27,00;14,00;9,00;17,00;8,00;13,00;5,00;6,00;19,00;16,00;2,00;9,00;7,00
2019-02-17;44,00;22,00;40,00;25,00;23,00;27,00;16,00;25,00;11,00;25,00;11,00;15,00;22,00;10,00;18,00;40,00;11,00;6,00;14,00;8,00;16,00;4,00;8,00;21,00;14,00;2,00;7,00;7,00
2019-02-24;47,00;23,00;33,00;24,00;25,00;33,00;27,00;24,00;10,00;21,00;12,00;10,00;10,00;8,00;16,00;23,00;12,00;7,00;11,00;8,00;10,00;4,00;7,00;18,00;10,00;0,00;6,00;4,00
2019-03-03;50,00;27,00;27,00;26,00;28,00;24,00;19,00;26,00;6,00;22,00;15,00;7,00;19,00;8,00;12,00;16,00;13,00;3,00;9,00;8,00;9,00;4,00;4,00;22,00;8,00;1,00;7,00;6,00
2019-03-10;49,00;26,00;37,00;21,00;27,00;31,00;19,00;21,00;10,00;20,00;16,00;6,00;14,00;4,00;10,00;14,00;9,00;2,00;13,00;8,00;5,00;3,00;6,00;13,00;5,00;2,00;4,00;4,00
2019-03-17;43,00;19,00;33,00;16,00;22,00;17,00;13,00;16,00;6,00;14,00;10,00;3,00;9,00;5,00;7,00;5,00;9,00;3,00;8,00;8,00;5,00;2,00;5,00;9,00;8,00;1,00;6,00;4,00
2019-03-24;39,00;18,00;19,00;14,00;19,00;15,00;5,00;14,00;5,00;11,00;9,00;4,00;5,00;2,00;7,00;5,00;5,00;4,00;7,00;4,00;6,00;1,00;2,00;6,00;2,00;0,50;1,00;2,00
2019-03-31;49,00;18,00;16,00;12,00;15,00;14,00;9,00;12,00;4,00;12,00;7,00;2,00;10,00;4,00;8,00;5,00;7,00;2,00;7,00;9,00;4,00;9,00;2,00;7,00;3,00;0,50;4,00;3,00
2019-04-07;28,00;15,00;14,00;10,00;17,00;11,00;7,00;10,00;4,00;5,00;9,00;3,00;5,00;5,00;7,00;7,00;8,00;2,00;1,00;5,00;4,00;2,00;2,00;7,00;2,00;0,50;2,00;1,00
2019-04-14;43,00;13,00;11,00;9,00;22,00;11,00;6,00;9,00;3,00;8,00;8,00;3,00;4,00;1,00;3,00;6,00;3,00;2,00;2,00;4,00;5,00;4,00;2,00;6,00;3,00;0,00;1,00;1,00
2019-04-21;42,00;19,00;10,00;9,00;18,00;4,00;3,00;9,00;2,00;6,00;5,00;2,00;2,00;1,00;1,00;2,00;5,00;1,00;1,00;1,00;3,00;3,00;1,00;3,00;1,00;0,00;2,00;1,00
2019-04-28;31,00;11,00;4,00;3,00;8,00;5,00;1,00;3,00;1,00;4,00;4,00;0,50;3,00;1,00;2,00;2,00;5,00;1,00;2,00;1,00;1,00;1,00;2,00;6,00;2,00;0,50;1,00;1,00
2019-05-05;29,00;2,00;5,00;3,00;6,00;2,00;4,00;3,00;4,00;4,00;2,00;3,00;5,00;3,00;1,00;2,00;4,00;1,00;2,00;2,00;2,00;3,00;1,00;5,00;2,00;1,00;0,50;1,00
