Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;53,00;26,00;28,00;26,00;2,00;30,00;22,00;0,00;17,00;15,00;12,00;2,00;1,00;2,00;24,00;4,00;0,50;11,00;7,00;1,00;15,00;6,00;14,00;0,00;0,00;18,00;11,00;7,00;10,00;6,00;9,00;0,50;13,00;0,00;0,00;10,00;0,00;0,00;0,50;18,00;9,00;1,00;6,00;7,00
2019-01-13;42,00;26,00;37,00;24,00;2,00;22,00;26,00;0,50;18,00;17,00;12,00;2,00;2,00;0,50;26,00;2,00;0,00;16,00;7,00;0,50;16,00;7,00;13,00;0,50;0,00;14,00;10,00;7,00;15,00;11,00;8,00;1,00;12,00;0,00;0,00;7,00;0,00;1,00;0,50;18,00;16,00;2,00;6,00;9,00
2019-01-20;50,00;25,00;33,00;23,00;0,00;22,00;26,00;0,00;13,00;13,00;12,00;0,50;3,00;0,00;23,00;3,00;0,00;14,00;6,00;1,00;15,00;10,00;23,00;1,00;0,00;12,00;11,00;8,00;15,00;7,00;14,00;0,00;12,00;1,00;0,50;7,00;0,00;0,50;0,50;32,00;16,00;3,00;8,00;12,00
2019-01-27;46,00;24,00;36,00;31,00;0,50;26,00;28,00;1,00;21,00;19,00;17,00;0,50;2,00;0,00;24,00;3,00;0,50;12,00;7,00;2,00;17,00;12,00;10,00;0,00;0,00;17,00;11,00;5,00;11,00;8,00;11,00;1,00;4,00;0,00;0,00;4,00;0,00;1,00;0,00;28,00;14,00;2,00;9,00;7,00
2019-02-03;49,00;21,00;34,00;30,00;2,00;25,00;27,00;0,50;23,00;16,00;12,00;1,00;1,00;0,00;18,00;2,00;0,00;15,00;11,00;0,00;17,00;14,00;18,00;0,50;0,00;13,00;8,00;7,00;11,00;7,00;8,00;0,50;6,00;0,50;0,00;7,00;0,00;0,50;0,00;33,00;13,00;2,00;8,00;10,00
2019-02-10;50,00;23,00;36,00;32,00;3,00;28,00;27,00;0,00;17,00;17,00;13,00;0,00;2,00;0,00;23,00;2,00;0,50;15,00;14,00;0,00;18,00;9,00;15,00;0,00;0,00;22,00;13,00;6,00;17,00;6,00;15,00;1,00;6,00;0,50;0,00;6,00;0,00;2,00;0,00;21,00;18,00;2,00;6,00;6,00
2019-02-17;39,00;25,00;35,00;29,00;0,50;25,00;27,00;0,50;15,00;19,00;13,00;2,00;2,00;0,00;23,00;2,00;1,00;12,00;17,00;3,00;16,00;8,00;19,00;0,00;0,00;31,00;11,00;6,00;15,00;8,00;15,00;0,00;3,00;0,50;0,00;9,00;0,00;1,00;0,00;26,00;12,00;3,00;8,00;7,00
2019-02-24;47,00;16,00;32,00;18,00;0,50;31,00;32,00;0,50;25,00;14,00;12,00;0,00;2,00;1,00;22,00;4,00;0,00;14,00;11,00;1,00;12,00;8,00;10,00;0,00;0,00;22,00;12,00;6,00;12,00;10,00;12,00;0,00;4,00;1,00;0,00;8,00;0,00;0,00;1,00;16,00;10,00;2,00;8,00;4,00
2019-03-03;55,00;25,00;30,00;25,00;0,50;27,00;27,00;0,00;21,00;19,00;10,00;0,50;3,00;0,50;23,00;3,00;0,50;10,00;5,00;3,00;16,00;9,00;14,00;1,00;0,00;17,00;15,00;3,00;9,00;8,00;10,00;0,50;2,00;0,50;0,00;4,00;0,00;0,50;0,50;18,00;11,00;2,00;5,00;7,00
2019-03-10;45,00;19,00;38,00;21,00;0,50;25,00;26,00;0,00;22,00;13,00;10,00;0,00;1,00;0,00;18,00;3,00;0,50;18,00;5,00;2,00;13,00;6,00;14,00;1,00;0,00;17,00;5,00;4,00;12,00;11,00;9,00;0,50;3,00;0,00;0,00;5,00;0,00;0,50;1,00;10,00;6,00;1,00;7,00;3,00
2019-03-17;46,00;17,00;28,00;15,00;0,00;22,00;18,00;0,00;9,00;10,00;6,00;0,00;4,00;0,50;13,00;3,00;0,00;11,00;7,00;0,00;8,00;3,00;12,00;0,00;0,00;4,00;8,00;3,00;7,00;7,00;9,00;0,00;2,00;0,00;0,00;3,00;0,00;0,50;0,50;10,00;8,00;0,50;6,00;4,00
2019-03-24;32,00;17,00;17,00;12,00;0,50;18,00;14,00;0,00;9,00;5,00;3,00;0,50;2,00;0,00;10,00;3,00;0,50;10,00;2,00;1,00;4,00;2,00;6,00;0,00;0,00;6,00;8,00;2,00;4,00;5,00;6,00;0,00;1,00;0,50;0,00;2,00;0,00;1,00;0,50;8,00;4,00;0,50;1,00;3,00
