Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;22,00;118,25;88,00;132,00;5,50;8,00;25,00;4,00;6,00
2019-01-13;24,00;93,60;69,60;117,60;2,40;5,00;21,00;9,00;4,00
2019-01-20;21,00;102,38;65,63;110,25;2,63;3,00;23,00;6,00;8,00
2019-01-27;28,00;99,27;66,18;101,82;5,09;6,00;21,00;8,00;2,00
2019-02-03;30,00;100,00;75,00;102,50;5,00;4,00;19,00;6,00;3,00
2019-02-10;31,00;95,58;69,75;93,00;2,58;7,00;20,00;6,00;3,00
2019-02-17;26,00;85,80;67,60;104,00;2,60;7,00;39,00;8,00;3,00
2019-02-24;23,00;99,67;71,56;102,22;2,56;5,00;27,00;7,00;2,00
2019-03-03;24,00;96,00;64,00;96,00;2,67;3,00;19,00;5,00;8,00
2019-03-10;24,00;84,00;52,80;81,60;2,40;5,00;26,00;8,00;5,00
2019-03-17;26,00;78,00;59,80;93,60;2,60;4,00;16,00;7,00;4,00
2019-03-24;20,00;77,50;52,50;85,00;2,50;4,00;23,00;7,00;6,00
2019-03-31;23,00;79,22;43,44;109,89;5,11;2,00;21,00;3,00;4,00
2019-04-07;27,00;73,64;49,09;112,91;4,91;3,00;29,00;6,00;2,00
2019-04-14;25,00;65,00;50,00;95,00;2,50;4,00;17,00;5,00;5,00
2019-04-21;21,00;81,38;49,88;102,38;2,63;3,00;24,00;5,00;3,00
2019-04-28;19,00;57,00;57,00;114,00;5,43;5,00;18,00;7,00;3,00
2019-05-05;23,00;74,11;46,00;120,11;2,56;4,00;26,00;5,00;4,00
2019-05-12;22,00;58,67;48,89;97,78;2,44;5,00;27,00;8,00;4,00
2019-05-19;17,00;48,57;41,29;106,86;2,43;4,00;20,00;2,00;3,00
2019-05-26;19,00;54,29;40,71;103,14;2,71;1,00;24,00;6,00;3,00
2019-06-02;29,00;58,00;44,82;94,91;5,27;1,00;23,00;5,00;4,00
2019-06-09;24,00;61,33;45,33;109,33;2,67;2,00;24,00;4,00;2,00
2019-06-16;28,00;76,36;40,73;101,82;2,55;3,00;25,00;5,00;3,00
2019-06-23;30,00;65,00;45,00;117,50;2,50;4,00;31,00;5,00;3,00
2019-06-30;31,00;67,17;46,50;95,58;5,17;3,00;31,00;4,00;3,00
2019-07-07;24,00;69,33;45,33;101,33;5,33;4,00;37,00;3,00;2,00
2019-07-14;31,00;72,33;46,50;118,83;2,58;3,00;18,00;2,00;4,00
2019-07-21;35,00;67,50;45,00;95,00;2,50;4,00;20,00;5,00;5,00
2019-07-28;29,00;74,92;50,75;101,50;4,83;6,00;25,00;7,00;3,00
2019-08-04;39,00;88,40;49,40;111,80;5,20;3,00;22,00;5,00;4,00
2019-08-11;29,00;73,82;58,00;116,00;2,64;6,00;24,00;7,00;6,00
2019-08-18;36,00;79,71;56,57;115,71;2,57;5,00;22,00;7,00;9,00
2019-08-25;31,00;64,58;56,83;116,25;2,58;4,00;28,00;4,00;5,00
2019-09-01;25,00;57,50;52,50;107,50;2,50;3,00;35,00;7,00;5,00
2019-09-08;34,00;68,00;47,08;112,46;2,62;2,00;16,00;4,00;4,00
2019-09-15;22,00;51,33;34,22;97,78;2,44;5,00;23,00;7,00;5,00
2019-09-22;25,00;57,50;52,50;97,50;2,50;1,00;28,00;6,00;5,00
2019-09-29;25,00;57,50;42,50;102,50;2,50;3,00;22,00;3,00;2,00
2019-10-06;18,00;59,14;51,43;102,86;2,57;2,00;25,00;5,00;5,00
2019-10-13;16,00;61,33;56,00;133,33;5,33;6,00;28,00;5,00;5,00
2019-10-20;26,00;78,00;52,00;163,80;5,20;4,00;100,00;7,00;2,00
2019-10-27;20,00;65,00;57,50;112,50;2,50;5,00;32,00;7,00;4,00
2019-11-03;26,00;67,60;54,60;127,40;2,60;4,00;25,00;3,00;4,00
2019-11-10;21,00;76,13;44,63;118,13;5,25;4,00;23,00;6,00;4,00
2019-11-17;29,00;81,73;52,73;105,45;2,64;2,00;29,00;4,00;4,00
2019-11-24;22,00;75,78;53,78;92,89;2,44;3,00;23,00;3,00;4,00
2019-12-01;24,00;77,33;56,00;109,33;2,67;4,00;28,00;4,00;4,00
2019-12-08;42,00;63,00;57,75;102,38;5,25;3,00;48,00;4,00;3,00
2019-12-15;27,00;71,18;54,00;88,36;4,91;3,00;23,00;5,00;4,00
2019-12-22;35,00;105,00;62,50;115,00;2,50;5,00;20,00;4,00;6,00
2019-12-29;30,00;97,50;65,00;135,00;5,00;5,00;18,00;6,00;10,00
2020-01-05;29,00;94,91;73,82;134,45;5,27;5,00;25,00;4,00;8,00
2020-01-12;23,00;102,22;66,44;120,11;2,56;5,00;21,00;6,00;4,00
2020-01-19;31,00;108,50;67,17;121,42;2,58;1,00;23,00;4,00;4,00
2020-01-26;30,00;80,00;57,50;125,00;5,00;4,00;26,00;8,00;5,00
2020-02-02;31,00;90,42;62,00;113,67;5,17;6,00;18,00;3,00;5,00
2020-02-09;24,00;93,60;60,00;120,00;4,80;3,00;28,00;4,00;5,00
2020-02-16;23,00;94,56;61,33;120,11;2,56;3,00;21,00;9,00;4,00
2020-02-23;25,00;80,00;57,50;102,50;2,50;2,00;28,00;4,00;3,00
2020-03-01;24,00;85,33;61,33;120,00;2,67;3,00;28,00;8,00;4,00
2020-03-08;20,00;80,00;57,50;117,50;2,50;3,00;17,00;5,00;3,00
2020-03-15;19,00;73,29;40,71;114,00;2,71;3,00;23,00;2,00;3,00
2020-03-22;24,00;56,00;26,67;93,33;2,67;3,00;25,00;3,00;3,00
2020-03-29;25,00;35,00;25,00;90,00;2,50;4,00;29,00;1,00;3,00
2020-04-05;34,00;39,23;20,92;75,85;2,62;1,00;23,00;4,00;5,00
2020-04-12;21,00;34,13;26,25;91,88;5,25;2,00;22,00;1,00;3,00
2020-04-19;24,00;33,60;24,00;79,20;2,40;2,00;31,00;5,00;3,00
