Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;23,00;0,00;6,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;17,00;23,00;0,00;0,00;0,00;55,58;0,00;0,00;23,00;0,00;6,00
2019-01-13;34,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;29,00;0,00;0,00;0,00;40,00;6,00;0,00;6,00;0,00;6,00
2019-01-20;46,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;17,00;0,00;0,00;0,00;46,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;28,00;6,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;28,00;0,00;0,00;0,00;34,00;0,00;0,00;6,00;0,00;6,00
2019-02-03;22,00;6,00;0,00;0,00;0,00;6,00;6,00;0,00;0,00;0,00;6,00;34,00;0,00;0,00;0,00;44,00;0,00;0,00;11,00;0,00;17,00
2019-02-10;30,00;6,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;12,00;12,00;0,00;0,00;0,00;72,00;0,00;0,00;0,00;0,00;12,00
2019-02-17;23,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;35,00;0,00;0,00;0,00;90,08;0,00;0,00;0,00;6,00;0,00
2019-02-24;63,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;29,00;0,00;0,00;0,00;33,47;0,00;0,00;12,00;0,00;0,00
2019-03-03;74,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;40,00;6,00;0,00;0,00;98,00;0,00;0,00;23,00;6,00;6,00
2019-03-10;57,00;12,00;12,00;0,00;0,00;6,00;0,00;0,00;6,00;0,00;12,00;29,00;0,00;5,90;0,00;78,62;0,00;0,00;0,00;6,00;0,00
2019-03-17;36,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;36,00;0,00;0,00;0,00;78,00;0,00;0,00;6,00;0,00;6,00
2019-03-24;12,00;6,00;6,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;6,00;12,00;0,00;0,00;6,00;36,00;0,00;0,00;0,00;0,00;12,00
2019-03-31;35,00;6,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;18,00;0,00;0,00;0,00;73,89;0,00;0,00;0,00;0,00;6,00
2019-04-07;100,00;6,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;35,00;6,00;6,00;0,00;70,00;0,00;0,00;0,00;0,00;23,00
2019-04-14;50,00;0,00;6,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;19,00;0,00;6,00;0,00;62,00;0,00;0,00;6,00;0,00;6,00
2019-04-21;30,00;6,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;36,00;0,00;0,00;0,00;82,00;0,00;0,00;0,00;0,00;24,00
2019-04-28;29,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;12,00;6,00;17,00;0,00;0,00;0,00;47,64;0,00;0,00;0,00;12,00;0,00
2019-05-05;35,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;35,00;0,00;0,00;0,00;91,39;0,00;0,00;6,00;6,00;18,00
2019-05-12;41,00;0,00;0,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;23,00;0,00;0,00;0,00;56,62;0,00;6,00;0,00;0,00;6,00
2019-05-19;64,00;6,00;6,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;6,00;46,00;0,00;0,00;0,00;92,00;0,00;0,00;6,00;0,00;0,00
2019-05-26;51,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;17,00;23,00;0,00;0,00;0,00;78,46;0,00;0,00;0,00;0,00;6,00
2019-06-02;66,00;11,00;6,00;0,00;0,00;17,00;0,00;6,00;6,00;0,00;6,00;66,00;0,00;6,00;0,00;200,00;0,00;0,00;0,00;0,00;6,00
2019-06-09;56,00;6,00;11,00;0,00;0,00;17,00;0,00;0,00;11,00;0,00;11,00;45,00;0,00;6,00;0,00;124,00;0,00;0,00;0,00;0,00;11,00
2019-06-16;58,00;6,00;0,00;0,00;0,00;6,00;0,00;6,00;6,00;0,00;0,00;17,00;6,00;0,00;0,00;104,00;0,00;0,00;12,00;6,00;23,00
