Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Les Deux Alpes (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;100,00;32,00;57,00;47,00;50,00;50,00;10,00;47,00;15,00;10,34;114,94;14,94;37,93;2,00;22,00;5,00;12,00;0,00;82,00;27,00;10,00;0,00;2,00;2,00;5,00;0,00;0,00;0,00
2019-01-13;96,00;47,00;51,00;27,00;54,00;32,00;20,00;27,00;15,00;4,63;76,34;15,04;32,39;7,00;32,00;5,00;27,00;0,00;54,00;51,00;10,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;76,00;49,00;27,00;44,00;61,00;34,00;0,00;44,00;17,00;2,30;93,27;2,30;21,88;2,00;76,00;22,00;17,00;0,00;22,00;20,00;7,00;2,00;0,00;2,00;2,00;0,00;0,00;0,00
2019-01-27;83,00;31,00;47,00;43,00;17,00;28,00;17,00;43,00;12,00;6,92;85,31;4,61;20,75;5,00;12,00;12,00;5,00;0,00;26,00;24,00;14,00;0,00;2,00;5,00;0,00;0,00;0,00;0,00
2019-02-03;70,00;43,00;41,00;36,00;48,00;29,00;14,00;36,00;24,00;6,89;103,28;2,30;13,77;0,00;26,00;5,00;14,00;0,00;43,00;22,00;2,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00
2019-02-10;83,00;33,00;43,00;30,00;35,00;18,00;10,00;30,00;13,00;17,29;93,38;10,38;19,60;3,00;18,00;8,00;15,00;3,00;43,00;25,00;3,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00
2019-02-17;68,00;38,00;28,00;20,00;33,00;28,00;5,00;20,00;18,00;12,68;57,63;2,31;23,05;0,00;25,00;5,00;12,00;3,00;50,00;33,00;18,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;52,00;37,00;27,00;17,00;45,00;37,00;10,00;17,00;12,00;2,31;64,71;2,31;12,71;0,00;20,00;0,00;10,00;0,00;30,00;10,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;59,00;56,00;37,00;34,00;27,00;22,00;15,00;34,00;10,00;4,63;65,94;2,31;21,98;0,00;10,00;15,00;12,00;0,00;37,00;19,00;0,00;0,00;0,00;2,00;2,00;0,00;0,00;5,00
2019-03-10;59,00;42,00;27,00;25,00;47,00;32,00;5,00;25,00;2,00;2,27;68,08;6,81;23,83;0,00;10,00;7,00;2,00;0,00;17,00;22,00;10,00;0,00;5,00;0,00;0,00;0,00;0,00;2,00
