Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;78,00;27,00;47,00;21,00;11,00;59,00;48,00;42,00;8,00;21,00;13,00;93,00;40,00;8,00;8,00;15,00;4,00;99,00;11,00;27,00;38,00;6,00;13,00;6,00;0,00;8,00;17,00;0,00;44,00;32,00;8,00;13,00;0,00;0,00;6,00;2,00;0,00;17,00;0,00;0,00;2,00;0,00;0,00;0,00
2019-01-13;80,00;33,00;33,00;27,00;19,00;38,00;25,00;38,00;10,00;23,00;15,00;77,00;33,00;2,00;6,00;17,00;2,00;86,00;15,00;17,00;44,00;4,00;31,00;17,00;0,00;2,00;8,00;2,00;29,00;52,00;4,00;15,00;0,00;0,00;2,00;2,00;2,00;6,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;69,00;19,00;59,00;27,00;4,00;54,00;27,00;19,00;2,00;15,00;6,00;40,00;23,00;4,00;8,00;25,00;2,00;67,00;6,00;27,00;27,00;2,00;84,00;6,00;0,00;10,00;13,00;0,00;17,00;23,00;8,00;8,00;2,00;4,00;0,00;0,00;0,00;4,00;4,00;0,00;2,00;0,00;0,00;0,00
2019-01-27;57,00;22,00;32,00;34,00;4,00;24,00;28,00;26,00;12,00;6,00;16,00;22,00;30,00;2,00;6,00;24,00;2,00;59,00;4,00;24,00;24,00;2,00;2,00;6,00;0,00;12,00;6,00;0,00;10,00;26,00;12,00;6,00;0,00;0,00;6,00;0,00;0,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;37,00;28,00;39,00;24,00;10,00;33,00;32,00;32,00;6,00;14,00;16,00;32,00;28,00;0,00;10,00;33,00;4,00;77,00;6,00;28,00;28,00;4,00;28,00;10,00;0,00;4,00;12,00;0,00;45,00;20,00;6,00;14,00;0,00;2,00;2,00;2,00;0,00;12,00;2,00;2,00;2,00;0,00;0,00;0,00
2019-02-10;65,00;30,00;26,00;15,00;11,00;19,00;19,00;9,00;9,00;19,00;15,00;41,00;21,00;6,00;9,00;39,00;2,00;58,00;4,00;43,00;24,00;0,00;21,00;11,00;0,00;6,00;6,00;0,00;43,00;17,00;6,00;13,00;0,00;0,00;2,00;2,00;0,00;9,00;6,00;0,00;0,00;0,00;2,00;0,00
2019-02-17;61,00;30,00;28,00;13,00;4,00;28,00;30,00;13,00;6,00;17,00;19,00;30,00;32,00;0,00;6,00;25,00;0,00;64,00;4,00;19,00;11,00;4,00;15,00;0,00;0,00;6,00;13,00;0,00;34,00;23,00;17,00;2,00;0,00;2,00;2,00;0,00;0,00;17,00;2,00;2,00;0,00;0,00;0,00;0,00
2019-02-24;48,00;25,00;36,00;21,00;8,00;31,00;13,00;8,00;6,00;15,00;10,00;36,00;13,00;2,00;2,00;19,00;6,00;67,00;2,00;21,00;13,00;0,00;27,00;13,00;0,00;4,00;2,00;0,00;36,00;19,00;10,00;6,00;0,00;0,00;4,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;75,00;31,00;27,00;25,00;0,00;29,00;23,00;19,00;4,00;14,00;21,00;19,00;25,00;4,00;4,00;35,00;0,00;39,00;4,00;12,00;6,00;0,00;14,00;4,00;0,00;10,00;12,00;0,00;27,00;25,00;6,00;2,00;0,00;0,00;2,00;0,00;0,00;4,00;2,00;2,00;0,00;0,00;0,00;2,00
2019-03-10;57,00;46,00;17,00;33,00;2,00;36,00;27,00;15,00;4,00;19,00;8,00;29,00;17,00;2,00;0,00;23,00;0,00;52,00;8,00;15,00;17,00;0,00;10,00;0,00;0,00;4,00;8,00;0,00;27,00;12,00;4,00;10,00;0,00;2,00;2,00;0,00;0,00;2,00;0,00;2,00;0,00;0,00;0,00;4,00
2019-03-17;32,00;15,00;17,00;11,00;4,00;26,00;15,00;6,00;13,00;13,00;6,00;32,00;26,00;0,00;6,00;26,00;4,00;30,00;4,00;9,00;11,00;0,00;13,00;4,00;0,00;9,00;4,00;0,00;26,00;13,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;56,00;22,00;26,00;19,00;4,00;39,00;11,00;13,00;0,00;9,00;6,00;30,00;26,00;4,00;4,00;9,00;0,00;52,00;4,00;2,00;4,00;2,00;11,00;9,00;0,00;6,00;0,00;0,00;15,00;15,00;6,00;4,00;0,00;0,00;0,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;28,00;30,00;17,00;2,00;2,00;32,00;17,00;4,00;11,00;13,00;4,00;2,00;19,00;0,00;4,00;19,00;0,00;24,00;0,00;4,00;4,00;0,00;9,00;6,00;0,00;4,00;6,00;0,00;4,00;9,00;6,00;2,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00
2019-04-07;41,00;23,00;9,00;9,00;0,00;32,00;15,00;9,00;0,00;6,00;6,00;17,00;23,00;2,00;0,00;6,00;0,00;36,00;2,00;9,00;6,00;0,00;17,00;2,00;0,00;0,00;2,00;2,00;13,00;13,00;0,00;6,00;0,00;0,00;0,00;2,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;23,00;20,00;5,00;5,00;0,00;20,00;2,00;2,00;0,00;9,00;0,00;7,00;9,00;0,00;0,00;7,00;0,00;29,00;0,00;5,00;5,00;2,00;7,00;0,00;0,00;7,00;2,00;0,00;14,00;2,00;0,00;2,00;2,00;2,00;0,00;0,00;0,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00
2019-04-21;32,00;13,00;11,00;9,00;2,00;13,00;2,00;11,00;0,00;9,00;2,00;17,00;9,00;0,00;2,00;9,00;0,00;19,00;4,00;19,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;2,00;6,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;27,00;4,00;8,00;4,00;2,00;8,00;4,00;0,00;0,00;2,00;6,00;4,00;6,00;0,00;2,00;4,00;0,00;19,00;2,00;6,00;6,00;2,00;0,00;2,00;0,00;4,00;2,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00
2019-05-05;11,00;8,00;4,00;0,00;2,00;8,00;2,00;2,00;0,00;2,00;0,00;2,00;11,00;0,00;0,00;2,00;4,00;11,00;2,00;11,00;4,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;2,00;2,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;19,00;2,00;11,00;0,00;0,00;4,00;6,00;2,00;2,00;0,00;6,00;13,00;11,00;2,00;0,00;2,00;0,00;23,00;4,00;6,00;11,00;0,00;2,00;0,00;0,00;2,00;4,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00
2019-05-19;32,00;6,00;2,00;2,00;4,00;6,00;6,00;10,00;2,00;2,00;0,00;2,00;8,00;0,00;0,00;8,00;2,00;23,00;0,00;8,00;2,00;0,00;6,00;2,00;0,00;4,00;2,00;2,00;10,00;0,00;2,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
