Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;90,00;76,36;24,55;60,00;0,00;28,00;5,00;24,00;5,00
2019-01-13;61,00;88,73;27,73;27,73;5,55;61,00;14,00;14,00;5,00
2019-01-20;52,00;101,26;27,37;13,68;8,21;47,00;23,00;23,00;5,00
2019-01-27;91,00;55,15;8,27;27,58;0,00;5,00;5,00;5,00;9,00
2019-02-03;36,00;33,23;27,69;33,23;5,54;14,00;0,00;9,00;18,00
2019-02-10;38,00;62,43;19,00;43,43;13,57;43,00;0,00;5,00;10,00
2019-02-17;33,00;57,75;13,75;27,50;0,00;14,00;9,00;14,00;19,00
2019-02-24;56,00;40,00;8,00;40,00;0,00;19,00;0,00;14,00;5,00
2019-03-03;23,00;63,25;8,63;37,38;0,00;23,00;5,00;23,00;0,00
2019-03-10;52,00;32,84;5,47;41,05;0,00;19,00;14,00;9,00;5,00
2019-03-17;34,00;59,50;19,83;31,17;0,00;10,00;10,00;24,00;10,00
2019-03-24;34,00;19,83;11,33;31,17;0,00;24,00;5,00;24,00;24,00
2019-03-31;58,00;27,62;13,81;33,14;5,52;24,00;0,00;24,00;19,00
2019-04-07;77,00;38,50;13,75;24,75;0,00;10,00;10,00;5,00;10,00
2019-04-14;25,00;19,44;11,11;19,44;5,56;0,00;10,00;30,00;15,00
2019-04-21;77,00;33,00;5,50;33,00;5,50;10,00;0,00;5,00;19,00
2019-04-28;38,00;27,14;19,00;24,43;0,00;14,00;23,00;9,00;0,00
2019-05-05;100,00;27,78;8,33;19,44;5,56;14,00;0,00;14,00;14,00
2019-05-12;57,00;13,57;8,14;27,14;0,00;19,00;10,00;5,00;5,00
2019-05-19;75,00;19,44;5,56;27,78;0,00;5,00;0,00;5,00;9,00
2019-05-26;79,00;32,69;13,62;19,07;0,00;19,00;9,00;14,00;14,00
2019-06-02;54,00;13,50;8,10;29,70;5,40;18,00;5,00;5,00;9,00
2019-06-09;64,00;27,83;19,48;19,48;0,00;9,00;9,00;14,00;14,00
2019-06-16;43,00;34,40;20,07;25,80;5,73;5,00;9,00;14,00;5,00
2019-06-23;52,00;38,32;43,79;19,16;5,47;5,00;5,00;19,00;19,00
2019-06-30;57,00;32,57;5,43;27,14;0,00;33,00;0,00;9,00;28,00
