Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;0,00;0,00;18,00;18,00;0,00;17,00;0,00;0,00;34,00;0,00;11,00;34,00;0,00;0,00;0,00;40,00;0,00;10,00;0,00;0,00;10,00
2019-01-13;18,00;0,00;0,00;0,00;0,00;18,00;0,00;0,00;0,00;0,00;18,00;37,64;0,00;0,00;0,00;117,00;0,00;0,00;18,00;0,00;0,00
2019-01-20;17,00;17,00;0,00;34,00;0,00;0,00;0,00;0,00;0,00;17,00;34,00;51,00;0,00;0,00;0,00;106,25;0,00;17,00;51,00;0,00;17,00
2019-01-27;0,00;0,00;0,00;0,00;0,00;17,00;0,00;0,00;0,00;0,00;11,00;44,00;11,00;0,00;0,00;17,00;0,00;0,00;30,00;0,00;0,00
2019-02-03;0,00;0,00;0,00;35,00;0,00;0,00;0,00;0,00;0,00;0,00;23,00;23,00;11,00;0,00;0,00;17,00;4,00;0,00;10,00;0,00;0,00
2019-02-10;17,00;0,00;0,00;0,00;0,00;17,00;0,00;0,00;17,00;17,00;0,00;52,55;0,00;0,00;0,00;72,25;0,00;17,00;17,00;0,00;17,00
2019-02-17;0,00;0,00;0,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;24,00;0,00;0,00;0,00;14,00;0,00;0,00;42,00;0,00;0,00
2019-02-24;18,00;0,00;18,00;0,00;0,00;18,00;0,00;0,00;0,00;0,00;34,50;69,00;0,00;40,50;0,00;139,50;18,00;0,00;0,00;0,00;0,00
2019-03-03;18,00;0,00;18,00;0,00;0,00;55,06;0,00;0,00;18,00;0,00;18,00;34,50;0,00;0,00;0,00;121,50;0,00;18,00;18,00;0,00;0,00
2019-03-10;0,00;0,00;0,00;0,00;0,00;67,00;0,00;17,00;0,00;0,00;11,00;22,00;0,00;0,00;0,00;21,00;0,00;0,00;10,00;0,00;0,00
2019-03-17;0,00;0,00;18,00;0,00;0,00;17,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;18,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;0,00;0,00;0,00;0,00;0,00;17,00;0,00;0,00;0,00;0,00;46,00;0,00;0,00;0,00;0,00;44,00;0,00;0,00;10,00;0,00;10,00
2019-03-31;0,00;0,00;0,00;36,00;0,00;18,00;0,00;18,00;0,00;0,00;12,00;12,00;0,00;0,00;0,00;18,00;0,00;21,00;0,00;0,00;10,00
2019-04-07;0,00;0,00;18,00;53,00;0,00;52,00;0,00;0,00;0,00;0,00;23,00;12,00;0,00;0,00;0,00;31,00;0,00;10,00;42,00;0,00;0,00
2019-04-14;0,00;0,00;18,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;36,00;83,00;0,00;0,00;0,00;32,00;0,00;0,00;11,00;0,00;0,00
2019-04-21;55,00;0,00;36,00;0,00;36,00;18,68;0,00;0,00;0,00;18,33;18,33;36,67;0,00;0,00;0,00;180,71;0,00;0,00;0,00;0,00;18,91
2019-04-28;35,00;0,00;17,00;0,00;0,00;17,50;0,00;0,00;35,00;0,00;0,00;35,00;0,00;0,00;0,00;50,56;15,56;17,50;52,50;0,00;17,50
2019-05-05;17,00;0,00;17,00;0,00;0,00;34,00;0,00;0,00;17,00;17,00;17,00;0,00;0,00;0,00;0,00;93,50;0,00;17,00;34,00;0,00;17,00
2019-05-12;18,00;0,00;0,00;0,00;0,00;18,00;0,00;0,00;18,00;0,00;55,64;93,27;0,00;18,00;0,00;198,00;18,00;0,00;18,00;0,00;37,80
2019-05-19;17,00;0,00;17,00;0,00;17,00;33,00;0,00;0,00;33,00;0,00;17,00;17,00;0,00;0,00;0,00;89,25;17,00;0,00;0,00;0,00;17,00
