Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Les Deux Alpes (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;82,00;136,67;82,00;82,00;39,05;80,95;41,00;82,00;68,33;14,00;54,00;0,00;27,00;14,00;14,00;0,00;14,00;14,00;27,00;0,00;27,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;68,00;56,00;124,00;12,00;28,00;27,20;40,80;13,60;53,35;0,00;13,00;27,00;27,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;26,00;111,43;74,29;63,14;0,00;26,00;38,48;64,48;12,48;13,00;26,00;52,00;26,00;0,00;52,00;0,00;13,00;0,00;13,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;39,00;144,30;50,70;105,30;78,00;26,35;39,00;105,41;0,00;26,00;39,00;39,00;13,00;39,00;0,00;0,00;0,00;0,00;26,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;68,00;112,00;96,00;96,00;0,00;0,00;0,00;95,63;13,81;13,00;27,00;27,00;0,00;0,00;13,00;13,00;27,00;40,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;27,00;119,57;38,57;38,57;27,00;66,46;40,50;40,50;52,96;0,00;27,00;13,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;27,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;14,00;175,00;49,00;14,00;14,00;14,00;14,00;14,00;14,00;14,00;28,00;28,00;14,00;0,00;14,00;0,00;0,00;14,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;41,00;171,45;119,27;26,09;41,00;27,33;41,00;27,33;0,00;0,00;0,00;27,00;14,00;14,00;0,00;0,00;0,00;14,00;0,00;27,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;41,00;78,27;78,27;14,91;26,09;26,65;0,00;13,33;13,33;14,00;14,00;14,00;41,00;28,00;0,00;0,00;14,00;14,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;0,00;10,00;20,00;7,00;0,00;25,00;13,00;25,00;50,00;13,00;0,00;40,00;0,00;13,00;13,00;13,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;41,00;86,10;12,30;28,70;12,30;27,33;27,33;27,33;13,67;0,00;27,00;13,00;13,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;27,00;96,43;42,43;42,43;0,00;0,00;0,00;40,50;13,50;14,00;14,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
