Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;69,00;155,25;43,13;51,75;276,00;29,57;29,57;985,71;39,43;0,00;69,00;294,40;96,60;383,33;0,00;0,00;241,50;97,00;42,00;28,00;28,00;13,53;0,00;81,18;0,00;14,00;28,00;42,00;28,00;28,00;14,00;55,00;0,00;28,00;0,00;0,00;0,00;28,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;41,00;73,80;73,80;65,60;139,40;0,00;71,75;563,75;61,50;13,67;54,67;250,56;77,44;257,18;0,00;41,00;205,00;0,00;41,00;27,00;55,00;0,00;13,67;109,33;0,00;0,00;0,00;0,00;14,00;14,00;0,00;27,00;0,00;14,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;40,00;72,00;48,00;64,00;112,00;10,00;10,00;480,00;40,00;30,00;15,00;280,00;100,00;218,18;14,55;40,00;50,91;13,00;13,00;0,00;13,00;13,79;40,00;26,21;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;13,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;40,00;72,00;72,00;40,00;112,00;30,00;30,00;440,00;60,00;55,00;70,00;225,00;15,00;243,64;14,55;50,91;101,82;40,00;27,00;13,00;0,00;40,00;13,79;40,00;0,00;0,00;0,00;27,00;0,00;27,00;0,00;13,00;0,00;0,00;27,00;0,00;0,00;0,00;27,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;27,00;45,00;144,00;72,00;99,00;36,00;9,00;387,00;0,00;13,50;27,00;130,50;54,00;212,14;15,43;42,43;84,86;14,00;41,00;27,00;0,00;27,00;0,00;54,00;0,00;14,00;27,00;0,00;14,00;14,00;0,00;0,00;0,00;14,00;27,00;0,00;0,00;14,00;27,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;41,00;90,20;41,00;49,20;180,40;0,00;61,50;389,50;41,00;13,67;41,00;104,78;27,33;313,09;14,91;14,91;96,91;0,00;0,00;28,00;27,00;0,00;0,00;54,67;0,00;0,00;0,00;14,00;0,00;0,00;27,00;27,00;0,00;0,00;14,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;0,00;18,00;5,00;2,00;18,00;2,00;0,00;20,00;3,00;3,00;6,00;27,00;15,00;57,00;8,00;0,00;34,00;0,00;71,00;0,00;28,00;0,00;0,00;52,00;0,00;0,00;14,00;0,00;43,00;14,00;0,00;14,00;0,00;14,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;42,00;109,20;67,20;50,40;67,20;31,50;63,00;399,00;10,50;14,00;14,00;112,00;56,00;183,27;0,00;57,27;99,27;0,00;42,00;28,00;0,00;13,55;0,00;96,19;0,00;0,00;0,00;0,00;0,00;0,00;28,00;28,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00
2019-03-03;97,00;52,91;97,00;44,09;52,91;58,20;9,70;436,50;9,70;14,55;29,10;155,20;14,55;194,00;0,00;0,00;97,00;0,00;0,00;28,00;14,00;13,66;0,00;27,32;0,00;0,00;0,00;0,00;14,00;0,00;0,00;14,00;0,00;28,00;0,00;0,00;0,00;28,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;67,00;100,50;67,00;67,00;67,00;9,57;0,00;382,86;28,71;14,36;43,07;124,43;52,64;160,06;0,00;14,89;40,94;0,00;13,00;27,00;13,00;13,67;13,67;94,35;0,00;0,00;0,00;0,00;0,00;0,00;0,00;27,00;0,00;0,00;14,00;14,00;0,00;0,00;14,00;14,00;0,00;0,00;0,00;0,00
2019-03-17;14,00;14,00;35,00;35,00;98,00;0,00;0,00;462,00;56,00;14,00;28,00;135,33;65,33;91,00;0,00;24,50;63,00;27,00;14,00;14,00;0,00;0,00;0,00;56,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;28,00;93,33;74,67;18,67;56,00;0,00;9,33;149,33;0,00;14,00;14,00;196,00;14,00;66,50;0,00;38,50;28,00;14,00;0,00;28,00;0,00;0,00;0,00;54,67;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;14,00;56,00;21,00;21,00;77,00;14,00;56,00;126,00;0,00;0,00;0,00;56,00;28,00;63,00;0,00;24,50;52,50;0,00;0,00;42,00;14,00;0,00;14,00;28,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;28,00;28,00;18,67;0,00;28,00;0,00;0,00;84,00;0,00;0,00;0,00;14,00;28,00;44,00;0,00;0,00;60,00;0,00;0,00;42,00;0,00;14,00;0,00;14,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;14,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;0,00;5,00;12,00;0,00;8,00;0,00;0,00;2,00;2,00;0,00;0,00;9,00;0,00;12,00;0,00;0,00;23,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;0,00;8,00;5,00;0,00;3,00;2,00;0,00;3,00;2,00;0,00;3,00;0,00;0,00;8,00;0,00;0,00;8,00;0,00;14,00;14,00;0,00;0,00;0,00;10,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;41,00;16,40;65,60;16,40;49,20;0,00;10,25;41,00;10,25;0,00;0,00;27,33;13,67;52,18;0,00;0,00;14,91;14,00;0,00;0,00;14,00;27,33;0,00;13,67;0,00;0,00;14,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;0,00;3,00;8,00;0,00;3,00;1,00;0,00;4,00;0,00;0,00;0,00;3,00;6,00;11,00;0,00;4,00;11,00;0,00;0,00;14,00;0,00;0,00;0,00;10,00;0,00;0,00;14,00;14,00;0,00;0,00;0,00;0,00;14,00;0,00;14,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;0,00;2,00;5,00;0,00;2,00;0,00;0,00;9,00;1,00;0,00;0,00;0,00;6,00;4,00;0,00;4,00;18,00;0,00;0,00;41,00;0,00;0,00;0,00;30,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;14,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;27,00;0,00;198,00;0,00;18,00;0,00;0,00;9,00;0,00;0,00;0,00;40,50;63,00;15,43;0,00;0,00;42,43;0,00;27,00;0,00;27,00;0,00;0,00;27,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;54,00;0,00;243,00;0,00;18,00;0,00;0,00;54,00;0,00;0,00;0,00;29,45;29,45;25,20;14,40;14,40;25,20;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-02;0,00;0,00;41,00;1,00;3,00;0,00;0,00;7,00;0,00;0,00;0,00;3,00;5,00;7,00;0,00;0,00;3,00;0,00;13,00;0,00;13,00;0,00;9,00;18,00;0,00;0,00;0,00;25,00;0,00;0,00;0,00;13,00;0,00;0,00;13,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00
