Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2019-01-06;30,00;780,00;15,00;7,50;15,00;13,00;22,00;4,00;17,00;0,00;4,00;4,00;4,00
2019-01-13;47,00;552,25;23,50;11,75;11,75;13,00;17,00;13,00;4,00;0,00;4,00;0,00;9,00
2019-01-20;50,00;475,00;12,50;6,25;25,00;8,00;4,00;8,00;12,00;12,00;12,00;0,00;0,00
2019-01-27;50,00;550,00;25,00;12,50;12,50;17,00;17,00;0,00;4,00;8,00;0,00;0,00;0,00
2019-02-03;8,00;352,00;8,00;16,00;8,00;13,00;13,00;0,00;8,00;8,00;0,00;0,00;0,00
2019-02-10;13,00;572,00;26,00;13,00;13,00;9,00;13,00;0,00;9,00;0,00;9,00;0,00;0,00
2019-02-17;13,00;585,00;26,00;13,00;13,00;17,00;0,00;4,00;13,00;0,00;0,00;4,00;4,00
2019-02-24;22,00;539,00;11,00;11,00;11,00;26,00;26,00;4,00;13,00;9,00;4,00;4,00;4,00
2019-03-03;35,00;490,00;35,00;11,67;11,67;17,00;17,00;9,00;17,00;22,00;4,00;0,00;0,00
2019-03-10;42,00;602,00;28,00;28,00;14,00;13,00;13,00;0,00;8,00;8,00;0,00;4,00;0,00
2019-03-17;34,00;487,33;22,67;0,00;22,67;13,00;17,00;0,00;13,00;13,00;13,00;8,00;0,00
2019-03-24;40,00;626,67;6,67;26,67;13,33;18,00;9,00;0,00;13,00;0,00;9,00;0,00;0,00
2019-03-31;43,00;473,00;10,75;10,75;21,50;44,00;13,00;9,00;4,00;4,00;13,00;0,00;0,00
2019-04-07;47,00;611,00;23,50;5,88;11,75;22,00;26,00;22,00;9,00;0,00;4,00;0,00;0,00
2019-04-14;35,00;1166,67;11,67;23,33;11,67;13,00;18,00;27,00;9,00;18,00;0,00;4,00;4,00
2019-04-21;35,00;711,67;23,33;11,67;35,00;9,00;27,00;18,00;0,00;22,00;9,00;4,00;4,00
2019-04-28;80,00;733,33;13,33;26,67;26,67;17,00;8,00;21,00;8,00;13,00;8,00;4,00;8,00
2019-05-05;38,00;506,67;25,33;25,33;25,33;25,00;17,00;17,00;17,00;13,00;8,00;4,00;4,00
2019-05-12;68,00;521,33;11,33;11,33;11,33;25,00;25,00;13,00;17,00;8,00;4,00;4,00;0,00
2019-05-19;54,00;607,50;27,00;40,50;13,50;12,00;29,00;12,00;8,00;8,00;0,00;12,00;0,00
2019-05-26;54,00;702,00;27,00;27,00;54,00;33,00;33,00;13,00;4,00;21,00;8,00;8,00;4,00
2019-06-02;39,00;676,00;13,00;13,00;26,00;28,00;8,00;16,00;20,00;16,00;4,00;12,00;8,00
2019-06-09;45,00;461,25;11,25;11,25;11,25;25,00;25,00;21,00;4,00;8,00;0,00;0,00;0,00
2019-06-16;58,00;464,00;5,80;11,60;23,20;25,00;21,00;16,00;8,00;12,00;4,00;4,00;0,00
2019-06-23;50,00;537,50;12,50;12,50;25,00;38,00;17,00;8,00;13,00;8,00;4,00;4,00;4,00
2019-06-30;76,00;532,00;12,67;25,33;114,00;46,00;21,00;21,00;25,00;17,00;4,00;0,00;4,00
2019-07-07;100,00;700,00;25,00;25,00;37,50;42,00;33,00;13,00;21,00;21,00;12,00;8,00;8,00
2019-07-14;93,00;709,13;34,88;23,25;11,63;18,00;27,00;31,00;31,00;53,00;18,00;18,00;4,00
2019-07-21;61,00;719,80;36,60;12,20;36,60;37,00;51,00;47,00;19,00;14,00;5,00;9,00;33,00
2019-07-28;61,00;829,60;36,60;12,20;24,40;38,00;42,00;5,00;23,00;14,00;9,00;9,00;14,00
2019-08-04;61,00;707,60;24,40;61,00;24,40;14,00;23,00;14,00;14,00;14,00;5,00;14,00;0,00
2019-08-11;57,00;638,40;22,80;11,40;22,80;22,00;39,00;35,00;26,00;22,00;22,00;4,00;18,00
2019-08-18;63,00;617,40;12,60;25,20;12,60;13,00;22,00;27,00;9,00;9,00;4,00;0,00;4,00
2019-08-25;47,00;364,25;23,50;23,50;5,88;22,00;26,00;22,00;17,00;13,00;0,00;9,00;4,00
2019-09-01;49,00;416,50;12,25;24,50;6,13;24,00;29,00;4,00;20,00;8,00;4,00;0,00;4,00
2019-09-08;25,00;662,50;12,50;25,00;25,00;17,00;8,00;13,00;21,00;8,00;4,00;4,00;4,00
2019-09-15;46,00;529,00;23,00;23,00;11,50;21,00;4,00;4,00;4,00;17,00;4,00;4,00;0,00
2019-09-22;45,00;506,25;11,25;11,25;11,25;8,00;8,00;20,00;8,00;0,00;4,00;0,00;8,00
2019-09-29;48,00;504,00;24,00;24,00;24,00;0,00;8,00;16,00;4,00;0,00;4,00;8,00;0,00
2019-10-06;24,00;624,00;24,00;24,00;24,00;16,00;16,00;12,00;16,00;0,00;0,00;0,00;0,00
2019-10-13;32,00;554,67;32,00;21,33;10,67;32,00;12,00;28,00;8,00;4,00;0,00;0,00;0,00
2019-10-20;12,00;660,00;36,00;24,00;12,00;8,00;17,00;16,00;8,00;12,00;8,00;8,00;0,00
