Semaine;Nice (FR);Paris (FR);London (GB);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;25,00;600,00;637,50;337,50;222,22;25,00;138,89;225,00;189,29;175,00;107,14;139,29;145,00;95,00;72,50;17,50;81,25;103,13;17,19;59,38;8,33;123,61;50,00;54,17;21,00;46,00;8,00;50,00;4,00;0,00;13,00;4,00;0,00;0,00;0,00
2019-01-13;38,00;544,67;595,33;304,00;204,62;8,77;178,31;192,92;167,20;216,60;83,60;193,80;86,13;73,47;68,40;20,27;72,83;140,92;17,42;72,83;13,15;77,46;86,23;77,46;12,32;63,68;17,46;33,89;12,00;0,00;0,00;4,00;0,00;4,00;0,00
2019-01-20;28,00;462,00;574,00;364,00;170,80;8,40;156,80;190,40;129,50;192,50;70,00;119,00;106,91;78,91;50,91;7,64;73,11;110,44;24,89;60,67;19,60;79,80;36,40;36,40;24,00;40,00;16,00;56,00;8,00;12,00;16,00;0,00;8,00;0,00;4,00
2019-01-27;28,00;560,00;644,00;280,00;165,20;30,80;134,40;201,60;161,00;273,00;77,00;168,00;114,33;102,67;79,33;16,33;57,56;135,33;7,78;40,44;12,60;67,20;60,20;75,60;8,00;28,00;4,00;44,00;4,00;12,00;0,00;0,00;12,00;0,00;0,00
2019-02-03;8,00;320,00;352,00;144,00;234,67;34,67;162,67;136,00;224,00;232,00;124,00;196,00;112,00;90,67;77,33;13,33;51,20;129,60;12,80;64,00;8,00;101,33;66,67;58,67;12,00;0,00;0,00;53,00;17,00;12,00;0,00;0,00;8,00;0,00;0,00
2019-02-10;21,00;441,00;441,00;189,00;267,00;36,00;186,00;201,00;210,00;182,00;63,00;143,50;72,33;98,00;91,00;16,33;57,00;118,50;16,50;24,00;12,60;57,40;82,60;53,20;21,00;33,00;4,00;17,00;4,00;8,00;0,00;0,00;4,00;4,00;0,00
2019-02-17;17,00;663,00;714,00;357,00;223,83;25,50;99,17;175,67;183,60;217,60;146,20;142,80;102,00;89,86;80,14;21,86;38,64;117,45;26,27;52,55;21,25;69,42;38,25;69,42;9,00;17,00;13,00;43,00;9,00;0,00;0,00;9,00;4,00;4,00;4,00
2019-02-24;38,00;658,67;570,00;266,00;213,38;17,54;190,00;207,54;138,18;252,18;86,36;176,18;90,25;68,88;73,63;7,13;79,04;104,88;12,16;38,00;25,33;71,78;29,56;29,56;13,00;30,00;0,00;34,00;13,00;17,00;4,00;0,00;9,00;0,00;0,00
2019-03-03;38,00;544,67;519,33;278,67;233,85;8,77;280,62;242,62;167,20;186,20;114,00;190,00;141,87;98,80;65,87;12,67;28,88;117,04;7,60;45,60;12,67;67,56;29,56;63,33;17,00;38,00;13,00;38,00;13,00;21,00;0,00;0,00;8,00;0,00;4,00
2019-03-10;45,00;600,00;555,00;390,00;174,38;16,88;165,94;185,63;157,50;251,25;142,50;138,75;105,00;92,50;70,00;17,50;74,48;116,38;4,66;45,00;19,69;85,78;28,13;77,34;16,00;37,00;8,00;61,00;16,00;8,00;0,00;4,00;16,00;4,00;0,00
2019-03-17;17,00;578,00;595,00;289,00;192,67;19,83;133,17;201,17;156,40;217,60;108,80;136,00;123,86;102,00;89,86;4,86;54,09;88,09;24,73;54,09;29,75;92,08;53,83;53,83;21,00;25,00;0,00;33,00;17,00;8,00;4,00;4,00;8,00;4,00;0,00
2019-03-24;26,00;494,00;507,00;221,00;213,78;14,44;147,33;222,44;156,00;260,00;122,57;193,14;98,80;67,60;59,80;13,00;50,47;119,29;12,24;42,82;4,33;73,67;34,67;56,33;17,00;21,00;9,00;47,00;17,00;0,00;4,00;0,00;17,00;0,00;0,00
2019-03-31;42,00;574,00;588,00;294,00;193,20;19,60;120,40;240,80;199,50;196,00;105,00;175,00;130,94;126,00;79,06;22,24;51,33;76,22;12,44;59,11;33,60;42,00;25,20;21,00;13,00;21,00;13,00;38,00;0,00;21,00;13,00;4,00;13,00;0,00;0,00
2019-04-07;30,00;810,00;615,00;420,00;204,00;9,00;111,00;165,00;258,75;225,00;75,00;123,75;77,50;72,50;60,00;25,00;86,84;131,05;17,37;52,11;17,14;85,71;38,57;60,00;17,00;25,00;8,00;46,00;21,00;8,00;8,00;0,00;9,00;4,00;0,00
2019-04-14;22,00;1100,00;506,00;242,00;181,50;24,75;134,75;167,75;190,67;238,33;88,00;157,67;90,44;95,33;56,22;34,22;70,71;102,14;26,71;84,86;17,60;63,07;49,87;71,87;9,00;48,00;17,00;56,00;9,00;9,00;4,00;4,00;4,00;13,00;4,00
2019-04-21;44,00;821,33;660,00;352,00;199,47;17,60;178,93;202,40;146,67;212,67;95,33;106,33;122,22;112,44;48,89;26,89;94,29;80,14;14,14;44,00;12,77;69,55;73,81;61,03;22,00;9,00;13,00;30,00;9,00;17,00;13,00;0,00;9,00;4,00;0,00
