Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;16,00;16,00;0,00;0,00;0,00;89,14;13,71;13,71;13,71;0,00;66,29;116,57;0,00;0,00;0,00;30,00;16,00;0,00;0,00;0,00;16,00
2019-01-13;33,00;33,00;0,00;0,00;0,00;33,00;17,77;0,00;0,00;0,00;114,40;33,00;15,40;0,00;16,50;80,44;0,00;183,33;33,00;16,50;16,50
2019-01-20;16,00;47,00;0,00;0,00;16,00;34,67;0,00;0,00;0,00;16,00;98,29;98,29;16,00;18,29;0,00;18,29;0,00;30,22;16,00;0,00;92,44
2019-01-27;16,00;16,00;0,00;0,00;0,00;34,67;16,00;0,00;16,00;0,00;32,00;32,00;0,00;18,29;0,00;18,29;18,29;16,00;92,44;0,00;30,22
2019-02-03;33,00;0,00;0,00;0,00;0,00;33,00;17,77;0,00;17,77;0,00;15,40;0,00;0,00;0,00;0,00;33,00;0,00;0,00;82,50;0,00;0,00
2019-02-10;0,00;16,00;0,00;0,00;16,00;20,00;7,00;7,00;7,00;0,00;22,00;15,00;0,00;0,00;0,00;31,00;0,00;0,00;36,00;9,00;9,00
2019-02-17;33,00;50,00;0,00;0,00;0,00;33,00;17,77;0,00;0,00;0,00;48,40;66,00;0,00;0,00;0,00;49,50;0,00;0,00;152,17;0,00;0,00
2019-02-24;48,00;16,00;16,00;0,00;0,00;15,16;0,00;0,00;0,00;15,27;78,55;32,73;0,00;16,70;0,00;64,70;0,00;0,00;48,00;16,00;0,00
2019-03-03;49,00;33,00;0,00;0,00;0,00;31,85;49,00;0,00;0,00;0,00;66,82;131,41;0,00;0,00;0,00;79,63;0,00;0,00;32,67;0,00;0,00
2019-03-10;16,00;32,00;32,00;0,00;0,00;34,67;0,00;0,00;34,67;0,00;82,29;132,57;0,00;0,00;0,00;30,00;16,00;0,00;32,00;16,00;0,00
2019-03-17;33,00;0,00;16,00;0,00;0,00;50,77;0,00;0,00;0,00;0,00;33,00;48,40;0,00;0,00;0,00;96,94;16,50;16,50;33,00;0,00;0,00
2019-03-24;17,00;17,00;0,00;0,00;0,00;65,57;0,00;0,00;0,00;0,00;17,00;48,88;0,00;0,00;0,00;102,00;0,00;0,00;35,89;0,00;0,00
2019-03-31;16,00;32,00;0,00;0,00;0,00;59,43;0,00;13,71;0,00;0,00;34,29;50,29;0,00;0,00;0,00;46,00;0,00;16,00;32,00;0,00;48,00
2019-04-07;53,00;53,00;18,00;0,00;35,00;53,00;17,67;0,00;0,00;17,67;53,00;86,13;0,00;0,00;0,00;89,04;0,00;18,28;0,00;0,00;18,28
2019-04-14;35,00;18,00;0,00;0,00;35,00;0,00;0,00;0,00;0,00;17,50;35,00;17,50;0,00;0,00;0,00;102,94;16,47;0,00;18,42;18,42;18,42
2019-04-21;51,00;34,00;17,00;17,00;0,00;35,70;0,00;0,00;0,00;0,00;33,26;33,26;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;16,00;0,00;16,00;0,00;0,00;16,00;16,00;0,00;16,00;0,00;0,00;48,00;0,00;0,00;0,00;60,00;0,00;0,00;32,00;0,00;16,00
2019-05-05;46,00;31,00;15,00;0,00;0,00;46,00;29,05;0,00;14,53;30,67;0,00;61,33;15,33;14,64;0,00;46,00;0,00;0,00;0,00;15,92;15,92
2019-05-12;16,00;32,00;0,00;0,00;0,00;34,67;0,00;0,00;0,00;0,00;82,29;132,57;0,00;0,00;0,00;92,00;16,00;16,00;16,00;32,00;0,00
2019-05-19;47,00;31,00;0,00;31,00;16,00;91,53;29,68;0,00;29,68;0,00;78,33;62,67;0,00;14,95;0,00;32,05;0,00;16,27;0,00;0,00;0,00
2019-05-26;16,00;16,00;16,00;16,00;0,00;16,00;34,67;0,00;16,00;0,00;48,00;82,29;0,00;0,00;0,00;136,00;16,00;0,00;16,00;0,00;0,00
2019-06-02;15,00;30,00;30,00;15,00;0,00;75,00;30,00;0,00;30,00;0,00;70,71;70,71;15,00;0,00;0,00;137,14;0,00;0,00;30,00;15,00;30,00
2019-06-09;62,00;15,00;0,00;31,00;15,00;106,64;29,76;0,00;0,00;15,50;93,00;77,50;0,00;0,00;14,97;126,14;14,97;0,00;0,00;0,00;16,41
