Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;63,00;54,92;80,77;9,69;45,23;45,50;116,67;80,50;63,00;18,00;45,00;63,00;18,00;18,00;27,00;27,00;73,00;27,00;9,00;9,00;27,00;18,00;0,00;36,00;0,00;27,00;9,00;18,00;9,00;9,00;9,00;0,00;0,00;0,00;9,00;0,00;9,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;73,00;73,00;45,42;55,16;82,73;45,92;63,58;55,34;73,00;27,00;46,00;82,00;46,00;9,00;27,00;27,00;46,00;0,00;9,00;9,00;37,00;18,00;0,00;18,00;0,00;27,00;27,00;9,00;9,00;9,00;0,00;9,00;0,00;18,00;9,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;44,00;88,00;61,93;88,00;61,93;44,00;44,00;53,51;53,51;26,00;44,00;35,00;18,00;0,00;18,00;9,00;9,00;26,00;26,00;0,00;18,00;9,00;9,00;9,00;0,00;18,00;9,00;9,00;9,00;18,00;18,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;44,00;88,00;61,93;44,00;53,78;61,84;79,68;44,00;89,19;70,00;79,00;18,00;9,00;26,00;0,00;35,00;0,00;9,00;9,00;18,00;26,00;35,00;9,00;0,00;0,00;9,00;18,00;9,00;9,00;9,00;26,00;9,00;0,00;9,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;27,00;125,47;36,53;9,53;17,47;18,78;55,17;45,78;36,39;55,00;18,00;36,00;18,00;18,00;9,00;9,00;0,00;0,00;9,00;27,00;9,00;46,00;0,00;9,00;0,00;0,00;9,00;9,00;18,00;0,00;9,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;18,00;83,45;63,82;27,82;73,64;37,20;27,60;55,20;37,20;9,00;27,00;18,00;18,00;9,00;9,00;27,00;27,00;0,00;18,00;0,00;27,00;9,00;18,00;9,00;0,00;9,00;18,00;9,00;18,00;0,00;9,00;0,00;0,00;9,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;37,00;27,35;37,00;17,70;37,00;37,00;28,65;19,10;46,55;18,00;18,00;9,00;18,00;9,00;9,00;9,00;46,00;56,00;37,00;0,00;0,00;0,00;0,00;19,00;0,00;0,00;19,00;0,00;9,00;0,00;28,00;0,00;0,00;9,00;0,00;0,00;0,00;9,00;9,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;63,00;98,54;35,54;53,31;27,46;71,17;71,17;36,17;53,67;27,00;36,00;18,00;9,00;9,00;27,00;36,00;54,00;18,00;63,00;9,00;27,00;45,00;18,00;0,00;0,00;45,00;9,00;0,00;0,00;0,00;27,00;0,00;0,00;0,00;9,00;9,00;27,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00
2019-03-03;55,00;27,50;110,00;55,00;55,00;73,72;26,91;73,72;36,28;28,00;18,00;28,00;9,00;9,00;28,00;18,00;37,00;0,00;18,00;9,00;9,00;9,00;18,00;28,00;0,00;0,00;9,00;9,00;28,00;18,00;9,00;18,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;36,00;27,82;137,45;81,82;18,00;53,42;89,42;62,71;62,71;18,00;36,00;18,00;9,00;9,00;9,00;27,00;18,00;18,00;0,00;9,00;0,00;0,00;9,00;27,00;0,00;0,00;0,00;9,00;0,00;18,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00
