Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Flachau (AT);La Clusaz (FR);Zillertal (AT);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;39,00;15,10;0,00;3,77;39,00;8,00;0,00;19,00;8,00;19,00;4,00;58,00;46,00;12,00;8,00;12,00;8,00;15,00;4,11;4,11;0,00;0,00;4,00;0,00;0,00;8,00;4,00;15,00;8,00;0,00;0,00;8,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;55,00;0,00;7,50;0,00;70,00;0,00;8,00;8,00;4,00;12,00;0,00;55,00;0,00;20,00;4,00;20,00;12,00;8,00;0,00;16,00;4,00;0,00;0,00;4,00;0,00;0,00;4,00;4,00;4,00;4,00;0,00;4,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;58,00;7,57;3,78;3,78;39,09;8,00;0,00;4,00;0,00;16,00;0,00;19,00;4,00;15,00;4,00;19,00;4,00;19,00;0,00;8,00;0,00;0,00;4,00;0,00;0,00;0,00;8,00;27,00;23,00;0,00;8,00;0,00;8,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;68,00;7,42;3,71;3,71;44,51;0,00;4,00;4,00;0,00;15,00;0,00;19,00;0,00;23,00;15,00;15,00;8,00;15,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;8,00;8,00;8,00;4,00;0,00;4,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;71,00;3,74;7,47;3,74;34,88;8,00;4,00;0,00;0,00;12,00;0,00;24,00;4,00;4,00;4,00;8,00;0,00;24,00;8,00;8,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;16,00;0,00;0,00;8,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;32,00;0,00;7,38;0,00;16,00;8,00;0,00;4,00;4,00;12,00;4,00;8,00;0,00;16,00;8,00;8,00;16,00;20,00;0,00;0,00;0,00;0,00;8,00;12,00;4,00;4,00;0,00;16,00;0,00;0,00;0,00;4,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;20,00;0,00;3,75;0,00;43,75;12,00;4,00;0,00;0,00;4,00;0,00;20,00;4,00;8,00;8,00;24,00;12,00;16,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;4,00;4,00;20,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;48,00;7,58;3,79;0,00;24,00;4,00;0,00;0,00;0,00;12,00;8,00;16,00;4,00;8,00;4,00;12,00;8,00;24,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00
2019-03-03;53,00;7,57;11,36;3,79;41,64;8,00;0,00;0,00;0,00;19,00;4,00;23,00;0,00;4,00;8,00;11,00;8,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;19,00;0,00;0,00;4,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;35,00;0,00;7,50;3,75;16,25;4,00;4,00;0,00;0,00;8,00;0,00;20,00;0,00;16,00;0,00;12,00;0,00;12,00;0,00;4,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;56,00;3,73;7,47;0,00;16,18;4,00;0,00;4,00;0,00;4,00;4,00;12,00;0,00;4,00;0,00;12,00;16,00;4,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;4,00;4,00;8,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00
2019-03-24;40,00;0,00;0,00;0,00;20,00;4,00;0,00;4,00;8,00;12,00;0,00;16,00;0,00;0,00;4,00;8,00;8,00;8,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;8,00;0,00;4,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;60,00;0,00;12,50;3,75;27,50;0,00;4,00;8,00;0,00;4,00;0,00;4,00;0,00;4,00;4,00;4,00;4,00;4,00;0,00;8,14;0,00;0,00;0,00;0,00;0,00;4,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;45,00;0,00;7,50;3,75;18,75;4,00;7,00;0,00;0,00;4,00;0,00;7,00;0,00;4,00;11,00;15,00;4,00;0,00;0,00;4,09;7,16;0,00;0,00;0,00;0,00;4,00;11,00;7,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;83,00;3,77;3,77;0,00;40,24;4,00;4,00;0,00;0,00;4,00;0,00;9,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;13,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;48,00;0,00;4,92;0,00;30,77;0,00;0,00;4,00;0,00;4,00;0,00;4,00;0,00;4,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;30,00;0,00;0,00;0,00;18,75;4,00;4,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;27,00;0,00;0,00;0,00;3,68;4,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;59,00;0,00;0,00;0,00;3,77;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;43,00;0,00;3,79;0,00;3,79;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;8,00;4,00;0,00;12,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;46,00;0,00;0,00;0,00;3,73;0,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-02;48,00;0,00;0,00;0,00;3,79;0,00;0,00;0,00;0,00;0,00;0,00;16,00;0,00;0,00;8,00;12,00;0,00;4,00;0,00;0,00;8,17;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-09;28,00;0,00;0,00;0,00;7,64;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;4,00;8,00;4,00;0,00;0,00;8,00;0,00;0,00;12,00;0,00;0,00;0,00;8,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-16;48,00;0,00;0,00;0,00;3,79;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-23;72,00;3,72;0,00;3,72;8,69;0,00;4,00;4,00;0,00;9,00;0,00;9,00;0,00;0,00;9,00;21,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;4,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-30;75,00;0,00;8,90;8,90;3,81;0,00;4,05;0,00;0,00;8,11;0,00;0,00;8,11;4,05;4,05;21,28;0,00;4,05;0,00;0,00;0,00;0,00;0,00;4,05;0,00;4,05;0,00;4,05;0,00;0,00;4,05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-07;37,00;8,63;3,70;0,00;3,70;0,00;0,00;0,00;0,00;0,00;0,00;21,00;0,00;4,00;0,00;25,00;13,00;8,00;0,00;4,00;12,00;0,00;0,00;4,00;0,00;0,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-14;36,00;4,97;0,00;4,97;8,69;9,00;0,00;4,00;0,00;0,00;0,00;18,00;0,00;0,00;4,00;0,00;0,00;9,00;0,00;4,00;9,00;0,00;0,00;5,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-21;88,00;0,00;15,30;0,00;19,13;10,23;0,00;5,12;0,00;10,23;0,00;10,23;0,00;5,12;5,12;5,12;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;5,12;5,12;14,33;5,12;5,12;5,12;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-28;93,00;0,00;10,05;0,00;5,03;0,00;0,00;0,00;0,00;5,00;0,00;24,00;0,00;0,00;10,00;5,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-04;85,00;5,00;0,00;0,00;22,50;0,00;4,00;4,00;0,00;4,00;0,00;13,00;0,00;4,00;9,00;9,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-11;25,00;3,75;3,75;0,00;12,50;0,00;0,00;8,00;0,00;4,00;0,00;0,00;0,00;4,00;12,00;4,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-18;56,00;0,00;3,82;0,00;0,00;4,07;0,00;0,00;0,00;0,00;0,00;8,15;0,00;0,00;16,29;4,07;4,07;12,22;0,00;0,00;0,00;0,00;0,00;8,15;0,00;0,00;0,00;8,15;0,00;0,00;4,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-25;40,00;0,00;3,87;3,87;3,87;0,00;0,00;8,21;0,00;4,10;0,00;8,21;0,00;0,00;8,21;4,10;4,10;4,10;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,10;16,41;0,00;4,10;0,00;4,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-01;57,00;0,00;0,00;0,00;3,80;4,00;0,00;4,00;0,00;4,00;0,00;11,00;0,00;4,00;4,00;8,00;4,00;4,00;0,00;0,00;8,00;0,00;0,00;11,00;0,00;0,00;4,00;4,00;8,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-09-08;67,00;3,72;0,00;0,00;19,85;0,00;0,00;4,00;0,00;0,00;0,00;16,00;0,00;0,00;0,00;8,00;4,00;0,00;0,00;0,00;4,06;0,00;0,00;0,00;0,00;0,00;0,00;4,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-15;55,00;7,50;0,00;0,00;7,50;0,00;0,00;8,00;4,00;0,00;0,00;4,00;4,00;4,00;12,00;8,00;0,00;8,00;0,00;0,00;4,00;0,00;0,00;8,00;4,00;0,00;0,00;8,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-22;46,00;3,73;0,00;7,46;22,38;8,00;0,00;15,00;0,00;4,00;0,00;12,00;0,00;0,00;4,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-29;24,00;0,00;0,00;0,00;16,42;0,00;0,00;0,00;0,00;0,00;0,00;8,35;0,00;4,17;12,52;0,00;4,17;0,00;0,00;0,00;4,00;0,00;0,00;4,17;0,00;0,00;4,17;0,00;4,17;0,00;4,17;0,00;4,17;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-06;43,00;0,00;3,79;0,00;7,59;0,00;4,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;12,00;0,00;4,00;0,00;0,00;4,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-13;35,00;0,00;0,00;0,00;20,00;8,00;0,00;0,00;0,00;4,00;0,00;28,00;4,00;4,00;0,00;4,00;0,00;0,00;0,00;12,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;12,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-20;45,00;0,00;0,00;0,00;15,00;0,00;0,00;4,00;4,00;0,00;0,00;11,00;0,00;8,00;4,00;4,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-27;42,00;0,00;0,00;3,82;11,45;0,00;4,00;0,00;4,00;4,00;0,00;8,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;4,10;4,10;0,00;0,00;4,00;0,00;4,00;0,00;0,00;11,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-03;55,00;3,75;0,00;0,00;22,50;0,00;0,00;0,00;4,00;7,00;0,00;11,00;0,00;11,00;11,00;4,00;7,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-10;30,00;0,00;3,75;0,00;26,25;4,00;4,00;0,00;0,00;4,00;0,00;15,00;0,00;7,00;4,00;7,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00
2019-11-17;52,00;7,43;7,43;0,00;26,00;0,00;0,00;0,00;0,00;11,00;0,00;37,00;0,00;7,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;4,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-24;43,00;0,00;0,00;0,00;56,51;0,00;4,00;0,00;0,00;4,00;0,00;14,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;11,00;4,00;0,00;0,00;7,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-01;41,00;0,00;3,73;3,73;29,82;8,00;0,00;0,00;0,00;15,00;0,00;30,00;0,00;11,00;4,00;0,00;4,00;11,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;8,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-12-08;60,00;7,50;3,75;0,00;30,00;7,00;0,00;0,00;0,00;15,00;4,00;30,00;0,00;0,00;15,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;15,00;7,00;0,00;4,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-15;23,00;11,50;0,00;0,00;26,83;4,00;4,00;0,00;0,00;11,00;4,00;8,00;0,00;27,00;4,00;0,00;4,00;8,00;0,00;0,00;4,18;0,00;0,00;4,00;0,00;4,00;4,00;11,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-22;94,00;0,00;5,01;5,01;36,35;4,00;4,00;13,00;0,00;4,00;0,00;18,00;4,00;18,00;27,00;13,00;13,00;22,00;0,00;9,00;0,00;0,00;0,00;9,00;0,00;4,00;4,00;4,00;4,00;0,00;0,00;0,00;4,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-29;96,00;3,74;0,00;8,73;47,38;9,00;0,00;9,00;0,00;22,00;9,00;26,00;9,00;35,00;0,00;4,00;9,00;26,00;0,00;4,04;4,04;0,00;0,00;9,00;0,00;4,00;0,00;26,00;0,00;0,00;9,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-05;54,00;3,77;3,77;3,77;43,95;0,00;7,00;4,00;0,00;14,00;0,00;33,00;4,00;25,00;11,00;7,00;4,00;7,00;0,00;4,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;7,00;7,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-12;67,00;0,00;7,58;7,58;42,98;11,00;4,00;11,00;0,00;7,00;4,00;25,00;21,00;0,00;0,00;14,00;4,00;11,00;0,00;11,00;4,00;0,00;4,00;7,00;4,00;7,00;7,00;7,00;4,00;4,00;7,00;0,00;4,00;0,00;25,00;0,00;0,00;0,00;0,00;0,00
2020-01-19;57,00;7,60;25,33;3,80;25,33;7,00;7,00;0,00;0,00;11,00;0,00;14,00;4,00;7,00;4,00;21,00;7,00;0,00;0,00;14,00;0,00;0,00;4,00;4,00;0,00;7,00;4,00;18,00;11,00;0,00;4,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00
2020-01-26;50,00;11,25;0,00;7,50;36,25;4,00;4,00;11,00;0,00;14,00;0,00;47,00;7,00;11,00;7,00;4,00;4,00;14,00;0,00;4,08;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;7,00;0,00;4,00;4,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-02;87,00;3,78;3,78;0,00;25,22;7,00;0,00;4,00;4,00;25,00;0,00;7,00;4,00;4,00;11,00;7,00;14,00;11,00;0,00;7,16;4,09;0,00;4,00;4,00;0,00;0,00;7,00;14,00;7,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2020-02-09;100,00;3,75;3,75;0,00;28,75;4,00;0,00;86,00;0,00;36,00;0,00;39,00;0,00;11,00;14,00;4,00;11,00;25,00;0,00;7,00;0,00;0,00;0,00;7,00;0,00;4,00;0,00;7,00;0,00;0,00;4,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2020-02-16;48,00;7,58;3,79;3,79;18,95;0,00;0,00;4,00;7,00;7,00;0,00;15,00;0,00;15,00;4,00;7,00;7,00;4,00;0,00;11,23;0,00;0,00;0,00;0,00;0,00;0,00;4,00;7,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00
2020-02-23;45,00;13,75;0,00;7,50;27,50;3,00;3,00;0,00;3,00;7,00;0,00;28,00;3,00;7,00;0,00;0,00;3,00;7,00;3,00;10,00;0,00;0,00;0,00;3,00;0,00;3,00;14,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00
2020-03-01;51,00;3,73;3,73;0,00;33,59;0,00;7,00;7,00;3,00;21,00;0,00;3,00;0,00;7,00;0,00;10,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;7,00;14,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-08;56,00;3,73;3,73;0,00;124,44;0,00;7,00;10,00;7,00;10,00;0,00;46,00;0,00;13,00;7,00;7,00;10,00;13,00;0,00;3,00;0,00;0,00;3,00;0,00;0,00;7,00;0,00;3,00;7,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-15;13,00;13,00;3,55;0,00;34,27;0,00;0,00;3,00;0,00;0,00;0,00;7,00;3,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-22;3,00;0,00;0,00;0,00;21,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-29;0,00;3,00;0,00;0,00;23,00;0,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;3,00;6,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-05;4,00;4,00;0,00;0,00;26,67;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;7,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-12;4,00;4,00;0,00;0,00;22,67;0,00;0,00;0,00;0,00;5,33;0,00;14,67;0,00;0,00;5,33;4,00;5,33;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,33;0,00;0,00;0,00;0,00;0,00;0,00;5,33;0,00;0,00;0,00;0,00
2020-04-19;10,00;0,00;0,00;0,00;3,75;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;7,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-26;13,00;0,00;0,00;0,00;10,40;0,00;0,00;3,00;0,00;0,00;0,00;3,00;3,00;0,00;3,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00
2020-05-03;13,00;0,00;0,00;0,00;9,45;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;3,00;7,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;3,00;3,00;0,00;3,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
