Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;17,00;150,17;121,83;56,67;104,83;98,36;6,07;46,14;77,71;82,57;109,29;133,57;65,57;53,43;51,00;53,43;4,86;25,00;25,00;36,00;53,00;8,00;69,00;33,00;28,00;8,50;3,19;63,75;8,00;0,00;6,00;0,00;0,00;0,00;3,00
2019-01-13;28,00;112,00;114,80;64,40;98,00;72,33;5,83;61,83;78,17;48,36;81,45;183,27;73,82;32,31;60,31;38,77;23,69;56,00;25,00;45,00;45,00;3,00;28,00;11,00;14,00;22,62;0,00;62,46;3,00;0,00;3,00;6,00;3,00;0,00;3,00
2019-01-20;20,00;157,14;145,71;57,14;142,86;64,71;5,88;72,94;70,59;60,00;102,50;152,50;67,50;42,22;42,22;64,44;13,33;34,00;59,00;31,00;45,00;11,00;45,00;20,00;8,00;20,00;3,33;61,11;6,00;0,00;0,00;0,00;3,00;3,00;0,00
2019-01-27;22,00;145,75;110,00;82,50;126,50;63,68;0,00;85,68;88,00;63,56;90,44;158,89;56,22;37,40;63,80;66,00;24,20;33,00;39,00;25,00;50,00;3,00;50,00;25,00;19,00;8,38;5,24;68,10;3,00;8,00;0,00;0,00;6,00;0,00;0,00
2019-02-03;14,00;159,60;142,80;61,60;81,20;80,50;0,00;57,17;49,00;51,33;98,00;149,33;60,67;63,00;44,33;65,33;32,67;29,00;55,00;20,00;46,00;12,00;40,00;20,00;17,00;8,00;3,00;59,00;6,00;3,00;3,00;0,00;6,00;0,00;0,00
2019-02-10;24,00;186,00;138,00;90,00;105,00;87,60;0,00;87,60;115,20;28,80;74,40;160,80;43,20;43,64;98,18;65,45;34,91;35,00;38,00;15,00;38,00;12,00;59,00;12,00;27,00;0,00;0,00;44,73;6,00;0,00;9,00;3,00;6,00;3,00;3,00
2019-02-17;26,00;137,80;130,00;59,80;83,20;73,27;0,00;108,73;85,09;35,45;111,09;151,27;49,64;49,83;58,50;62,83;21,67;23,00;35,00;23,00;44,00;12,00;70,00;32,00;9,00;11,44;0,00;57,20;3,00;9,00;3,00;3,00;12,00;6,00;3,00
2019-02-24;29,00;142,36;105,45;73,82;97,55;77,33;0,00;89,42;61,63;41,08;101,50;135,33;72,50;49,08;62,46;73,62;17,85;29,00;43,00;40,00;26,00;6,00;54,00;20,00;23,00;5,37;3,22;58,00;3,00;9,00;0,00;3,00;3,00;0,00;0,00
2019-03-03;19,00;152,00;122,14;59,71;116,71;61,47;7,82;63,71;77,12;64,13;90,25;187,63;68,88;44,33;54,89;46,44;21,11;33,00;50,00;39,00;36,00;8,00;75,00;25,00;25,00;3,17;0,00;46,44;0,00;3,00;3,00;6,00;11,00;3,00;0,00
2019-03-10;23,00;189,75;135,13;51,75;103,50;67,79;8,47;67,79;112,58;63,89;79,22;168,67;76,67;41,40;57,50;32,20;41,40;48,00;37,00;28,00;48,00;14,00;63,00;11,00;26,00;17,52;5,48;61,33;3,00;6,00;3,00;3,00;17,00;3,00;3,00
2019-03-17;26,00;132,60;117,00;59,80;88,40;67,36;0,00;49,64;82,73;56,73;75,64;141,82;70,91;58,50;71,50;54,17;21,67;35,00;26,00;26,00;61,00;20,00;58,00;9,00;15,00;8,32;0,00;62,40;12,00;9,00;3,00;3,00;15,00;3,00;0,00
2019-03-24;23,00;163,88;92,00;97,75;112,13;86,25;3,45;86,25;80,50;61,33;97,11;186,56;81,78;32,20;87,40;66,70;29,90;20,00;35,00;15,00;38,00;20,00;47,00;23,00;12,00;11,50;0,00;46,00;0,00;0,00;3,00;3,00;9,00;9,00;0,00
