Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;31,00;16,00;16,00;0,00;0,00;31,00;0,00;0,00;16,00;14,31;45,31;104,92;0,00;0,00;16,91;64,82;16,91;0,00;47,24;16,24;0,00
2019-01-13;31,00;16,00;15,00;31,00;15,00;31,00;0,00;0,00;16,00;0,00;113,67;113,67;0,00;0,00;0,00;78,91;0,00;0,00;47,24;0,00;0,00
2019-01-20;31,00;15,00;15,00;0,00;0,00;31,00;0,00;0,00;0,00;15,50;46,50;64,58;0,00;0,00;0,00;31,00;0,00;0,00;14,76;14,76;0,00
2019-01-27;61,00;31,00;0,00;0,00;0,00;15,00;0,00;15,00;0,00;0,00;109,29;45,75;0,00;0,00;16,64;47,14;0,00;0,00;45,02;0,00;14,52
2019-02-03;16,00;16,00;16,00;0,00;0,00;31,00;16,00;0,00;0,00;0,00;152,00;117,33;0,00;0,00;0,00;61,33;0,00;0,00;46,55;0,00;30,55
2019-02-10;32,00;32,00;32,00;0,00;0,00;0,00;0,00;0,00;16,00;14,77;110,77;78,77;14,77;0,00;0,00;66,91;0,00;0,00;32,00;0,00;16,76
2019-02-17;0,00;32,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;26,00;19,00;0,00;0,00;0,00;40,00;0,00;0,00;54,00;0,00;11,00
2019-02-24;16,00;33,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;91,43;45,71;0,00;0,00;0,00;48,00;0,00;0,00;81,45;16,00;32,00
2019-03-03;16,00;47,00;0,00;0,00;0,00;16,00;0,00;0,00;0,00;16,00;186,67;101,33;0,00;0,00;0,00;16,00;0,00;0,00;46,55;0,00;16,00
2019-03-10;16,00;0,00;0,00;0,00;0,00;16,00;0,00;0,00;0,00;16,00;101,33;117,33;0,00;0,00;0,00;45,33;16,00;0,00;46,55;0,00;46,55
2019-03-17;16,00;0,00;0,00;0,00;0,00;49,00;0,00;0,00;0,00;0,00;105,14;45,71;0,00;0,00;0,00;48,00;48,00;0,00;16,00;0,00;0,00
2019-03-24;48,00;49,00;32,00;0,00;0,00;16,00;0,00;0,00;32,00;0,00;116,21;65,68;0,00;0,00;0,00;141,33;16,00;0,00;16,00;0,00;16,00
2019-03-31;16,00;0,00;16,00;16,00;0,00;65,00;0,00;16,00;0,00;16,00;59,43;105,14;0,00;0,00;0,00;109,33;48,00;0,00;129,45;0,00;0,00
2019-04-07;48,00;48,00;0,00;0,00;0,00;48,00;16,00;0,00;0,00;0,00;113,68;65,68;0,00;0,00;0,00;16,94;16,94;0,00;78,55;16,00;32,00
2019-04-14;18,00;35,00;18,00;18,00;0,00;18,00;18,00;0,00;0,00;0,00;200,57;72,00;0,00;0,00;18,00;57,00;0,00;0,00;72,00;0,00;18,00
2019-04-21;34,00;17,00;0,00;0,00;17,00;34,00;17,00;0,00;0,00;17,00;65,57;65,57;0,00;0,00;0,00;34,00;17,00;0,00;68,00;0,00;34,00
2019-04-28;63,00;95,00;0,00;0,00;0,00;16,00;0,00;0,00;0,00;32,76;128,52;47,88;0,00;0,00;0,00;79,43;46,57;0,00;32,23;0,00;63,00
2019-05-05;47,00;31,00;0,00;0,00;0,00;0,00;0,00;0,00;16,00;0,00;94,00;108,84;0,00;0,00;0,00;30,41;16,59;0,00;16,16;0,00;30,84
2019-05-12;97,00;32,00;49,00;0,00;0,00;33,00;0,00;0,00;16,00;0,00;32,33;114,41;0,00;0,00;16,63;113,63;16,63;0,00;64,67;0,00;0,00
2019-05-19;32,00;64,00;32,00;0,00;0,00;0,00;16,00;0,00;0,00;46,77;238,77;78,77;0,00;0,00;0,00;77,33;32,00;0,00;80,00;0,00;32,00
2019-05-26;49,00;32,00;65,00;0,00;0,00;33,00;0,00;0,00;16,00;0,00;85,11;67,05;0,00;0,00;0,00;78,94;16,33;0,00;65,33;0,00;16,33
2019-06-02;32,00;96,00;32,00;0,00;16,00;48,00;0,00;0,00;0,00;0,00;160,00;96,00;0,00;0,00;0,00;138,67;16,00;0,00;64,00;0,00;64,00
2019-06-09;99,00;0,00;0,00;0,00;0,00;49,00;0,00;0,00;16,00;0,00;152,31;152,31;0,00;0,00;0,00;66,00;49,50;0,00;115,25;0,00;16,25
2019-06-16;17,00;33,00;33,00;17,00;0,00;50,00;17,00;0,00;0,00;0,00;145,71;162,71;0,00;0,00;17,00;187,00;0,00;0,00;69,55;0,00;34,00
2019-06-23;33,00;49,00;0,00;0,00;0,00;16,00;0,00;0,00;0,00;17,77;134,54;99,00;0,00;0,00;0,00;82,50;16,50;0,00;100,50;0,00;33,00
2019-06-30;16,00;16,00;32,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;208,00;138,67;16,00;0,00;0,00;93,33;0,00;0,00;80,00;0,00;32,00
2019-07-07;63,00;16,00;31,00;0,00;16,00;32,00;0,00;0,00;16,00;0,00;239,40;95,76;0,00;0,00;0,00;186,26;30,13;0,00;126,00;0,00;46,88
2019-07-14;100,00;50,00;17,00;0,00;0,00;33,00;0,00;0,00;17,00;0,00;135,00;135,00;0,00;0,00;0,00;100,00;0,00;0,00;33,82;16,18;33,82
2019-07-21;35,00;70,00;17,00;0,00;0,00;17,00;0,00;0,00;17,00;17,50;192,50;140,00;0,00;16,15;0,00;137,31;0,00;0,00;103,54;0,00;17,50
2019-07-28;17,00;0,00;17,00;0,00;17,00;34,00;34,00;17,00;17,00;0,00;148,14;82,57;0,00;0,00;0,00;68,00;34,00;0,00;80,75;0,00;0,00
2019-08-04;68,00;34,00;17,00;0,00;0,00;17,00;34,00;0,00;17,00;17,63;103,26;52,89;0,00;0,00;0,00;100,64;0,00;0,00;33,28;0,00;17,36
2019-08-11;98,00;49,00;0,00;0,00;0,00;49,00;0,00;16,00;16,00;0,00;165,85;133,18;0,00;16,80;0,00;98,00;33,60;0,00;64,36;0,00;0,00
2019-08-18;83,00;33,00;17,00;0,00;0,00;50,00;0,00;0,00;17,00;0,00;251,52;50,30;0,00;16,60;0,00;83,00;16,60;0,00;50,39;0,00;0,00
2019-08-25;81,00;33,00;16,00;0,00;0,00;0,00;0,00;16,00;33,00;0,00;83,53;83,53;0,00;0,00;0,00;50,28;33,52;16,20;113,40;16,20;0,00
2019-09-01;64,00;16,00;16,00;0,00;0,00;0,00;0,00;16,00;16,00;0,00;130,56;99,84;0,00;0,00;0,00;80,70;16,70;0,00;80,37;0,00;16,37
2019-09-08;31,00;63,00;16,00;0,00;0,00;32,00;0,00;16,00;0,00;0,00;104,92;150,23;0,00;0,00;0,00;95,82;0,00;0,00;31,00;0,00;47,24
2019-09-15;48,00;16,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;15,16;164,21;80,84;0,00;0,00;0,00;16,94;16,94;16,00;32,00;0,00;0,00
2019-09-22;62,00;62,00;0,00;0,00;0,00;16,00;0,00;0,00;16,00;0,00;186,00;76,88;0,00;0,00;16,91;78,91;0,00;0,00;124,00;0,00;0,00
2019-09-29;16,00;32,00;0,00;0,00;0,00;32,00;0,00;0,00;0,00;16,00;186,67;34,67;0,00;0,00;0,00;77,33;0,00;0,00;30,55;0,00;0,00
2019-10-06;47,00;31,00;47,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;108,84;32,16;0,00;0,00;0,00;30,41;16,59;0,00;77,84;0,00;30,84
2019-10-13;46,00;31,00;15,00;15,00;0,00;15,00;0,00;15,00;0,00;0,00;121,05;75,05;0,00;0,00;0,00;29,76;0,00;0,00;46,00;0,00;15,81
2019-10-20;0,00;30,00;30,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;61,00;6,00;0,00;0,00;5,00;16,00;5,00;0,00;10,00;10,00;0,00
2019-10-27;45,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00;15,00;30,00;77,50;60,00;15,00;0,00;0,00;75,94;14,06;0,00;90,00;0,00;14,52
2019-11-03;15,00;44,00;15,00;0,00;0,00;0,00;0,00;0,00;15,00;15,00;102,50;72,50;0,00;0,00;0,00;15,00;0,00;45,00;30,00;0,00;15,00
2019-11-10;89,00;30,00;0,00;0,00;0,00;0,00;0,00;15,00;0,00;0,00;103,83;103,83;0,00;0,00;0,00;75,09;0,00;14,83;44,50;0,00;0,00
2019-11-17;0,00;0,00;0,00;0,00;0,00;30,00;0,00;0,00;15,00;6,00;48,00;6,00;0,00;0,00;0,00;16,00;5,00;0,00;40,00;0,00;0,00
