Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;36,00;72,00;36,00;0,00;900,00;18,00;36,00;1800,00;18,00;0,00;6,00;600,00;204,00;554,40;7,20;50,40;720,00;0,00;12,86;156,86;7,71;0,00;6,55;137,45;0,00;0,00;15,00;0,00;15,00;7,71;0,00;244,29;0,00;152,57;0,00;145,71;0,00;7,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;43,00;21,50;10,75;10,75;494,50;10,75;0,00;1612,50;10,75;0,00;12,29;436,14;98,29;336,83;0,00;28,67;566,17;0,00;0,00;118,25;0,00;6,62;0,00;158,77;0,00;0,00;14,00;0,00;14,00;0,00;0,00;188,13;0,00;92,88;0,00;151,36;0,00;14,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;50,00;25,00;25,00;25,00;400,00;8,33;8,33;516,67;16,67;6,25;6,25;256,25;112,50;257,14;0,00;21,43;285,71;0,00;0,00;184,21;7,89;0,00;6,67;121,67;0,00;7,00;0,00;0,00;0,00;13,89;8,33;155,56;0,00;100,00;0,00;86,21;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;77,00;25,67;12,83;25,67;436,33;0,00;0,00;616,00;19,25;19,25;0,00;198,92;198,92;308,00;7,70;30,80;338,80;13,28;7,97;84,97;7,97;0,00;0,00;134,34;0,00;0,00;7,00;0,00;14,00;7,97;0,00;154,00;0,00;99,24;0,00;63,31;0,00;14,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;65,00;10,83;21,67;0,00;260,00;16,25;16,25;633,75;0,00;0,00;6,50;227,50;130,00;231,11;0,00;7,22;404,44;0,00;0,00;85,80;0,00;0,00;0,00;143,00;0,00;0,00;0,00;7,00;7,00;8,13;0,00;124,58;0,00;65,00;0,00;65,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;29,00;29,00;29,00;29,00;319,00;7,25;7,25;391,50;7,25;5,80;0,00;150,80;139,20;217,50;0,00;29,00;340,75;0,00;7,91;226,73;7,91;6,44;6,44;93,44;0,00;0,00;7,00;0,00;7,00;0,00;7,91;145,00;0,00;87,00;0,00;80,18;7,00;7,00;7,00;0,00;0,00;0,00;0,00
2019-02-17;22,00;22,00;11,00;22,00;308,00;22,00;11,00;572,00;0,00;0,00;5,50;247,50;115,50;249,33;0,00;14,67;278,67;0,00;22,00;93,50;8,25;0,00;0,00;98,15;0,00;0,00;0,00;0,00;0,00;16,50;0,00;189,75;0,00;88,00;0,00;50,77;0,00;7,00;7,00;0,00;0,00;0,00;0,00
2019-02-24;45,00;22,50;22,50;11,25;315,00;22,50;0,00;495,00;0,00;0,00;0,00;237,86;115,71;217,50;15,00;7,50;247,50;0,00;15,88;129,71;7,94;8,04;0,00;65,89;0,00;0,00;0,00;0,00;0,00;0,00;0,00;119,12;0,00;53,65;0,00;22,50;0,00;8,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;51,00;25,50;51,00;25,50;280,50;17,00;0,00;493,00;8,50;6,38;0,00;127,50;95,63;262,29;0,00;21,86;320,57;0,00;8,05;110,05;8,05;0,00;6,58;65,81;0,00;0,00;0,00;0,00;7,00;0,00;0,00;131,53;0,00;43,97;0,00;59,79;7,00;7,00;7,00;0,00;0,00;0,00;0,00
2019-03-10;43,00;21,50;43,00;0,00;258,00;0,00;21,50;516,00;10,75;12,29;12,29;184,29;104,43;215,00;0,00;14,33;236,50;0,00;8,06;145,13;0,00;0,00;0,00;79,38;0,00;7,00;7,00;0,00;22,00;21,50;0,00;102,13;0,00;72,24;0,00;49,88;0,00;0,00;7,00;0,00;0,00;0,00;0,00
2019-03-17;46,00;23,00;23,00;0,00;207,00;11,50;0,00;437,00;0,00;0,00;0,00;118,29;72,29;145,67;0,00;30,67;199,33;0,00;0,00;70,35;0,00;0,00;0,00;60,79;0,00;0,00;0,00;0,00;0,00;8,12;0,00;83,88;0,00;15,92;0,00;38,92;0,00;8,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;30,00;15,00;30,00;0,00;300,00;15,00;0,00;180,00;0,00;0,00;0,00;132,00;114,00;112,50;0,00;0,00;180,00;0,00;8,18;84,55;0,00;0,00;0,00;38,33;0,00;0,00;0,00;0,00;7,00;0,00;0,00;60,00;0,00;61,76;0,00;30,00;0,00;0,00;0,00;0,00;0,00;7,00;7,00
2019-03-31;23,00;23,00;23,00;11,50;207,00;23,00;11,50;138,00;11,50;11,50;5,75;161,00;74,75;92,00;0,00;0,00;138,00;7,67;0,00;74,11;0,00;0,00;0,00;44,36;0,00;0,00;0,00;0,00;0,00;0,00;0,00;112,13;0,00;7,08;0,00;15,92;0,00;0,00;0,00;0,00;0,00;0,00;0,00
