Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;27,00;27,00;19,00;55,00;2,00;2,00;2,00;4,00;4,00
2019-01-13;19,00;13,00;23,00;52,00;0,00;2,00;6,00;8,00;6,00
2019-01-20;12,00;25,00;12,00;56,00;0,00;2,00;2,00;2,00;0,00
2019-01-27;31,00;25,00;16,00;39,00;0,00;0,00;2,00;8,00;0,00
2019-02-03;25,00;36,00;15,00;42,00;2,00;2,00;0,00;4,00;0,00
2019-02-10;17,00;32,00;19,00;42,00;0,00;4,00;2,00;8,00;2,00
2019-02-17;21,00;19,00;9,00;49,00;2,00;4,00;9,00;9,00;2,00
2019-02-24;26,00;40,00;11,00;37,00;0,00;0,00;4,00;11,00;11,00
2019-03-03;11,00;34,00;17,00;53,00;0,00;8,00;4,00;15,00;2,00
2019-03-10;21,00;23,00;13,00;33,00;2,00;2,00;4,00;17,00;8,00
2019-03-17;20,00;33,00;18,00;38,00;2,00;4,00;4,00;11,00;9,00
2019-03-24;9,00;22,00;11,00;44,00;2,00;0,00;2,00;13,00;4,00
2019-03-31;22,00;24,00;11,00;33,00;0,00;2,00;9,00;4,00;0,00
2019-04-07;17,00;24,00;9,00;62,00;2,00;0,00;2,00;6,00;6,00
2019-04-14;5,00;14,00;5,00;95,00;0,00;0,00;2,00;2,00;0,00
2019-04-21;16,00;25,00;14,00;34,00;0,00;0,00;0,00;5,00;7,00
2019-04-28;19,00;13,00;21,00;34,00;4,00;2,00;11,00;6,00;0,00
2019-05-05;15,00;21,00;4,00;46,00;0,00;0,00;6,00;0,00;6,00
2019-05-12;13,00;15,00;7,00;35,00;2,00;0,00;4,00;2,00;4,00
2019-05-19;35,00;17,00;11,00;37,00;0,00;0,00;4,00;0,00;6,00
2019-05-26;24,00;11,00;4,00;26,00;2,00;2,00;2,00;4,00;2,00
2019-06-02;9,00;22,00;19,00;37,00;0,00;0,00;4,00;4,00;6,00
2019-06-09;18,00;20,00;9,00;31,00;2,00;0,00;2,00;2,00;4,00
2019-06-16;27,00;11,00;16,00;40,00;0,00;0,00;7,00;7,00;4,00
2019-06-23;20,00;18,00;15,00;40,00;0,00;0,00;2,00;4,00;2,00
2019-06-30;28,00;15,00;15,00;37,00;2,00;2,00;2,00;9,00;4,00
2019-07-07;11,00;17,00;11,00;34,00;2,00;2,00;6,00;8,00;0,00
2019-07-14;22,00;16,00;18,00;29,00;0,00;0,00;2,00;2,00;0,00
2019-07-21;21,00;16,00;16,00;33,00;2,00;0,00;0,00;7,00;5,00
