Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;14,00;82,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;26,44;40,44;40,44;0,00;14,00;0,00;53,20;0,00;0,00;0,00;0,00;0,00
2019-01-13;0,00;0,00;26,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;49,00;41,00;0,00;0,00;0,00;45,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;39,00;12,65;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;26,00;39,00;0,00;0,00;0,00;78,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;40,00;26,32;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;53,33;106,67;0,00;12,31;0,00;80,00;0,00;0,00;13,00;0,00;0,00
2019-02-03;42,00;42,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;28,56;57,12;0,00;0,00;0,00;27,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;41,00;83,05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,12;54,12;54,12;0,00;0,00;0,00;67,36;0,00;0,00;0,00;0,00;0,00
2019-02-17;0,00;40,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;59,00;59,00;0,00;0,00;0,00;46,00;0,00;0,00;14,00;0,00;0,00
2019-02-24;0,00;13,00;13,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;58,00;8,00;0,00;0,00;0,00;41,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;14,00;68,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;40,44;40,44;0,00;0,00;0,00;78,40;0,00;0,00;0,00;0,00;0,00
2019-03-10;29,00;58,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,35;73,35;88,71;0,00;0,00;0,00;90,22;0,00;0,00;0,00;14,00;0,00
2019-03-17;43,00;71,32;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,88;28,12;99,23;0,00;0,00;0,00;101,36;0,00;0,00;0,00;14,00;57,00
2019-03-24;14,00;58,15;0,00;0,00;0,00;0,00;0,00;0,00;14,00;15,75;59,50;105,00;15,75;0,00;0,00;64,40;0,00;0,00;14,00;0,00;0,00
2019-03-31;41,00;55,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;27,33;56,38;27,33;0,00;0,00;0,00;113,54;0,00;0,00;0,00;0,00;14,00
2019-04-07;41,00;42,08;14,03;0,00;0,00;0,00;0,00;0,00;14,00;0,00;56,38;140,08;0,00;0,00;0,00;113,54;0,00;0,00;0,00;0,00;14,00
2019-04-14;29,00;59,07;15,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;59,71;163,76;0,00;0,00;0,00;106,33;0,00;0,00;14,00;0,00;29,00
2019-04-21;69,00;27,18;0,00;13,59;0,00;0,00;0,00;0,00;0,00;0,00;54,21;69,00;0,00;0,00;0,00;123,00;0,00;0,00;0,00;0,00;0,00
