Semaine;Nice (FR);reta (SI);Agadir (MA);Djerba (TN);Corfu (GR);Santorini Island (GR);Faro (PT);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;30,00;0,00;15,00;7,00;30,00;94,62;4,62;0,00;30,00;37,50;0,00;4,00;15,00;0,00;0,00;8,00;8,00;38,00;0,00;0,00;7,50;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;39,00;4,00;11,00;4,00;21,00;104,81;17,06;6,50;13,00;26,00;0,00;0,00;0,00;0,00;0,00;18,00;0,00;32,00;0,00;0,00;3,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;31,00;3,00;10,00;3,00;27,00;78,69;21,46;3,88;23,25;54,25;7,75;7,00;0,00;3,00;0,00;3,00;7,00;21,00;7,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;18,00;4,00;14,00;18,00;29,65;133,71;41,14;4,50;27,00;45,00;9,00;7,00;0,00;0,00;0,00;0,00;4,00;38,00;11,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;3,00;3,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;22,00;0,00;33,00;11,00;18,00;85,56;7,33;7,33;22,00;51,33;7,33;0,00;7,00;7,00;0,00;11,00;15,00;44,00;7,00;0,00;2,93;0,00;4,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;25,00;7,00;18,00;0,00;7,00;68,18;29,55;12,50;25,00;43,75;6,25;7,00;11,00;0,00;0,00;18,00;4,00;29,00;4,00;0,00;2,94;0,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;55,00;0,00;15,00;0,00;14,00;126,74;19,13;6,88;41,25;75,63;13,75;0,00;7,00;11,00;0,00;15,00;15,00;11,00;11,00;0,00;7,43;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;11,00;4,00;25,00;7,00;11,00;134,75;49,50;5,50;16,50;60,50;5,50;4,00;7,00;4,00;0,00;18,00;0,00;29,00;0,00;0,00;3,14;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;23,00;8,00;38,00;7,32;42,86;99,67;28,11;0,00;30,67;69,00;7,67;4,00;0,00;4,00;4,00;11,00;8,00;19,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;23,00;0,00;8,00;4,18;23,00;102,22;43,44;7,67;23,00;69,00;7,67;19,00;11,00;0,00;8,00;15,00;4,00;23,00;19,00;4,60;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;30,00;4,00;15,00;4,00;33,00;160,00;35,00;7,50;30,00;67,50;0,00;4,00;11,00;8,00;4,00;22,00;0,00;30,00;8,00;0,00;7,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
