Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;47,00;7,00;13,00;27,00;7,00;7,00;13,00;20,00;7,00
2019-01-13;51,00;25,00;6,00;13,00;0,00;0,00;0,00;6,00;6,00
2019-01-20;12,00;6,00;12,00;24,00;12,00;0,00;6,00;6,00;12,00
2019-01-27;37,00;12,00;12,00;31,00;0,00;12,00;6,00;0,00;6,00
2019-02-03;39,00;20,00;46,00;13,00;0,00;0,00;13,00;7,00;7,00
2019-02-10;19,00;6,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00
2019-02-17;52,00;20,00;13,00;20,00;7,00;7,00;0,00;7,00;13,00
2019-02-24;19,00;32,00;26,00;13,00;0,00;6,00;0,00;13,00;0,00
2019-03-03;13,00;0,00;33,00;27,00;0,00;0,00;13,00;0,00;7,00
2019-03-10;47,00;0,00;0,00;7,00;7,00;0,00;7,00;13,00;0,00
2019-03-17;40,00;0,00;33,00;20,00;0,00;7,00;13,00;7,00;0,00
2019-03-24;92,00;7,00;7,00;33,00;0,00;7,00;0,00;0,00;7,00
2019-03-31;19,00;13,00;0,00;32,00;0,00;0,00;6,00;13,00;6,00
2019-04-07;32,00;0,00;32,00;19,00;0,00;0,00;0,00;0,00;6,00
2019-04-14;34,00;27,00;7,00;34,00;7,00;0,00;7,00;13,00;7,00
2019-04-21;13,00;13,00;32,00;19,00;0,00;0,00;6,00;0,00;0,00
2019-04-28;19,00;19,00;0,00;19,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;19,00;25,00;31,00;6,00;0,00;0,00;6,00;0,00;12,00
2019-05-12;65,00;6,00;6,00;26,00;0,00;0,00;0,00;6,00;6,00
2019-05-19;45,00;13,00;6,00;45,00;0,00;6,00;0,00;6,00;0,00
2019-05-26;69,00;19,00;19,00;25,00;0,00;0,00;31,00;6,00;0,00
2019-06-02;18,00;6,00;12,00;6,00;0,00;6,00;0,00;6,00;12,00
2019-06-09;37,00;12,00;19,00;43,00;0,00;0,00;6,00;6,00;0,00
2019-06-16;19,00;19,00;32,00;6,00;0,00;0,00;0,00;6,00;0,00
2019-06-23;33,00;7,00;7,00;27,00;7,00;0,00;7,00;0,00;7,00
2019-06-30;46,00;7,00;7,00;26,00;7,00;0,00;13,00;13,00;0,00
2019-07-07;84,00;0,00;13,00;19,00;0,00;0,00;6,00;19,00;0,00
2019-07-14;60,00;27,00;27,00;47,00;0,00;0,00;7,00;7,00;7,00
2019-07-21;100,00;7,00;13,00;47,00;0,00;0,00;13,00;7,00;13,00
2019-07-28;35,00;14,00;21,00;21,00;0,00;0,00;0,00;0,00;7,00
2019-08-04;49,00;42,00;7,00;0,00;0,00;7,00;7,00;0,00;0,00
2019-08-11;63,00;14,00;42,00;56,00;7,00;21,00;14,00;14,00;21,00
2019-08-18;55,00;14,00;34,00;61,00;0,00;0,00;14,00;0,00;7,00
2019-08-25;39,00;13,00;45,00;45,00;6,00;0,00;0,00;19,00;0,00
2019-09-01;48,00;6,00;6,00;6,00;0,00;6,00;6,00;6,00;0,00
2019-09-08;36,00;6,00;6,00;12,00;6,00;0,00;6,00;12,00;12,00
2019-09-15;42,00;12,00;6,00;36,00;0,00;0,00;6,00;0,00;0,00
2019-09-22;6,00;6,00;18,00;6,00;0,00;0,00;6,00;0,00;0,00
2019-09-29;30,00;6,00;18,00;48,00;0,00;0,00;12,00;6,00;0,00
2019-10-06;18,00;18,00;18,00;48,00;0,00;0,00;0,00;6,00;24,00
2019-10-13;18,00;18,00;23,00;18,00;12,00;0,00;12,00;23,00;0,00
2019-10-20;29,00;18,00;12,00;23,00;0,00;6,00;23,00;6,00;6,00
2019-10-27;30,00;12,00;24,00;18,00;0,00;0,00;12,00;6,00;24,00
2019-11-03;17,00;23,00;0,00;12,00;0,00;0,00;12,00;6,00;6,00
