Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;30,00;114,55;79,09;120,00;2,73;8,00;23,00;6,00;4,00
2019-01-13;27,00;123,00;84,00;132,00;3,00;5,00;22,00;10,00;6,00
2019-01-20;27,00;94,50;64,80;113,40;5,40;4,00;32,00;6,00;5,00
2019-01-27;27,00;91,80;67,50;94,50;5,40;4,00;18,00;8,00;4,00
2019-02-03;29,00;104,40;87,00;98,60;5,80;7,00;26,00;8,00;5,00
2019-02-10;30,00;114,00;78,00;108,00;3,00;10,00;22,00;7,00;5,00
2019-02-17;28,00;84,00;78,40;117,60;2,80;8,00;44,00;6,00;4,00
2019-02-24;16,00;109,33;66,67;109,33;2,67;7,00;25,00;8,00;3,00
2019-03-03;26,00;106,89;75,11;106,89;2,89;6,00;27,00;6,00;5,00
2019-03-10;31,00;81,73;64,82;107,09;2,82;6,00;22,00;11,00;5,00
2019-03-17;26,00;86,67;66,44;101,11;5,78;4,00;29,00;7,00;4,00
2019-03-24;23,00;89,13;60,38;100,63;2,88;3,00;25,00;6,00;5,00
2019-03-31;25,00;94,44;58,33;116,67;2,78;3,00;17,00;5,00;4,00
2019-04-07;27,00;78,30;48,60;108,00;2,70;2,00;22,00;5,00;4,00
2019-04-14;30,00;70,91;57,27;106,36;2,73;3,00;33,00;3,00;5,00
2019-04-21;19,00;78,71;57,00;111,29;2,71;3,00;30,00;6,00;4,00
2019-04-28;18,00;78,00;48,00;111,00;9,00;4,00;23,00;5,00;5,00
2019-05-05;25,00;63,89;58,33;122,22;2,78;3,00;25,00;5,00;5,00
2019-05-12;24,00;61,33;53,33;106,67;2,67;7,00;34,00;8,00;6,00
2019-05-19;22,00;60,50;46,75;126,50;2,75;4,00;23,00;6,00;3,00
2019-05-26;29,00;63,80;46,40;113,10;2,90;4,00;24,00;6,00;4,00
2019-06-02;22,00;55,00;35,75;99,00;2,75;2,00;24,00;7,00;5,00
2019-06-09;25,00;58,33;50,00;105,56;2,78;3,00;29,00;5,00;3,00
2019-06-16;34,00;68,00;42,50;121,83;5,67;4,00;29,00;4,00;2,00
2019-06-23;31,00;67,64;45,09;121,18;2,82;5,00;31,00;6,00;5,00
2019-06-30;27,00;81,00;54,00;111,00;3,00;3,00;41,00;6,00;6,00
2019-07-07;33,00;68,75;35,75;99,00;2,75;6,00;41,00;5,00;3,00
2019-07-14;29,00;87,00;52,20;121,80;5,80;5,00;19,00;6,00;3,00
2019-07-21;36,00;74,77;52,62;108,00;2,77;4,00;28,00;10,00;3,00
2019-07-28;28,00;92,40;61,60;128,80;2,80;6,00;27,00;9,00;4,00
2019-08-04;40,00;88,57;57,14;120,00;2,86;5,00;31,00;7,00;5,00
2019-08-11;29,00;81,20;60,90;142,10;5,80;6,00;25,00;4,00;5,00
2019-08-18;38,00;86,86;46,14;116,71;1,36;4,00;20,00;5,00;9,00
2019-08-25;27,00;64,80;59,40;110,70;5,40;5,00;26,00;4,00;4,00
2019-09-01;27,00;72,00;60,00;129,00;3,00;3,00;37,00;6,00;4,00
2019-09-08;26,00;66,44;52,00;101,11;5,78;2,00;20,00;7,00;5,00
2019-09-15;23,00;66,13;48,88;123,63;1,44;4,00;21,00;8,00;3,00
2019-09-22;24,00;66,00;51,00;129,00;3,00;2,00;30,00;4,00;5,00
2019-09-29;24,00;61,33;40,00;122,67;2,67;3,00;26,00;4,00;3,00
2019-10-06;24,00;60,00;54,00;132,00;3,00;4,00;25,00;6,00;5,00
2019-10-13;28,00;61,60;50,40;134,40;5,60;6,00;30,00;7,00;2,00
2019-10-20;24,00;87,00;60,00;177,00;3,00;4,00;100,00;8,00;6,00
2019-10-27;28,00;70,00;67,20;117,60;2,80;3,00;30,00;8,00;6,00
2019-11-03;30,00;68,18;54,55;120,00;2,73;4,00;26,00;5,00;4,00
2019-11-10;25,00;77,78;47,22;122,22;2,78;4,00;27,00;7,00;6,00
2019-11-17;22,00;82,50;55,00;115,50;2,75;2,00;32,00;6,00;6,00
2019-11-24;25,00;72,22;58,33;105,56;2,78;3,00;20,00;4,00;4,00
2019-12-01;24,00;75,00;63,00;114,00;1,50;6,00;28,00;6,00;4,00
2019-12-08;43,00;74,53;63,07;106,07;5,73;4,00;63,00;9,00;5,00
2019-12-15;34,00;82,17;53,83;96,33;2,83;2,00;27,00;7,00;5,00
2019-12-22;36,00;102,46;66,46;127,38;2,77;6,00;18,00;6,00;5,00
2019-12-29;42,00;103,60;78,40;156,80;2,80;6,00;23,00;7,00;9,00
2020-01-05;32,00;104,73;84,36;142,55;5,82;4,00;22,00;5,00;10,00
2020-01-12;23,00;109,25;83,38;140,88;2,88;4,00;21,00;4,00;4,00
2020-01-19;29,00;104,40;75,40;145,00;2,90;4,00;24,00;9,00;5,00
2020-01-26;27,00;102,00;72,00;138,00;3,00;6,00;28,00;8,00;7,00
2020-02-02;23,00;112,13;57,50;146,63;5,75;5,00;23,00;4,00;5,00
2020-02-09;26,00;104,00;54,89;135,78;2,89;4,00;23,00;4,00;7,00
2020-02-16;21,00;108,00;75,00;138,00;3,00;3,00;25,00;6,00;6,00
2020-02-23;27,00;78,30;59,40;110,70;5,40;2,00;26,00;5,00;2,00
2020-03-01;21,00;78,75;60,38;102,38;2,63;3,00;23,00;7,00;3,00
2020-03-08;20,00;88,57;68,57;131,43;5,71;4,00;26,00;6,00;7,00
2020-03-15;21,00;78,00;54,00;132,00;6,00;4,00;25,00;4,00;4,00
2020-03-22;23,00;54,63;28,75;94,88;2,88;3,00;30,00;4,00;4,00
2020-03-29;28,00;36,40;25,20;86,80;2,80;2,00;32,00;3,00;4,00
2020-04-05;28,00;42,00;22,40;89,60;2,80;2,00;25,00;3,00;2,00
2020-04-12;27,00;37,80;21,60;97,20;2,70;2,00;20,00;2,00;7,00
2020-04-19;28,00;44,80;30,80;98,00;2,80;2,00;25,00;5,00;3,00
2020-04-26;25,00;36,11;27,78;91,67;2,78;3,00;27,00;5,00;5,00
2020-05-03;27,00;40,50;27,00;81,00;5,40;2,00;69,00;2,00;3,00
2020-05-10;29,00;49,30;29,00;89,90;2,90;2,00;43,00;4,00;4,00
2020-05-17;24,00;53,33;34,67;88,00;5,33;5,00;27,00;4,00;5,00
2020-05-24;23,00;46,00;28,75;74,75;2,88;3,00;37,00;4,00;5,00
2020-05-31;25,00;52,78;27,78;88,89;2,78;2,00;25,00;5,00;5,00
2020-06-07;21,00;66,00;33,00;90,00;6,00;2,00;31,00;3,00;3,00
2020-06-14;28,00;61,60;42,00;112,00;5,60;1,00;31,00;5,00;3,00
2020-06-21;32,00;66,91;43,64;107,64;8,73;1,00;30,00;5,00;3,00
2020-06-28;22,00;60,50;38,50;90,75;2,75;1,00;27,00;5,00;4,00
2020-07-05;29,00;60,90;40,60;113,10;5,80;3,00;31,00;5,00;2,00
