Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;51,00;362,67;68,00;17,00;28,33;36,00;38,00;17,00;32,00;19,00;8,00;12,00;13,00;10,00;21,00;5,00;57,00;6,24;9,37;89,51;7,29;56,67;3,40;2,27;2,27;48,00;13,00;29,00;2,00;41,51;23,72;41,51;5,93;5,00;7,00;7,00
2019-01-13;52,00;312,00;57,20;15,60;26,00;28,00;32,00;16,00;31,00;15,00;9,00;14,00;10,00;11,00;17,00;4,00;52,00;6,37;11,67;87,02;4,24;55,39;2,26;2,26;1,13;42,00;15,00;30,00;2,00;40,18;24,82;36,64;7,09;5,00;9,00;7,00
2019-01-20;48,00;330,67;53,33;16,00;21,33;29,00;35,00;18,00;32,00;16,00;8,00;10,00;11,00;12,00;16,00;5,00;52,00;4,27;9,60;89,60;5,33;53,71;3,43;2,29;2,29;42,00;14,00;29,00;2,00;38,40;24,00;37,20;6,00;4,00;8,00;7,00
2019-01-27;45,00;343,13;45,00;16,88;28,13;30,00;40,00;19,00;28,00;13,00;9,00;11,00;11,00;9,00;21,00;4,00;53,00;5,23;10,47;69,07;5,23;54,00;4,50;3,38;2,25;59,00;18,00;19,00;1,00;35,53;23,68;34,34;8,29;5,00;6,00;6,00
2019-02-03;40,00;377,14;57,14;17,14;28,57;30,00;42,00;18,00;30,00;17,00;10,00;13,00;12,00;12,00;18,00;4,00;52,00;5,26;9,47;69,47;6,32;67,43;4,57;2,29;2,29;47,00;14,00;18,00;1,00;42,35;28,24;37,65;7,06;4,00;5,00;7,00
2019-02-10;42,00;351,75;52,50;15,75;31,50;40,00;38,00;16,00;31,00;14,00;11,00;9,00;12,00;11,00;21,00;3,00;55,00;6,46;9,69;70,00;7,54;63,57;2,27;2,27;2,27;43,00;14,00;20,00;3,00;48,00;31,20;48,00;9,60;6,00;8,00;7,00
2019-02-17;41,00;343,38;51,25;15,38;30,75;39,00;45,00;19,00;31,00;17,00;11,00;12,00;13,00;15,00;21,00;4,00;53,00;6,31;10,51;71,49;4,21;67,19;2,28;3,42;1,14;52,00;18,00;14,00;1,00;41,00;33,97;37,49;8,20;5,00;9,00;8,00
2019-02-24;47,00;344,67;47,00;15,67;26,11;35,00;39,00;23,00;35,00;15,00;10,00;10,00;12,00;11,00;18,00;6,00;55,00;8,36;12,53;64,76;5,22;73,86;3,36;3,36;1,12;49,00;15,00;23,00;3,00;52,88;24,68;36,43;8,23;5,00;6,00;9,00
2019-03-03;45,00;365,63;50,63;16,88;28,13;37,00;32,00;22,00;35,00;15,00;9,00;11,00;12,00;12,00;21,00;4,00;56,00;6,28;11,51;68,02;5,23;66,38;3,38;2,25;1,13;53,00;17,00;18,00;1,00;43,82;36,71;35,53;8,29;4,00;6,00;7,00
2019-03-10;51,00;362,67;51,00;17,00;28,33;32,00;36,00;18,00;35,00;16,00;11,00;11,00;13,00;11,00;19,00;4,00;54,00;7,44;12,75;59,50;7,44;63,47;3,40;2,27;1,13;50,00;16,00;17,00;3,00;46,26;23,72;34,40;7,12;4,00;7,00;8,00
2019-03-17;49,00;392,00;54,44;16,33;27,22;37,00;37,00;24,00;35,00;13,00;9,00;12,00;14,00;11,00;22,00;5,00;54,00;7,30;11,47;64,64;6,26;67,23;3,42;2,28;3,42;48,00;13,00;18,00;2,00;39,44;27,49;35,85;5,98;6,00;7,00;7,00
2019-03-24;47,00;355,11;47,00;15,67;26,11;36,00;40,00;17,00;33,00;12,00;7,00;11,00;9,00;10,00;17,00;4,00;53,00;6,27;11,49;74,16;5,22;67,14;3,36;2,24;2,24;51,00;13,00;19,00;3,00;38,78;31,73;32,90;10,58;7,00;7,00;9,00
2019-03-31;62,00;411,45;56,36;16,91;28,18;41,00;44,00;18,00;35,00;15,00;10,00;11,00;14,00;13,00;19,00;4,00;60,00;9,46;13,66;105,08;6,31;69,89;3,38;3,38;2,25;52,00;15,00;34,00;2,00;39,35;29,81;56,04;7,15;5,00;7,00;10,00
2019-04-07;58,00;374,36;52,73;15,82;31,64;39,00;48,00;19,00;34,00;15,00;9,00;12,00;14,00;10,00;21,00;5,00;64,00;9,49;12,65;80,15;7,38;75,85;4,46;2,23;3,35;53,00;13,00;34,00;2,00;42,61;30,78;47,35;13,02;9,00;9,00;9,00
