Semaine;Nice (FR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;57,00;367,33;494,00;6,33;50,67;153,65;1,24;44,61;123,91;143,86;92,29;97,71;86,86;43,85;47,13;16,44;5,48;13,00;7,00;2,00;3,00;22,00;9,00;46,00;7,00;4,00;15,00;1,00;1,00;9,00;0,00;0,00;0,00;7,00;1,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;54,00;384,75;499,50;3,38;54,00;115,36;1,23;46,64;137,45;189,00;67,50;105,30;78,30;33,06;44,08;9,92;3,31;11,00;1,00;2,00;1,00;44,00;9,00;28,00;10,00;1,00;9,00;0,00;0,00;5,00;1,00;1,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00
2019-01-20;41,00;321,17;416,83;6,83;61,50;117,88;1,28;33,31;112,75;169,47;65,60;79,27;92,93;31,03;41,00;7,76;3,32;4,00;1,00;2,00;2,00;40,00;10,00;26,00;3,00;3,00;7,00;0,00;0,00;4,00;1,00;1,00;0,00;2,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;50,00;300,00;375,00;6,25;43,75;125,00;1,25;22,50;82,50;126,32;76,32;76,32;52,63;31,52;39,13;5,43;4,35;6,00;2,00;3,00;6,00;22,00;8,00;24,00;6,00;3,00;10,00;0,00;2,00;4,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00
2019-02-03;48,00;315,43;411,43;6,86;48,00;113,68;2,53;20,21;96,00;133,33;72,00;85,33;64,00;36,00;28,36;12,00;2,18;7,00;3,00;4,00;0,00;25,00;10,00;20,00;3,00;1,00;7,00;0,00;2,00;3,00;1,00;0,00;0,00;2,00;0,00;1,00;2,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;53,00;291,50;377,63;6,63;46,38;101,18;1,20;16,86;79,50;116,60;60,95;66,25;108,65;26,50;39,75;12,15;4,42;3,00;1,00;1,00;1,00;36,00;8,00;29,00;11,00;1,00;8,00;0,00;1,00;6,00;1,00;0,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;2,00;0,00
2019-02-17;65,00;325,00;383,50;6,50;39,00;91,48;7,22;19,26;91,48;140,40;49,40;75,40;85,80;24,92;23,83;14,08;2,17;10,00;0,00;7,00;0,00;32,00;9,00;32,00;9,00;4,00;13,00;0,00;0,00;1,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;47,00;329,00;389,43;6,71;40,29;108,84;1,24;17,32;94,00;154,06;75,72;83,56;65,28;21,86;30,60;10,93;5,47;11,00;0,00;3,00;3,00;40,00;16,00;24,00;8,00;3,00;8,00;1,00;1,00;2,00;1,00;0,00;1,00;5,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;47,00;308,86;396,14;6,71;47,00;89,05;1,24;17,32;111,32;138,39;52,22;70,50;60,06;19,67;27,33;5,47;2,19;10,00;3,00;3,00;1,00;29,00;10,00;22,00;6,00;3,00;4,00;0,00;0,00;4,00;0,00;1,00;0,00;7,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;46,00;302,29;414,00;3,29;32,86;94,42;1,21;24,21;84,74;162,35;70,35;89,29;97,41;30,67;31,76;7,67;5,48;7,00;1,00;3,00;1,00;36,00;12,00;36,00;10,00;2,00;7,00;0,00;0,00;1,00;0,00;0,00;0,00;2,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;62,00;378,89;475,33;6,89;48,22;101,68;2,48;19,84;89,28;129,17;59,42;77,50;103,33;34,81;36,98;9,79;7,61;8,00;3,00;6,00;1,00;47,00;6,00;24,00;13,00;2,00;8,00;1,00;1,00;3,00;0,00;0,00;0,00;8,00;0,00;1,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00
2019-03-24;52,00;403,00;370,50;3,25;45,50;106,48;4,95;27,24;104,00;153,40;59,80;75,40;83,20;32,50;31,42;10,83;5,42;9,00;0,00;10,00;3,00;43,00;6,00;33,00;6,00;2,00;10,00;0,00;1,00;1,00;0,00;0,00;0,00;6,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-03-31;65,00;442,00;435,50;6,50;45,50;122,78;4,81;24,07;168,52;153,40;67,60;85,80;62,40;45,50;34,67;14,08;7,58;4,00;1,00;6,00;3,00;31,00;8,00;38,00;6,00;2,00;2,00;0,00;0,00;3,00;0,00;1,00;0,00;3,00;1,00;1,00;2,00;0,00;0,00;0,00;0,00;1,00;0,00
2019-04-07;67,00;502,50;422,10;6,70;40,20;129,04;2,48;44,67;168,74;168,84;83,08;125,96;96,48;61,60;42,15;10,81;5,40;10,00;2,00;10,00;1,00;50,00;9,00;44,00;9,00;4,00;6,00;0,00;0,00;9,00;0,00;1,00;0,00;4,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;77,00;526,17;429,92;6,42;32,08;129,16;2,48;32,29;149,03;196,48;87,62;122,14;95,59;39,04;28,20;11,93;2,17;7,00;0,00;4,00;5,00;49,00;7,00;49,00;9,00;4,00;4,00;0,00;0,00;7,00;1,00;0,00;0,00;9,00;0,00;2,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00
2019-04-21;72,00;484,36;484,36;6,55;39,27;136,55;1,24;42,21;176,28;170,67;72,00;96,00;69,33;42,55;44,73;9,82;8,73;12,00;1,00;8,00;3,00;35,00;8,00;44,00;13,00;2,00;7,00;1,00;1,00;2,00;1,00;0,00;0,00;6,00;0,00;2,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;54,00;486,00;405,00;13,50;47,25;137,45;2,45;44,18;166,91;197,10;94,50;118,80;113,40;60,61;66,12;12,12;11,02;11,00;2,00;3,00;4,00;37,00;13,00;39,00;3,00;2,00;8,00;1,00;2,00;5,00;0,00;0,00;0,00;7,00;0,00;4,00;2,00;0,00;0,00;0,00;0,00;1,00;0,00
2019-05-05;64,00;492,80;428,80;12,80;38,40;152,62;2,46;54,15;228,92;208,00;85,33;109,33;128,00;57,38;57,38;19,86;6,62;11,00;2,00;4,00;1,00;38,00;17,00;58,00;13,00;4,00;11,00;0,00;2,00;7,00;1,00;1,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00
2019-05-12;65,00;520,00;455,00;13,00;39,00;192,50;1,25;75,00;190,00;221,00;98,80;101,40;93,60;62,80;61,69;13,22;8,81;14,00;3,00;4,00;6,00;39,00;16,00;43,00;7,00;4,00;13,00;0,00;0,00;6,00;1,00;0,00;0,00;2,00;1,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00
2019-05-19;69,00;570,82;420,27;12,55;43,91;209,46;0,00;54,21;211,93;185,77;116,77;116,77;92,88;54,98;66,84;15,09;7,55;10,00;1,00;8,00;2,00;42,00;20,00;48,00;14,00;2,00;10,00;0,00;0,00;9,00;1,00;1,00;0,00;9,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00
2019-05-26;79,00;533,25;381,83;6,58;19,75;199,97;4,94;49,38;207,38;242,27;102,70;121,13;84,27;82,25;72,51;18,40;11,90;13,00;3,00;10,00;2,00;47,00;14,00;67,00;6,00;4,00;8,00;2,00;1,00;4,00;3,00;0,00;0,00;12,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-06-02;75,00;654,55;436,36;13,64;40,91;212,50;1,25;65,00;180,00;267,86;91,07;123,21;117,86;55,43;70,65;20,65;6,52;11,00;2,00;6,00;3,00;47,00;21,00;47,00;19,00;5,00;8,00;0,00;0,00;3,00;2,00;1,00;0,00;4,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00
2019-06-09;100,00;666,67;426,67;6,67;33,33;185,37;0,00;63,41;200,00;244,74;94,74;115,79;92,11;58,24;79,12;24,18;9,89;14,00;7,00;9,00;4,00;47,00;17,00;42,00;10,00;0,00;10,00;0,00;1,00;4,00;2,00;1,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00
2019-06-16;95,00;538,33;462,33;6,33;38,00;224,10;0,00;46,28;204,62;224,31;100,28;129,31;116,11;91,72;81,90;28,39;5,46;14,00;3,00;10,00;5,00;50,00;11,00;45,00;14,00;5,00;13,00;0,00;1,00;7,00;1,00;0,00;1,00;4,00;0,00;1,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00
2019-06-23;86,00;628,46;496,15;13,23;39,69;243,26;0,00;63,89;196,57;233,81;104,81;118,25;129,00;65,05;74,97;24,26;12,13;29,00;4,00;8,00;3,00;58,00;14,00;50,00;11,00;1,00;14,00;0,00;1,00;8,00;2,00;0,00;0,00;8,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;0,00
2019-06-30;98,00;594,53;392,00;13,07;45,73;215,60;1,23;46,55;193,55;196,00;105,95;92,70;105,95;67,51;88,20;23,96;10,89;14,00;4,00;3,00;1,00;53,00;9,00;47,00;13,00;1,00;14,00;0,00;0,00;2,00;2,00;3,00;0,00;9,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;3,00;0,00
2019-07-07;82,00;635,50;444,17;13,67;27,33;228,61;1,24;39,76;191,33;224,84;84,65;111,10;108,45;57,95;91,84;20,77;7,65;16,00;2,00;8,00;5,00;43,00;12,00;53,00;10,00;5,00;8,00;0,00;1,00;11,00;3,00;2,00;1,00;8,00;2,00;0,00;2,00;0,00;0,00;1,00;0,00;0,00;0,00
2019-07-14;84,00;600,92;407,08;6,46;32,31;247,06;2,47;44,47;190,24;199,50;94,50;123,38;94,50;72,95;75,16;29,84;17,68;19,00;3,00;9,00;5,00;55,00;20,00;34,00;9,00;4,00;9,00;0,00;2,00;7,00;1,00;0,00;0,00;7,00;1,00;1,00;2,00;1,00;2,00;0,00;1,00;1,00;0,00
2019-07-21;92,00;584,86;394,29;13,14;39,43;210,63;4,84;46,00;179,16;212,91;94,63;105,14;113,03;72,29;77,76;26,29;10,95;20,00;2,00;6,00;2,00;57,00;16,00;45,00;15,00;3,00;10,00;0,00;2,00;6,00;1,00;4,00;0,00;6,00;0,00;2,00;0,00;0,00;0,00;1,00;2,00;0,00;0,00
