Semaine;Nice (FR);Paris (FR);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;57,00;440,45;409,36;388,64;270,75;14,25;135,38;99,75;213,13;106,57;94,17;109,04;228,00;264,64;52,93;4,07;85,50;467,40;17,10;51,30;14,00;33,00;42,00;31,00;29,08;73,29;6,98;24,43;15,12;5,82;8,14;3,49;9,00;1,00;1,00
2019-01-13;55,00;395,00;335,00;335,00;243,57;15,71;165,00;94,29;182,50;130,00;97,50;102,50;224,23;249,62;55,00;4,23;71,50;473,00;11,00;44,00;16,30;30,56;33,61;50,93;15,00;66,00;4,00;39,00;9,00;6,00;4,00;5,00;7,13;3,06;1,02
2019-01-20;46,00;414,00;408,25;425,50;276,00;9,20;193,20;138,00;208,35;146,12;81,18;100,12;216,20;262,20;50,60;9,20;92,00;532,29;19,71;46,00;15,71;37,02;33,66;49,37;20,00;54,00;4,00;11,00;16,00;10,00;11,00;3,00;12,34;2,24;1,12
2019-01-27;50,00;320,00;315,00;355,00;228,57;14,29;142,86;85,71;172,50;120,00;80,00;105,00;183,33;212,50;41,67;12,50;83,33;433,33;11,11;38,89;12,00;35,00;25,00;20,00;17,86;89,29;1,19;22,62;15,48;4,76;10,71;9,52;13,00;1,00;2,00
2019-02-03;48,00;297,60;278,40;345,60;288,00;8,00;152,00;88,00;168,00;115,20;98,40;124,80;184,00;212,00;48,00;12,00;85,33;426,67;16,00;32,00;10,00;34,00;34,00;35,00;32,00;54,15;3,69;24,62;13,54;7,38;8,62;4,92;12,00;4,00;0,00
2019-02-10;58,00;332,18;305,82;411,27;273,43;16,57;182,29;107,71;213,55;129,18;79,09;131,82;218,62;258,77;66,92;4,46;96,67;476,89;19,33;38,67;14,23;36,11;43,77;33,92;21,00;43,00;2,00;30,00;12,00;6,00;7,00;3,00;13,13;1,09;0,00
2019-02-17;65,00;330,00;295,00;400,00;238,33;7,22;137,22;86,67;163,70;117,96;101,11;125,19;182,81;186,88;52,81;4,06;65,00;487,50;16,25;37,92;19,00;29,00;28,00;41,00;23,75;60,00;11,25;18,75;15,00;7,50;5,00;8,75;14,00;1,00;2,00
2019-02-24;51,00;336,60;346,80;392,70;263,50;8,50;153,00;110,50;177,16;144,95;77,84;112,74;187,00;238,00;55,25;4,25;89,25;484,50;19,13;44,63;14,11;29,30;49,91;36,89;24,00;27,00;5,00;16,00;14,00;9,00;7,00;5,00;19,53;2,17;1,09
2019-03-03;47,00;355,11;302,89;381,22;242,83;7,83;172,33;86,17;185,53;108,84;79,16;116,26;209,36;226,45;47,00;4,27;58,75;434,75;17,63;41,13;19,00;35,00;37,00;30,00;26,70;59,82;7,48;18,16;11,75;4,27;8,55;1,07;10,00;2,00;0,00
2019-03-10;46,00;388,44;265,78;347,56;222,33;15,33;161,00;107,33;167,05;96,84;75,05;116,21;167,27;204,91;41,82;20,91;80,50;419,75;17,25;40,25;12,00;39,00;26,00;43,00;15,00;43,00;7,00;27,00;13,00;12,00;12,00;5,00;10,00;1,00;2,00
2019-03-17;62,00;348,15;233,69;372,00;248,00;15,50;155,00;124,00;151,28;126,48;89,28;128,96;202,53;227,33;57,87;4,13;62,00;411,45;16,91;39,45;19,00;37,00;42,00;37,00;33,16;70,65;15,86;36,05;24,51;7,21;15,86;5,77;10,00;0,00;4,00
2019-03-24;52,00;348,40;254,80;421,20;215,43;7,43;126,29;89,14;175,81;106,48;86,67;121,33;164,00;216,00;64,00;4,00;86,67;421,78;17,33;28,89;21,00;38,00;30,00;46,00;29,71;50,76;16,10;29,71;19,81;14,86;8,67;4,95;9,00;3,00;1,00
2019-03-31;65,00;295,00;240,00;440,00;209,44;7,22;158,89;86,67;161,30;113,15;105,93;139,63;178,75;215,31;44,69;12,19;92,08;352,08;21,67;37,92;19,00;40,00;35,00;38,00;22,87;40,93;12,04;22,87;14,44;6,02;9,63;6,02;11,00;1,00;1,00
2019-04-07;74,00;370,00;301,29;491,57;263,11;16,44;139,78;148,00;211,04;137,04;115,11;178,15;212,75;309,88;55,50;13,88;104,83;444,00;12,33;49,33;22,09;45,28;37,55;39,76;22,00;47,00;12,00;25,00;13,00;12,00;8,00;10,00;11,04;0,00;4,42
2019-04-14;77,00;380,19;250,25;476,44;254,10;7,70;192,50;123,20;168,44;101,06;93,84;137,16;186,42;231,00;44,58;8,11;77,00;379,50;5,50;33,00;20,00;32,00;38,00;31,00;36,17;38,50;10,50;25,67;15,17;7,00;12,83;3,50;11,00;1,00;0,00
2019-04-21;72,00;259,20;225,60;408,00;223,20;14,40;165,60;79,20;151,20;96,00;74,40;127,20;212,00;208,00;44,00;4,00;77,54;415,38;11,08;27,69;13,00;45,00;37,00;44,00;23,14;41,14;19,29;29,57;14,14;9,00;7,71;9,00;19,00;1,00;2,00
2019-04-28;64,00;378,18;267,64;570,18;338,29;18,29;201,14;118,86;206,55;110,55;107,64;154,18;196,92;270,77;73,85;9,85;102,40;416,00;25,60;38,40;27,26;47,41;49,78;54,52;24,00;37,00;8,00;17,00;8,00;5,00;6,00;4,00;10,67;2,37;0,00
2019-05-05;70,00;360,77;269,23;538,46;264,44;7,78;777,78;132,22;166,92;105,00;110,38;134,62;170,63;266,88;52,50;8,75;95,45;439,09;19,09;44,55;25,16;40,47;35,00;30,63;31,00;25,00;11,00;19,00;17,00;9,00;9,00;4,00;21,88;0,00;1,09
