Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;17,00;72,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;48,88;65,88;0,00;0,00;0,00;0,00;0,00;17,00;33,00;0,00;0,00
2019-01-13;65,00;112,27;0,00;15,76;0,00;0,00;0,00;0,00;16,00;0,00;0,00;97,50;0,00;0,00;0,00;33,43;0,00;0,00;16,00;16,00;16,00
2019-01-20;15,00;73,13;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;15,00;0,00;0,00;0,00;61,88;0,00;0,00;0,00;0,00;0,00
2019-01-27;45,00;148,70;15,65;0,00;0,00;15,00;0,00;0,00;30,00;0,00;60,00;60,00;0,00;0,00;0,00;76,88;15,00;0,00;15,00;0,00;0,00
2019-02-03;47,00;76,38;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;47,00;47,00;0,00;0,00;0,00;47,00;0,00;0,00;16,00;0,00;0,00
2019-02-10;0,00;47,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;29,00;0,00;0,00;8,00;8,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;16,00;96,00;16,00;0,00;0,00;0,00;0,00;0,00;16,00;0,00;0,00;34,29;0,00;0,00;16,00;60,44;0,00;0,00;0,00;0,00;0,00
2019-02-24;47,00;47,00;15,67;0,00;0,00;0,00;0,00;0,00;0,00;0,00;29,91;14,95;0,00;0,00;0,00;80,84;0,00;0,00;0,00;0,00;0,00
2019-03-03;16,00;184,00;0,00;0,00;0,00;16,00;0,00;0,00;0,00;0,00;0,00;60,00;0,00;0,00;0,00;32,00;16,00;0,00;0,00;0,00;0,00
2019-03-10;32,00;98,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,93;32,00;64,00;0,00;0,00;0,00;16,94;0,00;0,00;16,00;0,00;0,00
2019-03-17;33,00;48,53;48,53;0,00;0,00;0,00;0,00;0,00;0,00;0,00;33,00;66,00;0,00;0,00;0,00;64,17;0,00;16,00;0,00;0,00;0,00
