Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;36,00;13,00;0,00;18,00;22,00;0,00;4,00;9,00;4,00;0,00;0,00;46,29;30,86;31,00;0,00;9,00;13,00;0,00;0,00;123,43;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;13,00;9,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;26,00;4,00;0,00;4,00;9,00;0,00;0,00;4,00;0,00;0,00;0,00;5,20;36,40;4,00;0,00;22,00;9,00;0,00;0,00;73,27;0,00;4,00;9,00;4,00;4,00;0,00;0,00;9,00;0,00;0,00;9,00;9,00;0,00;0,00;0,00;0,00;9,00;0,00;4,00;0,00;0,00;0,00
2019-01-20;41,00;4,00;8,00;8,00;0,00;0,00;0,00;4,00;0,00;0,00;5,13;12,81;38,44;8,00;4,00;4,00;0,00;4,82;0,00;110,94;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;8,00;12,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;37,00;4,00;4,00;20,00;4,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;42,29;8,00;8,00;12,00;0,00;4,93;0,00;101,13;0,00;0,00;4,00;0,00;4,00;4,00;0,00;0,00;0,00;4,00;4,00;0,00;8,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;59,00;4,00;12,00;4,00;8,00;4,00;0,00;0,00;0,00;0,00;0,00;5,13;46,17;0,00;4,00;13,00;0,00;0,00;0,00;78,67;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;21,00;0,00;4,00;13,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;13,13;5,25;4,00;0,00;0,00;8,00;0,00;0,00;49,88;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;8,00;0,00;4,00;0,00;4,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;30,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;5,00;0,00;7,50;12,50;9,00;0,00;0,00;4,00;0,00;0,00;65,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;21,00;4,00;4,00;17,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,13;0,00;0,00;4,00;4,00;5,25;0,00;63,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;58,00;9,00;0,00;18,00;18,00;4,00;0,00;13,00;0,00;5,04;0,00;5,04;22,70;0,00;0,00;4,00;9,00;0,00;0,00;68,09;5,04;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;4,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00
2019-03-10;30,00;0,00;4,00;4,00;0,00;9,00;0,00;4,00;0,00;0,00;0,00;12,50;20,00;0,00;0,00;13,00;9,00;0,00;0,00;77,50;0,00;0,00;0,00;0,00;9,00;0,00;4,00;4,00;0,00;9,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;26,00;0,00;9,00;4,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;5,20;18,20;0,00;0,00;9,00;0,00;0,00;0,00;54,36;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;31,00;9,00;4,00;4,00;4,00;4,00;0,00;4,00;0,00;5,17;0,00;7,75;7,75;0,00;0,00;9,00;0,00;0,00;0,00;41,33;0,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00
2019-03-31;22,00;9,00;4,00;0,00;0,00;4,00;9,00;4,00;0,00;0,00;0,00;0,00;29,33;0,00;0,00;9,00;4,00;0,00;0,00;34,22;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;30,00;4,00;0,00;9,00;0,00;4,00;4,00;0,00;0,00;5,00;0,00;0,00;20,00;0,00;4,00;4,00;0,00;0,00;0,00;47,50;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;31,00;0,00;9,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;12,92;0,00;0,00;18,00;4,00;0,00;0,00;33,38;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;32,00;0,00;0,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,92;27,08;5,00;0,00;0,00;14,00;0,00;0,00;41,85;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;9,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;35,00;4,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;17,50;0,00;0,00;4,00;4,00;0,00;0,00;40,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;13,00;0,00;0,00;8,00;4,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;7,80;0,00;0,00;8,00;4,00;0,00;0,00;33,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;21,00;0,00;8,00;21,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,25;31,50;4,00;0,00;0,00;4,00;5,25;0,00;26,25;5,25;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;21,00;0,00;8,00;8,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;21,00;0,00;0,00;4,00;0,00;0,00;0,00;47,25;5,25;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;20,00;0,00;4,00;4,00;4,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;27,50;0,00;0,00;4,00;0,00;0,00;0,00;45,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-02;9,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;20,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-09;13,00;0,00;4,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,80;23,40;4,00;0,00;4,00;13,00;5,20;0,00;54,60;0,00;0,00;4,00;0,00;0,00;4,00;4,00;4,00;4,00;0,00;4,00;4,00;0,00;4,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00
2019-06-16;53,00;0,00;0,00;26,00;4,00;4,00;0,00;0,00;0,00;5,05;0,00;0,00;17,67;0,00;0,00;0,00;0,00;0,00;0,00;63,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-23;27,00;0,00;0,00;13,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;4,91;34,36;0,00;0,00;0,00;0,00;4,91;0,00;61,36;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;9,00;0,00;9,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00
2019-06-30;45,00;0,00;9,00;27,00;0,00;4,00;4,00;4,00;0,00;0,00;0,00;12,50;17,50;0,00;4,00;0,00;5,00;0,00;0,00;27,50;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-07;30,00;0,00;9,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;25,00;13,00;4,00;4,00;22,00;0,00;0,00;107,50;0,00;4,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00
2019-07-14;62,00;9,00;4,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,17;41,33;4,00;0,00;9,00;4,00;4,96;0,00;84,32;4,96;9,00;9,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-21;68,00;18,00;5,00;27,00;5,00;5,00;0,00;9,00;0,00;0,00;0,00;5,04;251,85;5,00;0,00;0,00;9,00;0,00;0,00;68,00;5,04;0,00;0,00;0,00;0,00;0,00;5,00;0,00;9,00;0,00;14,00;9,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-28;59,00;0,00;0,00;18,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;12,83;59,00;0,00;5,00;0,00;14,00;0,00;0,00;66,38;4,92;0,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;32,00;9,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00
