Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;25,00;41,00;46,00;25,00;4,00;12,50;0,00;16,67;8,33
2019-01-13;28,00;20,00;16,00;20,00;16,00;8,62;4,31;8,62;4,31
2019-01-20;11,00;11,00;46,00;27,00;8,00;0,00;0,00;4,40;19,80
2019-01-27;26,00;34,00;15,00;26,00;8,00;0,00;10,83;4,33;10,83
2019-02-03;23,00;15,00;19,00;12,00;16,00;4,18;0,00;8,36;209,09
2019-02-10;23,00;8,00;19,00;19,00;8,00;8,36;4,18;8,36;12,55
2019-02-17;28,00;16,00;12,00;28,00;8,00;8,62;4,31;12,92;4,31
2019-02-24;51,00;4,00;24,00;4,00;8,00;4,25;4,25;14,88;8,50
2019-03-03;16,00;8,00;8,00;33,00;4,00;4,00;4,00;4,00;0,00
2019-03-10;28,00;8,00;12,00;12,00;12,00;8,62;0,00;17,23;12,92
2019-03-17;24,00;12,00;16,00;12,00;4,00;8,00;4,00;8,00;0,00
2019-03-24;37,00;8,00;12,00;16,00;29,00;0,00;4,35;8,71;17,41
2019-03-31;20,00;12,00;8,00;28,00;32,00;8,00;0,00;4,00;0,00
2019-04-07;28,00;8,00;4,00;4,00;20,00;0,00;4,31;4,31;8,62
2019-04-14;21,00;0,00;12,00;12,00;0,00;4,20;4,20;4,20;12,60
2019-04-21;39,00;9,00;13,00;30,00;4,00;4,33;8,67;13,00;13,00
2019-04-28;20,00;0,00;4,00;28,00;8,00;0,00;4,00;8,00;12,00
2019-05-05;16,00;12,00;8,00;23,00;8,00;4,57;0,00;4,57;4,57
2019-05-12;16,00;43,00;12,00;35,00;0,00;0,00;4,57;4,57;9,14
2019-05-19;51,00;78,00;19,00;16,00;0,00;4,25;12,75;0,00;4,25
2019-05-26;15,00;30,00;26,00;4,00;8,00;4,29;4,29;4,29;10,71
2019-06-02;24,00;16,00;4,00;20,00;12,00;0,00;4,00;0,00;16,00
2019-06-09;33,00;16,00;12,00;20,00;4,00;0,00;0,00;8,80;13,20
2019-06-16;69,00;24,00;8,00;29,00;8,00;4,18;0,00;0,00;4,18
2019-06-23;29,00;25,00;8,00;12,00;0,00;12,43;4,14;12,43;80,79
2019-06-30;59,00;17,00;33,00;17,00;8,00;0,00;8,43;0,00;8,43
2019-07-07;36,00;4,00;12,00;24,00;12,00;4,24;8,47;0,00;8,47
2019-07-14;41,00;16,00;21,00;21,00;8,00;0,00;0,00;0,00;8,63
2019-07-21;46,00;4,00;4,00;34,00;0,00;8,36;8,36;4,18;4,18
2019-07-28;46,00;8,00;21,00;13,00;0,00;16,73;0,00;16,73;16,73
2019-08-04;100,00;22,00;9,00;30,00;0,00;0,00;0,00;12,77;57,45
2019-08-11;60,00;9,00;9,00;14,00;0,00;15,00;0,00;15,00;19,29
2019-08-18;43,00;13,00;4,00;39,00;13,00;12,90;8,60;4,30;25,80
2019-08-25;32,00;16,00;16,00;40,00;4,00;19,20;4,27;19,20;19,20
2019-09-01;37,00;11,00;11,00;18,00;0,00;4,35;4,35;4,35;19,59
2019-09-08;54,00;4,00;12,00;23,00;8,00;0,00;4,15;8,31;4,15
2019-09-15;26,00;11,00;4,00;23,00;0,00;4,33;0,00;8,67;8,67
2019-09-22;30,00;4,00;11,00;27,00;11,00;0,00;8,57;4,29;10,71
2019-09-29;30,00;4,00;23,00;23,00;0,00;0,00;0,00;8,57;10,71
2019-10-06;35,00;12,00;15,00;15,00;12,00;0,00;4,12;4,12;26,76
2019-10-13;27,00;8,00;11,00;34,00;11,00;0,00;0,00;0,00;22,85
