Semaine;London (GB);Paris (FR);Amsterdam (NL);Barcelona (ES);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);stanbul (TR);Budapest (HU);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;79,00;92,62;32,69;24,52;0,50;21,00;13,00;22,00;28,00;10,00;24,00;10,00;3,00;11,00;9,00;2,00;8,00;4,00;13,00;7,00;12,00;1,00;2,00;1,00;4,00;1,00;0,50;1,00;0,00;3,00;0,50;0,50
2019-01-13;80,00;69,33;26,67;24,00;0,50;26,00;13,00;22,00;23,00;9,00;25,00;9,00;4,00;11,00;9,00;3,00;7,00;2,00;11,00;7,00;8,00;1,00;2,00;1,00;4,00;1,00;1,00;1,00;0,50;3,00;0,00;0,50
2019-01-20;69,00;61,04;23,88;21,23;0,50;22,00;14,00;18,00;24,00;8,00;21,00;9,00;1,00;11,00;8,00;3,00;8,00;2,00;11,00;6,00;9,00;1,00;2,00;1,00;3,00;1,00;1,00;1,00;1,00;2,00;0,50;0,50
2019-01-27;66,00;44,88;23,76;18,48;1,00;25,00;14,00;17,00;23,00;8,00;23,00;10,00;3,00;11,00;7,00;1,00;8,00;3,00;8,00;4,00;8,00;1,00;1,00;0,50;3,00;1,00;1,00;1,00;1,00;4,00;0,00;0,50
2019-02-03;69,00;47,77;18,58;15,92;0,50;19,00;13,00;18,00;23,00;8,00;21,00;10,00;2,00;11,00;10,00;1,00;7,00;1,00;8,00;6,00;9,00;1,00;2,00;0,50;3,00;0,00;0,50;0,50;0,50;5,00;0,00;0,00
2019-02-10;68,00;43,52;21,76;19,04;0,50;24,00;11,00;19,00;23,00;8,00;20,00;9,00;2,00;9,00;10,00;1,00;4,00;3,00;8,00;5,00;8,00;2,00;2,00;0,50;3,00;1,00;1,00;1,00;0,50;4,00;0,50;0,50
2019-02-17;67,00;40,20;24,12;21,44;0,50;22,00;15,00;20,00;25,00;7,00;23,00;11,00;3,00;13,00;9,00;2,00;7,00;4,00;7,00;7,00;9,00;1,00;2,00;0,50;2,00;0,00;1,00;0,00;0,50;6,00;0,00;0,00
2019-02-24;76,00;48,86;21,71;24,43;0,50;23,00;15,00;20,00;20,00;9,00;20,00;8,00;3,00;11,00;8,00;0,50;7,00;4,00;8,00;6,00;12,00;1,00;3,00;0,50;2,00;1,00;0,00;1,00;0,50;5,00;0,00;0,00
2019-03-03;74,00;43,85;24,67;21,93;0,50;21,00;13,00;24,00;23,00;9,00;20,00;10,00;2,00;10,00;7,00;1,00;7,00;4,00;7,00;8,00;13,00;1,00;4,00;0,00;4,00;0,50;0,50;0,50;1,00;6,00;0,00;0,50
2019-03-10;72,00;45,33;29,33;24,00;0,50;21,00;12,00;21,00;22,00;9,00;21,00;10,00;2,00;12,00;11,00;2,00;10,00;2,00;8,00;7,00;9,00;2,00;3,00;0,00;4,00;0,50;0,50;1,00;0,00;6,00;0,00;0,50
