Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;0,00;0,00;15,00;15,00;0,00;15,00;0,00;0,00;15,00;0,00;0,00;39,00;0,00;0,00;0,00;59,00;5,00;0,00;0,00;0,00;17,00
2019-01-13;34,00;0,00;0,00;0,00;0,00;34,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;34,00;15,45;0,00;0,00;0,00;0,00
2019-01-20;0,00;0,00;28,00;14,00;0,00;0,00;0,00;0,00;14,00;13,00;0,00;25,00;0,00;0,00;0,00;21,00;0,00;17,00;50,00;0,00;0,00
2019-01-27;0,00;0,00;0,00;14,00;0,00;43,00;0,00;0,00;0,00;0,00;0,00;38,00;0,00;0,00;0,00;15,00;0,00;0,00;66,00;17,00;0,00
2019-02-03;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;39,00;0,00;0,00;0,00;26,00;11,00;0,00;0,00;0,00;17,00
2019-02-10;0,00;0,00;15,00;0,00;0,00;15,00;0,00;0,00;0,00;13,00;13,00;13,00;0,00;0,00;0,00;16,00;0,00;17,00;34,00;0,00;17,00
2019-02-17;18,00;0,00;18,00;0,00;0,00;0,00;0,00;0,00;18,00;0,00;0,00;37,38;0,00;0,00;0,00;66,00;0,00;0,00;53,00;0,00;18,00
2019-02-24;17,00;0,00;0,00;17,00;0,00;17,00;0,00;0,00;0,00;0,00;17,00;17,00;0,00;17,00;0,00;91,80;0,00;0,00;17,00;0,00;0,00
2019-03-03;52,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;17,33;34,67;0,00;0,00;0,00;35,75;0,00;0,00;35,00;0,00;17,00
2019-03-10;0,00;0,00;28,00;0,00;0,00;43,00;0,00;0,00;0,00;0,00;13,00;51,00;0,00;0,00;0,00;26,00;0,00;0,00;50,00;0,00;0,00
2019-03-17;17,00;0,00;0,00;0,00;0,00;17,00;0,00;0,00;0,00;0,00;17,00;0,00;0,00;0,00;0,00;37,40;0,00;0,00;0,00;0,00;0,00
2019-03-24;0,00;0,00;0,00;0,00;0,00;45,00;0,00;0,00;0,00;0,00;40,00;27,00;0,00;0,00;0,00;27,00;0,00;0,00;35,00;0,00;0,00
2019-03-31;35,00;0,00;18,10;35,00;0,00;0,00;0,00;17,50;0,00;0,00;35,00;35,00;0,00;0,00;0,00;35,00;0,00;35,00;0,00;0,00;0,00
2019-04-07;0,00;0,00;15,00;0,00;0,00;45,00;0,00;0,00;0,00;0,00;40,00;13,00;0,00;0,00;5,00;27,00;0,00;17,00;17,00;0,00;0,00
2019-04-14;0,00;0,00;30,00;0,00;0,00;15,00;0,00;0,00;15,00;0,00;14,00;68,00;0,00;0,00;0,00;28,00;0,00;0,00;0,00;0,00;18,00
2019-04-21;36,00;0,00;0,00;0,00;18,00;0,00;0,00;0,00;0,00;18,67;72,00;36,00;0,00;0,00;0,00;199,64;19,64;18,00;36,00;18,00;0,00
2019-04-28;17,00;17,00;17,00;0,00;0,00;17,00;0,00;0,00;35,21;0,00;0,00;17,00;0,00;0,00;0,00;71,40;0,00;0,00;34,00;17,00;17,00
2019-05-05;0,00;0,00;29,00;14,00;0,00;43,00;0,00;0,00;14,00;26,00;26,00;13,00;13,00;0,00;0,00;47,00;0,00;0,00;17,00;0,00;17,00
2019-05-12;17,00;0,00;0,00;0,00;0,00;32,87;0,00;0,00;0,00;0,00;34,00;68,00;0,00;0,00;0,00;125,80;17,00;0,00;0,00;0,00;34,00
2019-05-19;0,00;0,00;28,00;14,00;0,00;0,00;0,00;0,00;29,00;0,00;25,00;51,00;0,00;5,00;0,00;31,00;5,00;17,00;0,00;0,00;17,00
2019-05-26;17,00;0,00;17,00;0,00;0,00;53,43;0,00;0,00;18,21;17,00;51,00;51,00;0,00;0,00;0,00;340,00;17,00;34,00;17,00;0,00;0,00
2019-06-02;32,00;0,00;32,00;0,00;0,00;32,00;0,00;0,00;32,00;0,00;32,00;32,00;16,00;0,00;0,00;204,80;0,00;0,00;47,00;0,00;16,00
2019-06-09;0,00;0,00;14,00;28,00;0,00;14,00;0,00;0,00;0,00;0,00;12,00;25,00;0,00;0,00;0,00;51,00;0,00;49,00;16,00;0,00;0,00
