Semaine;Nice (FR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;25,00;155,00;80,00;0,00;40,00;189,29;10,71;100,00;103,57;111,67;38,33;73,33;56,67;32,50;8,75;3,75;7,50;0,00;3,57;3,57;3,57;4,00;0,00;21,00;0,00;0,00;8,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;38,00;204,25;52,25;0,00;47,50;212,80;3,80;76,00;117,80;114,00;24,78;51,22;76,00;34,07;13,10;7,86;7,86;3,62;16,29;3,62;9,05;12,00;0,00;17,00;8,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;28,00;228,67;51,33;4,67;51,33;212,00;0,00;56,00;96,00;85,65;8,24;60,94;105,41;48,36;11,45;20,36;7,64;0,00;19,25;12,25;3,50;36,00;4,00;16,00;8,00;0,00;8,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;28,00;191,33;135,33;9,33;42,00;168,00;8,00;92,00;76,00;85,65;44,47;60,94;65,88;52,18;11,45;3,82;3,82;0,00;3,50;8,75;8,75;12,00;4,00;12,00;0,00;0,00;8,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00
2019-02-03;8,00;180,00;92,00;4,00;28,00;188,00;4,00;56,00;56,00;68,80;32,00;57,60;73,60;42,67;17,33;17,33;0,00;8,00;0,00;0,00;8,00;8,00;4,00;16,00;4,00;0,00;29,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;21,00;199,50;78,75;5,25;36,75;119,00;0,00;52,50;77,00;92,08;37,15;45,23;79,15;21,00;21,00;3,94;3,94;0,00;12,25;15,75;17,50;12,00;4,00;4,00;0,00;0,00;21,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;17,00;144,50;63,75;0,00;38,25;166,60;0,00;20,40;61,20;74,18;24,73;61,82;74,18;31,38;9,15;13,08;9,15;8,50;8,50;8,50;0,00;9,00;4,00;22,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;38,00;171,00;52,25;4,75;28,50;155,80;0,00;30,40;49,40;95,83;16,52;47,91;104,09;41,80;12,67;12,67;3,80;3,45;0,00;0,00;0,00;0,00;4,00;21,00;0,00;0,00;8,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;38,00;171,00;90,25;0,00;38,00;159,60;0,00;53,20;60,80;120,61;47,91;56,17;85,91;51,10;20,97;13,10;0,00;3,45;12,09;3,45;8,64;8,00;4,00;13,00;8,00;0,00;8,00;4,00;0,00;13,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00
2019-03-10;45,00;210,00;80,00;0,00;40,00;180,00;7,50;48,75;56,25;53,04;16,07;56,25;56,25;24,43;0,00;3,86;3,86;3,46;0,00;15,58;20,77;29,00;4,00;16,00;0,00;0,00;8,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;17,00;232,33;45,33;0,00;45,33;195,50;4,25;59,50;72,25;44,20;44,20;56,10;100,30;30,08;7,85;20,92;7,85;8,50;3,40;3,40;15,30;12,00;4,00;8,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;26,00;249,60;114,40;0,00;31,20;133,71;0,00;70,57;59,43;47,13;21,13;42,25;86,13;29,90;13,00;9,10;0,00;3,47;0,00;17,33;0,00;26,00;0,00;17,00;0,00;9,00;9,00;4,00;0,00;9,00;4,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;42,00;242,67;93,33;4,67;9,33;194,73;42,00;26,73;64,91;54,92;50,08;66,23;75,92;54,73;12,73;0,00;3,82;12,25;8,75;3,50;8,75;17,00;0,00;13,00;0,00;0,00;13,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;30,00;305,00;65,00;0,00;50,00;217,50;15,00;26,25;86,25;83,33;5,00;70,00;40,00;43,04;13,04;3,91;0,00;3,53;0,00;3,53;12,35;17,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;22,00;385,00;104,50;0,00;49,50;146,67;0,00;51,33;51,33;96,46;45,69;59,23;86,31;84,12;12,94;12,94;9,06;9,17;9,17;3,67;22,00;26,00;4,00;9,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;44,00;317,78;73,33;9,78;19,56;227,33;7,33;55,00;157,67;132,00;26,07;39,11;57,04;44,00;9,06;22,00;3,88;8,80;3,52;3,52;21,12;22,00;4,00;22,00;9,00;0,00;0,00;0,00;4,00;9,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00
2019-04-28;45,00;380,00;90,00;5,00;25,00;318,75;0,00;45,00;146,25;126,96;32,14;61,07;85,18;48,86;7,71;3,86;12,86;3,46;12,12;20,77;15,58;21,00;8,00;25,00;12,00;4,00;21,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;29,00;280,33;72,50;0,00;33,83;174,00;10,88;61,63;163,13;72,50;56,39;29,00;69,28;105,45;34,27;13,18;3,95;34,44;16,31;3,63;12,69;12,00;12,00;12,00;0,00;0,00;4,00;0,00;4,00;4,00;8,00;0,00;0,00;8,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;58,00;285,17;82,17;4,83;19,33;266,80;7,73;50,27;143,07;103,11;45,11;61,22;49,94;100,53;20,62;12,89;3,87;15,82;3,52;8,79;15,82;8,00;0,00;21,00;12,00;0,00;8,00;0,00;0,00;12,00;0,00;4,00;0,00;8,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;57,00;356,25;52,25;9,50;14,25;364,80;3,80;45,60;110,20;118,89;45,60;24,43;73,29;41,45;20,73;11,66;0,00;27,64;8,64;12,09;8,64;12,00;12,00;29,00;4,00;0,00;12,00;8,00;0,00;0,00;4,00;4,00;0,00;4,00;4,00;8,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00
2019-05-26;46,00;281,11;61,33;10,22;35,78;276,00;7,67;88,17;111,17;108,43;32,86;41,07;87,07;88,06;42,06;13,14;7,89;21,23;3,54;3,54;8,85;8,00;0,00;21,00;0,00;0,00;21,00;4,00;4,00;4,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-02;69,00;290,79;88,71;9,86;9,86;233,83;0,00;53,67;130,33;88,71;23,00;57,50;77,21;69,00;38,33;3,83;11,50;12,08;15,53;3,45;18,98;11,00;11,00;15,00;11,00;4,00;4,00;0,00;4,00;4,00;4,00;4,00;0,00;4,00;4,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00
2019-06-09;56,00;330,91;76,36;5,09;40,73;227,73;7,47;67,20;112,00;72,47;47,76;77,41;72,47;69,02;32,56;11,72;11,72;3,50;19,25;8,75;40,25;16,00;12,00;8,00;0,00;0,00;28,00;4,00;0,00;0,00;0,00;4,00;0,00;20,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00
2019-06-16;49,00;264,60;53,90;9,80;34,30;275,15;0,00;56,54;116,85;130,67;52,27;44,10;84,93;49,00;20,63;11,61;7,74;15,75;12,25;3,50;28,00;16,00;16,00;8,00;12,00;4,00;28,00;0,00;8,00;12,00;0,00;4,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-23;70,00;300,00;80,00;0,00;30,00;260,56;0,00;62,22;112,78;86,28;40,70;56,98;32,56;86,85;41,48;16,85;16,85;12,25;8,75;33,25;3,50;33,00;16,00;12,00;4,00;4,00;0,00;0,00;4,00;12,00;4,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;4,00;0,00;4,00;0,00
