Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;0,00;29,00;29,00;57,00;0,00;0,00;0,00;22,00;0,00
2019-01-13;0,00;42,00;42,00;28,00;0,00;11,00;0,00;33,00;0,00
2019-01-20;27,00;41,00;68,00;14,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;41,00;27,00;0,00;27,00;14,00;0,00;0,00;26,91;0,00
2019-02-03;14,00;28,00;14,00;14,00;0,00;0,00;0,00;14,00;0,00
2019-02-10;14,00;28,00;14,00;42,00;0,00;0,00;14,00;14,00;14,00
2019-02-17;15,00;44,00;0,00;59,00;15,00;0,00;15,00;15,00;15,00
2019-02-24;29,00;29,00;43,00;86,00;0,00;0,00;14,50;14,50;0,00
2019-03-03;14,00;43,00;57,00;43,00;0,00;0,00;0,00;0,00;14,00
2019-03-10;41,00;69,00;14,00;28,00;14,00;0,00;14,09;41,00;14,09
2019-03-17;14,00;28,00;14,00;28,00;0,00;14,00;0,00;0,00;0,00
2019-03-24;14,00;29,00;29,00;43,00;0,00;0,00;0,00;0,00;14,00
2019-03-31;14,00;14,00;57,00;29,00;14,00;0,00;0,00;28,00;14,00
2019-04-07;43,00;14,00;29,00;57,00;0,00;0,00;0,00;27,82;13,91
2019-04-14;15,00;44,00;0,00;30,00;0,00;15,00;0,00;28,75;28,75
2019-04-21;15,00;15,00;15,00;30,00;0,00;0,00;0,00;15,00;0,00
2019-04-28;42,00;42,00;14,00;56,00;14,00;14,00;0,00;42,00;14,00
2019-05-05;14,00;42,00;0,00;56,00;0,00;0,00;0,00;14,00;0,00
2019-05-12;14,00;0,00;0,00;14,00;0,00;0,00;0,00;56,00;14,00
2019-05-19;28,00;41,00;28,00;28,00;0,00;14,00;0,00;28,00;14,00
2019-05-26;28,00;28,00;0,00;14,00;0,00;0,00;14,00;56,00;0,00
2019-06-02;26,00;26,00;0,00;0,00;0,00;0,00;0,00;26,00;13,00
