Semaine;Nice (FR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;40,00;35,00;10,00;5,00;5,00;24,00;0,00;1,00;21,00;196,00;16,00;8,00;20,00;10,00;97,14;8,57;0,00;7,00;3,00;4,00;0,00;81,74;6,96;15,65;5,22;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;58,00;51,31;6,69;4,46;6,69;20,00;3,00;3,00;29,00;223,71;8,29;8,29;16,57;10,15;76,85;8,70;0,00;10,00;3,00;6,00;0,00;94,91;5,27;15,82;3,52;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;44,00;38,72;8,80;3,52;7,04;34,00;3,00;3,00;22,00;255,20;17,60;4,40;26,40;12,77;75,23;9,94;1,42;6,00;0,00;4,00;0,00;82,72;7,04;22,88;5,28;0,00;1,00;0,00;0,00;6,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;59,00;54,79;4,21;4,21;0,00;23,00;1,00;3,00;22,00;206,50;25,29;8,43;29,50;12,95;48,93;5,76;0,00;4,00;3,00;6,00;1,00;79,82;3,47;6,94;6,94;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;58,00;81,63;6,44;4,30;4,30;24,00;3,00;4,00;18,00;186,43;12,43;4,14;20,71;13,05;75,40;11,60;0,00;4,00;4,00;3,00;0,00;87,00;5,12;22,18;5,12;0,00;0,00;0,00;0,00;16,00;0,00;1,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;54,00;46,80;3,60;5,40;5,40;11,00;1,00;0,00;13,00;203,54;24,92;4,15;29,08;8,53;62,53;2,84;0,00;9,00;3,00;9,00;0,00;80,13;5,23;17,42;3,48;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;54,00;58,70;9,39;16,43;0,00;19,00;3,00;0,00;16,00;186,92;16,62;12,46;24,92;13,14;64,22;11,68;1,46;3,00;1,00;9,00;1,00;73,16;5,23;22,65;3,48;0,00;0,00;0,00;1,00;16,00;0,00;1,00;1,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;37,00;51,80;11,10;1,85;3,70;18,00;0,00;3,00;14,00;246,67;16,44;12,33;12,33;18,50;54,08;11,38;0,00;3,00;0,00;4,00;0,00;86,33;3,52;21,14;7,05;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;44,00;50,77;6,77;8,46;3,38;23,00;0,00;1,00;22,00;224,40;17,60;8,80;13,20;4,40;54,27;7,33;1,47;9,00;1,00;4,00;0,00;70,40;8,80;12,32;7,04;0,00;1,00;0,00;0,00;9,00;0,00;0,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;54,00;90,58;5,23;3,48;3,48;29,00;0,00;1,00;23,00;207,69;20,77;4,15;20,77;11,37;54,00;7,11;1,42;0,00;0,00;13,00;1,00;116,71;5,23;20,90;1,74;1,00;0,00;0,00;0,00;3,00;1,00;0,00;0,00;3,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;58,00;70,43;4,14;2,07;6,21;25,00;3,00;1,00;16,00;244,43;12,43;12,43;29,00;8,70;65,25;5,80;1,45;1,00;0,00;7,00;3,00;91,39;10,55;10,55;5,27;0,00;1,00;0,00;0,00;3,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;63,00;95,87;16,43;2,74;10,96;29,00;3,00;0,00;28,00;235,20;21,00;8,40;21,00;17,18;61,57;4,30;1,43;4,00;0,00;1,00;0,00;75,25;5,25;29,75;7,00;0,00;0,00;0,00;1,00;6,00;0,00;0,00;0,00;4,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;59,00;62,81;0,00;5,71;1,90;23,00;3,00;3,00;19,00;273,93;21,07;8,43;25,29;23,02;51,80;10,07;2,88;7,00;1,00;4,00;1,00;111,06;8,68;13,88;5,21;0,00;1,00;0,00;0,00;10,00;1,00;1,00;0,00;4,00;0,00;3,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;43,00;74,42;3,31;13,23;6,62;27,00;0,00;0,00;19,00;240,80;17,20;8,60;25,80;4,30;55,90;10,03;1,43;3,00;0,00;0,00;1,00;108,36;8,60;15,48;10,32;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
