Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;48,00;5,00;5,00;0,00;0,00;0,00;11,00;11,00;0,00;0,00;6,00;48,00;48,00;27,00;11,00;16,00;0,00;5,00;5,00;43,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;11,00;0,00;16,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;47,00;5,00;10,00;5,00;5,00;5,00;0,00;16,00;0,00;4,55;0,00;25,77;68,23;0,00;0,00;10,00;0,00;10,00;5,00;63,00;0,00;0,00;21,00;0,00;0,00;5,00;0,00;0,00;0,00;10,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;16,00;0,00;5,00;0,00;0,00;0,00
2019-01-20;42,00;0,00;0,00;5,00;0,00;5,00;0,00;11,00;0,00;10,50;0,00;21,00;78,00;0,00;0,00;21,00;11,00;0,00;0,00;37,00;0,00;0,00;16,00;5,00;0,00;0,00;0,00;5,00;5,00;11,00;0,00;21,00;0,00;11,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;47,00;0,00;5,00;5,00;0,00;0,00;0,00;10,00;5,00;4,55;0,00;25,77;57,61;0,00;0,00;21,00;0,00;0,00;0,00;26,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;10,00;10,00;0,00;11,00;0,00;10,00;5,00;0,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00
2019-02-03;67,00;0,00;0,00;5,00;0,00;5,00;5,00;10,00;0,00;0,00;0,00;21,32;82,23;10,00;0,00;10,00;0,00;5,00;0,00;36,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;5,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;52,00;0,00;15,00;5,00;0,00;10,00;5,00;5,00;0,00;0,00;4,59;10,71;104,00;0,00;0,00;5,00;0,00;0,00;0,00;36,00;5,00;0,00;15,00;0,00;0,00;0,00;5,00;0,00;0,00;10,00;5,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;52,00;0,00;0,00;0,00;11,00;0,00;11,00;10,00;0,00;10,40;4,46;20,80;83,20;0,00;0,00;21,00;5,00;5,00;11,00;69,00;0,00;0,00;11,00;0,00;0,00;0,00;5,00;0,00;5,00;21,00;21,00;0,00;0,00;21,00;0,00;0,00;0,00;10,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;62,00;15,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,12;62,00;0,00;0,00;5,00;0,00;0,00;5,00;57,00;0,00;0,00;21,00;5,00;0,00;0,00;0,00;0,00;5,00;5,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;42,00;0,00;16,00;0,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;72,00;5,00;0,00;5,00;0,00;0,00;0,00;42,00;0,00;0,00;21,00;5,00;0,00;5,00;0,00;0,00;10,00;5,00;5,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;53,00;0,00;5,00;5,00;11,00;16,00;0,00;5,00;0,00;0,00;0,00;10,60;68,14;0,00;0,00;21,00;0,00;5,00;0,00;32,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;11,00;5,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
