Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;78,00;12,00;24,00;7,00;1,00;26,00;3,00;24,00;7,00
2019-01-13;100,00;13,00;19,00;6,00;2,00;25,00;4,00;27,00;7,00
2019-01-20;86,00;15,00;17,00;6,00;2,00;19,00;1,00;22,00;5,00
2019-01-27;92,00;14,00;13,00;7,00;2,00;11,00;1,00;22,00;4,00
2019-02-03;72,00;10,00;16,00;8,00;2,00;14,00;1,00;22,00;3,00
2019-02-10;75,00;9,00;19,00;10,00;2,00;16,00;1,00;23,00;10,00
2019-02-17;80,00;19,00;13,00;8,00;1,00;15,00;2,00;25,00;4,00
2019-02-24;66,00;20,00;12,00;9,00;0,00;22,00;2,00;26,00;4,00
2019-03-03;82,00;15,00;14,00;2,00;2,00;12,00;3,00;25,00;4,00
2019-03-10;67,00;11,00;11,00;8,00;0,00;16,00;1,00;21,00;7,00
2019-03-17;57,00;10,00;13,00;6,00;2,00;25,00;2,00;21,00;4,00
2019-03-24;59,00;7,00;12,00;11,00;1,00;18,00;1,00;27,00;7,00
2019-03-31;62,00;8,00;8,00;11,00;2,00;17,00;1,00;20,00;9,00
2019-04-07;61,00;8,00;10,00;3,00;0,00;19,00;1,00;25,00;7,00
2019-04-14;69,00;7,00;10,00;9,00;2,00;13,00;0,00;20,00;4,00
2019-04-21;73,00;8,00;9,00;9,00;2,00;11,00;2,00;21,00;4,00
2019-04-28;82,00;8,00;13,00;8,00;2,00;13,00;0,00;20,00;5,00
2019-05-05;54,00;9,00;4,00;11,00;1,00;19,00;2,00;13,00;6,00
2019-05-12;69,00;9,00;5,00;8,00;0,00;9,00;1,00;16,00;7,00
2019-05-19;80,00;9,00;11,00;10,00;0,00;12,00;6,00;20,00;3,00
2019-05-26;74,00;10,00;7,00;6,00;2,00;17,00;1,00;23,00;4,00
2019-06-02;67,00;14,00;11,00;8,00;2,00;7,00;2,00;17,00;5,00
2019-06-09;66,00;4,00;14,00;7,00;3,00;17,00;2,00;24,00;5,00
2019-06-16;70,00;7,00;30,00;14,00;2,00;17,00;2,00;25,00;2,00
2019-06-23;59,00;10,00;74,00;7,00;2,00;11,00;1,00;32,00;3,00
2019-06-30;69,00;10,00;9,00;12,00;2,00;8,00;2,00;22,00;7,00
2019-07-07;48,00;10,00;6,00;8,00;2,00;17,00;3,00;20,00;5,00
2019-07-14;66,00;13,00;9,00;22,00;0,00;12,00;0,00;24,00;9,00
2019-07-21;82,00;9,00;4,00;7,00;2,00;15,00;2,00;23,00;8,00
2019-07-28;71,00;6,00;8,00;48,00;2,00;15,00;2,00;22,00;4,00
2019-08-04;60,00;8,00;5,00;12,00;1,00;14,00;1,00;19,00;4,00
2019-08-11;75,00;11,00;7,00;17,00;2,00;12,00;3,00;22,00;4,00
2019-08-18;66,00;10,00;8,00;9,00;3,00;13,00;2,00;28,00;5,00
2019-08-25;77,00;10,00;10,00;10,00;3,00;15,00;1,00;19,00;8,00
2019-09-01;56,00;8,00;8,00;7,00;1,00;15,00;5,00;22,00;7,00
2019-09-08;51,00;11,00;9,00;9,00;1,00;12,00;1,00;18,00;4,00
2019-09-15;65,00;11,00;9,00;11,00;1,00;11,00;0,00;20,00;8,00
2019-09-22;49,00;12,00;6,00;11,00;1,00;10,00;2,00;21,00;6,00
2019-09-29;61,00;8,00;11,00;7,00;3,00;15,00;2,00;13,00;7,00
2019-10-06;65,00;14,00;16,00;5,00;1,00;12,00;3,00;17,00;4,00
2019-10-13;47,00;12,00;11,00;5,00;3,00;8,00;1,00;18,00;5,00
2019-10-20;69,00;11,00;11,00;13,00;2,00;11,00;4,00;13,00;8,00
2019-10-27;63,00;11,00;9,00;16,00;2,00;14,00;1,00;19,00;7,00
2019-11-03;61,00;17,00;10,00;13,00;3,00;8,00;0,00;16,00;9,00
2019-11-10;68,00;11,00;15,00;13,00;2,00;17,00;4,00;16,00;11,00
2019-11-17;52,00;12,00;12,00;6,00;1,00;16,00;1,00;13,00;6,00
2019-11-24;50,00;17,00;15,00;9,00;0,00;21,00;4,00;16,00;11,00
2019-12-01;51,00;11,00;12,00;10,00;2,00;16,00;3,00;16,00;5,00
2019-12-08;54,00;18,00;16,00;8,00;1,00;17,00;2,00;19,00;9,00
2019-12-15;67,00;14,00;9,00;10,00;3,00;18,00;6,00;21,00;9,00
2019-12-22;68,00;15,00;14,00;14,00;1,00;28,00;2,00;19,00;7,00
2019-12-29;73,00;10,00;18,00;16,00;1,00;43,00;1,00;28,00;14,00
2020-01-05;70,00;23,00;20,00;6,00;1,00;33,00;7,00;32,00;8,00
2020-01-12;75,00;18,00;23,00;11,00;2,00;23,00;5,00;30,00;8,00
2020-01-19;72,00;17,00;16,00;11,00;3,00;19,00;2,00;33,00;5,00
2020-01-26;67,00;11,00;13,00;6,00;2,00;13,00;3,00;26,00;5,00
