Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;41,00;724,33;902,00;177,67;492,00;505,67;0,00;280,17;123,00;132,46;85,15;135,62;138,77;112,75;348,50;61,50;20,50;225,50;315,70;8,20;90,20;9,11;77,44;28,85;50,11;16,97;42,41;32,52;18,38;10,00;3,00;3,00;3,00;24,00;3,00;4,00
2019-01-13;44,00;594,00;726,00;143,00;396,00;542,67;7,33;322,67;88,00;160,29;88,00;119,43;154,00;99,00;319,00;55,00;11,00;188,00;324,00;16,00;88,00;9,10;71,31;40,97;28,83;17,03;26,97;22,71;12,77;1,00;4,00;0,00;1,00;19,00;5,00;1,00
2019-01-20;42,00;714,00;896,00;182,00;434,00;567,00;3,50;336,00;98,00;138,00;90,00;114,00;162,00;115,50;336,00;52,50;10,50;205,80;327,60;12,60;84,00;18,67;63,78;35,78;34,22;12,60;35,00;28,00;12,60;6,00;0,00;6,00;6,00;14,00;3,00;3,00
2019-01-27;47,00;552,25;705,00;141,00;423,00;449,86;3,36;282,00;73,86;137,87;65,80;115,93;144,13;84,60;291,40;47,00;9,40;213,64;307,64;12,82;81,18;20,37;64,23;34,47;45,43;21,36;38,45;28,48;14,24;8,00;4,00;7,00;4,00;18,00;0,00;1,00
2019-02-03;46,00;575,00;678,50;126,50;345,00;446,86;6,57;210,29;85,43;147,20;95,07;98,13;150,27;82,80;294,40;55,20;18,40;179,82;292,73;16,73;71,09;13,80;87,40;35,27;32,20;20,91;25,09;25,09;13,94;3,00;4,00;4,00;8,00;16,00;3,00;0,00
2019-02-10;50,00;650,00;787,50;187,50;425,00;492,86;3,57;300,00;100,00;135,29;64,71;111,76;147,06;100,00;340,00;70,00;10,00;200,00;291,67;16,67;83,33;18,18;65,15;37,88;45,45;15,28;41,67;25,00;16,67;4,00;3,00;1,00;7,00;19,00;4,00;1,00
2019-02-17;39,00;728,00;806,00;143,00;455,00;429,00;0,00;286,00;97,50;129,00;87,00;141,00;141,00;97,50;312,00;58,50;19,50;221,00;351,00;13,00;82,33;24,96;70,20;42,12;43,68;17,33;23,11;26,00;7,22;3,00;4,00;1,00;7,00;12,00;1,00;3,00
2019-02-24;34,00;634,67;657,33;147,33;419,33;544,00;3,40;292,40;95,20;160,73;77,27;114,36;139,09;124,67;385,33;90,67;11,33;229,50;327,25;17,00;80,75;17,00;61,82;38,64;27,82;11,33;32,58;25,50;19,83;7,00;0,00;1,00;5,00;13,00;1,00;5,00
2019-03-03;44,00;704,00;737,00;143,00;407,00;623,33;3,67;366,67;95,33;149,60;76,27;111,47;164,27;143,00;374,00;66,00;11,00;220,00;316,00;12,00;80,00;19,72;63,72;56,14;47,03;18,45;39,74;21,29;21,29;8,00;4,00;8,00;14,00;18,00;1,00;0,00
2019-03-10;53,00;795,00;874,50;172,25;490,25;523,38;6,63;304,75;99,38;149,65;96,65;99,76;162,12;116,60;402,80;63,60;10,60;203,85;375,08;16,31;69,31;23,38;77,94;38,97;59,24;15,76;32,95;30,08;18,62;7,00;3,00;1,00;3,00;14,00;1,00;1,00
2019-03-17;47,00;693,25;740,25;164,50;423,00;537,14;6,71;288,71;80,57;134,73;106,53;128,47;153,53;103,40;319,60;47,00;9,40;226,45;397,36;12,82;85,45;10,97;90,87;39,17;45,43;21,36;39,88;24,21;25,64;6,00;3,00;4,00;11,00;30,00;0,00;3,00
2019-03-24;38,00;772,67;772,67;177,33;494,00;519,33;3,17;310,33;95,00;125,69;105,23;122,77;172,46;123,50;351,50;66,50;9,50;240,67;358,89;12,67;80,22;19,76;88,16;54,72;38,00;4,22;23,93;15,48;18,30;3,00;4,00;1,00;7,00;14,00;3,00;4,00
2019-03-31;52,00;780,00;832,00;130,00;533,00;579,43;3,71;356,57;118,86;162,12;82,59;125,41;198,82;145,60;374,40;83,20;20,80;196,00;336,00;20,00;108,00;10,71;65,76;52,00;38,24;14,05;30,92;26,70;19,68;4,00;6,00;1,00;1,00;21,00;0,00;1,00
2019-04-07;44,00;616,00;715,00;121,00;429,00;528,00;7,33;330,00;139,33;160,29;106,86;135,14;172,86;121,00;396,00;66,00;11,00;216,00;292,00;12,00;88,00;19,72;59,17;62,21;50,07;21,29;31,23;19,87;29,81;10,00;7,00;0,00;6,00;23,00;3,00;6,00
2019-04-14;36,00;1200,00;816,00;180,00;444,00;554,40;3,60;295,20;108,00;144,00;75,00;123,00;168,00;117,00;333,00;54,00;18,00;280,00;280,00;24,00;96,00;21,00;84,00;42,00;49,50;22,15;37,38;31,85;18,00;12,00;1,00;4,00;7,00;22,00;1,00;4,00
2019-04-21;54,00;783,00;877,50;189,00;526,50;506,25;6,75;276,75;74,25;144,00;96,00;117,00;186,00;129,60;378,00;75,60;10,80;249,23;294,92;12,46;74,77;24,69;72,51;60,17;43,20;22,74;28,42;38,37;8,53;4,00;4,00;4,00;4,00;15,00;1,00;4,00
2019-04-28;40,00;773,33;920,00;186,67;520,00;453,33;6,67;333,33;100,00;178,46;104,62;126,15;190,77;120,00;350,00;70,00;10,00;240,00;304,00;20,00;68,00;26,15;89,23;41,54;46,15;15,17;33,10;26,21;17,93;8,00;8,00;7,00;7,00;17,00;4,00;1,00
