Semaine;Nice (FR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;16,00;96,00;0,00;0,00;0,00;28,00;16,00;28,00;25,00;35,69;12,31;9,85;9,85;3,00;12,00;6,00;12,00;0,00;6,00;6,00;0,00;6,00;6,00;3,00;3,00;0,00;0,00;0,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;22,00;62,33;0,00;5,50;18,33;32,00;16,00;6,00;10,00;53,26;5,79;5,79;24,32;6,00;10,00;3,00;3,00;6,00;0,00;10,00;3,00;3,00;3,00;6,00;6,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00
2019-01-20;41,00;100,64;3,73;0,00;5,59;16,00;13,00;3,00;19,00;33,97;12,89;15,23;24,60;6,00;3,00;9,00;0,00;3,00;3,00;6,00;0,00;9,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;19,00;93,10;13,30;0,00;9,50;34,00;15,00;6,00;18,00;30,88;3,56;3,56;17,81;9,00;28,00;6,00;3,00;0,00;6,00;0,00;3,00;6,00;0,00;6,00;3,00;0,00;0,00;3,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00
2019-02-03;16,00;96,00;12,44;3,56;8,89;19,00;13,00;6,00;29,00;50,29;9,14;12,57;16,00;6,00;19,00;6,00;0,00;0,00;3,00;10,00;3,00;3,00;0,00;3,00;6,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;3,00;0,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;36,00;106,11;0,00;0,00;3,79;16,00;16,00;7,00;20,00;34,84;9,29;12,77;6,97;7,00;13,00;16,00;7,00;0,00;7,00;3,00;0,00;3,00;3,00;0,00;7,00;0,00;0,00;3,00;0,00;16,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;23,00;153,33;3,83;3,83;5,75;23,00;13,00;0,00;20,00;70,21;0,00;16,95;7,26;7,00;29,00;0,00;0,00;7,00;7,00;7,00;3,00;16,00;3,00;13,00;7,00;0,00;3,00;0,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;36,00;134,53;5,68;3,79;0,00;33,00;13,00;10,00;26,00;30,00;16,80;16,80;9,60;3,00;10,00;16,00;0,00;0,00;10,00;3,00;0,00;23,00;0,00;16,00;7,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;19,00;104,50;0,00;0,00;15,20;25,00;6,00;12,00;40,00;36,81;5,94;11,88;9,50;12,00;28,00;3,00;3,00;0,00;6,00;9,00;3,00;6,00;9,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;29,00;139,20;9,67;3,87;15,47;16,00;22,00;16,00;26,00;61,63;6,04;3,63;15,71;13,00;16,00;19,00;3,00;3,00;0,00;6,00;6,00;10,00;3,00;3,00;10,00;0,00;0,00;3,00;0,00;6,00;3,00;0,00;3,00;3,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
