Semaine;Nice (FR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;24,00;390,00;12,00;3,00;36,00;46,29;17,14;32,57;89,14;93,71;8,00;20,57;25,14;18,78;13,57;1,04;3,13;2,00;3,00;2,00;0,00;9,00;8,00;6,00;2,00;0,00;0,00;1,00;0,00;0,00;0,00;2,00;0,00;1,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;29,00;342,20;5,80;2,90;23,20;37,53;17,06;11,94;90,41;61,35;6,69;30,12;40,15;26,93;9,32;3,11;0,00;2,00;2,00;6,00;0,00;8,00;2,00;12,00;2,00;0,00;1,00;0,00;0,00;2,00;3,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-01-20;28,00;336,00;11,20;5,60;22,40;36,75;17,50;14,00;73,50;75,04;13,44;28,00;35,84;22,81;11,41;4,15;3,11;7,00;3,00;5,00;4,00;4,00;0,00;9,00;1,00;1,00;0,00;1,00;0,00;1,00;1,00;1,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00
2019-01-27;25,00;315,00;5,00;5,00;25,00;50,00;17,86;25,00;66,07;60,23;10,23;25,00;23,86;29,17;16,67;2,08;4,17;3,00;1,00;3,00;3,00;11,00;3,00;6,00;4,00;1,00;1,00;0,00;0,00;1,00;1,00;3,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00
2019-02-03;23,00;327,75;5,75;5,75;34,50;37,15;23,00;24,77;61,92;57,50;11,50;28,75;20,70;16,73;19,86;5,23;0,00;3,00;2,00;3,00;0,00;13,00;2,00;10,00;5,00;0,00;1,00;0,00;1,00;1,00;1,00;1,00;1,00;3,00;0,00;1,00;2,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;25,00;285,00;2,50;5,00;20,00;32,14;21,43;17,86;73,21;45,45;5,68;25,00;35,23;14,58;17,71;7,29;2,08;1,00;1,00;6,00;2,00;7,00;2,00;12,00;3,00;0,00;0,00;0,00;1,00;2,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00
2019-02-17;23,00;287,50;5,75;5,75;17,25;37,79;14,79;18,07;54,21;43,81;9,86;26,29;23,00;28,00;15,00;5,00;1,00;3,00;1,00;3,00;0,00;14,00;3,00;11,00;5,00;0,00;0,00;1,00;0,00;2,00;0,00;1,00;0,00;3,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-02-24;15,00;310,00;10,00;2,50;25,00;48,33;13,33;10,00;60,00;54,64;7,50;22,50;25,71;24,00;15,00;4,00;1,00;5,00;3,00;2,00;0,00;6,00;4,00;12,00;5,00;0,00;1,00;0,00;1,00;5,00;4,00;1,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00
2019-03-03;21,00;299,25;5,25;5,25;15,75;50,75;19,25;19,25;68,25;48,63;6,63;15,47;26,53;21,00;13,65;2,10;1,05;5,00;1,00;6,00;2,00;9,00;5,00;20,00;3,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;31,00;294,50;5,17;2,58;20,67;36,17;18,94;10,33;82,67;49,82;3,32;34,32;33,21;25,83;16,53;4,13;0,00;3,00;3,00;4,00;1,00;16,00;6,00;13,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00
2019-03-17;31,00;320,33;5,17;0,00;20,67;34,44;8,61;18,94;62,00;48,22;10,33;21,81;31,00;14,47;16,53;6,20;1,03;1,00;3,00;3,00;0,00;10,00;2,00;7,00;1,00;0,00;2,00;0,00;1,00;1,00;4,00;1,00;0,00;3,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;36,00;318,86;5,14;0,00;25,71;42,86;17,14;18,86;58,29;56,25;5,63;27,00;25,88;23,66;13,37;3,09;1,03;4,00;0,00;2,00;0,00;10,00;8,00;10,00;2,00;0,00;0,00;0,00;0,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;34,00;311,67;5,67;5,67;22,67;44,20;22,10;17,00;83,30;46,47;9,07;28,33;22,67;25,76;12,36;5,15;0,00;1,00;2,00;4,00;3,00;16,00;4,00;19,00;4,00;0,00;1,00;2,00;0,00;1,00;1,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;29,00;400,20;5,80;5,80;23,20;49,47;23,88;22,18;76,76;51,31;7,81;31,23;17,85;23,82;7,25;3,11;0,00;3,00;1,00;3,00;2,00;20,00;4,00;10,00;1,00;0,00;0,00;0,00;0,00;2,00;1,00;1,00;1,00;3,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;38,00;401,71;10,86;2,71;16,29;48,36;24,18;19,00;72,55;60,35;14,53;20,12;31,29;43,14;5,14;4,11;1,03;2,00;0,00;5,00;3,00;12,00;8,00;16,00;0,00;0,00;1,00;0,00;1,00;1,00;1,00;3,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;49,00;397,44;5,44;5,44;21,78;57,75;24,50;19,25;96,25;70,16;4,45;25,61;16,70;25,02;4,17;13,55;2,09;6,00;0,00;4,00;2,00;16,00;6,00;16,00;2,00;2,00;1,00;1,00;0,00;1,00;2,00;2,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;35,00;385,00;5,00;5,00;15,00;48,33;20,00;16,67;103,33;65,63;9,84;24,06;13,13;42,21;9,26;6,18;1,03;4,00;1,00;7,00;2,00;14,00;4,00;23,00;4,00;0,00;1,00;1,00;0,00;0,00;0,00;2,00;0,00;1,00;0,00;1,00;1,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;45,00;388,13;5,63;5,63;16,88;48,46;34,62;8,65;138,46;66,38;6,75;30,38;28,13;40,81;10,47;6,28;1,05;5,00;1,00;6,00;0,00;7,00;4,00;17,00;4,00;0,00;0,00;0,00;0,00;4,00;3,00;2,00;0,00;5,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;35,00;484,17;11,67;5,83;17,50;70,00;17,50;24,50;134,75;76,77;3,39;28,23;19,19;51,47;12,35;9,26;1,03;4,00;4,00;3,00;3,00;14,00;12,00;18,00;4,00;0,00;0,00;0,00;1,00;2,00;1,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;34,00;419,33;5,67;2,83;28,33;80,53;16,11;28,63;103,79;72,53;10,20;31,73;19,27;51,00;11,69;5,31;0,00;4,00;5,00;3,00;3,00;9,00;6,00;22,00;6,00;0,00;0,00;0,00;0,00;2,00;1,00;0,00;0,00;3,00;0,00;0,00;1,00;1,00;1,00;0,00;0,00;1,00;0,00
2019-05-26;35,00;513,33;5,83;2,92;23,33;73,50;24,50;19,25;122,50;60,97;13,55;31,61;19,19;51,47;18,53;7,21;2,06;5,00;10,00;4,00;0,00;14,00;5,00;18,00;6,00;0,00;0,00;1,00;2,00;6,00;3,00;2,00;0,00;1,00;1,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-02;42,00;451,50;5,25;5,25;21,00;61,25;40,25;45,50;120,75;86,27;6,81;24,97;19,30;63,51;14,34;9,22;7,17;7,00;1,00;5,00;3,00;14,00;6,00;20,00;7,00;0,00;1,00;0,00;0,00;1,00;6,00;3,00;1,00;1,00;0,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-06-09;43,00;478,38;10,75;5,38;16,13;82,56;39,56;43,00;110,08;87,10;4,41;26,46;23,15;65,52;23,55;7,17;4,10;7,00;3,00;5,00;5,00;15,00;12,00;15,00;9,00;1,00;4,00;0,00;0,00;4,00;3,00;9,00;1,00;2,00;1,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-06-16;40,00;542,86;5,71;5,71;17,14;83,48;27,83;36,52;139,13;113,14;9,14;28,57;34,29;40,00;14,74;10,53;3,16;10,00;3,00;9,00;5,00;21,00;11,00;23,00;7,00;0,00;0,00;0,00;2,00;8,00;1,00;3,00;0,00;1,00;1,00;0,00;1,00;1,00;1,00;0,00;0,00;1,00;0,00
2019-06-23;45,00;562,50;11,25;5,63;22,50;70,96;24,23;41,54;103,85;100,13;10,13;19,13;20,25;56,51;20,93;6,28;7,33;2,00;6,00;3,00;2,00;17,00;5,00;19,00;6,00;0,00;1,00;3,00;0,00;3,00;3,00;6,00;1,00;1,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-30;50,00;505,56;5,56;5,56;22,22;65,52;27,59;44,83;100,00;98,86;5,68;20,45;20,45;60,42;20,83;9,38;6,25;12,00;4,00;8,00;2,00;14,00;10,00;17,00;7,00;2,00;1,00;0,00;1,00;5,00;2,00;6,00;1,00;1,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-07;41,00;492,00;10,25;5,13;25,63;71,75;44,42;54,67;126,42;84,28;11,39;36,44;26,19;70,44;22,08;9,46;3,15;5,00;5,00;2,00;4,00;12,00;7,00;20,00;4,00;0,00;0,00;2,00;1,00;6,00;3,00;2,00;1,00;5,00;3,00;1,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-14;45,00;523,13;5,63;11,25;16,88;84,81;19,04;46,73;133,27;95,63;6,75;28,13;23,63;62,79;23,02;5,23;6,28;8,00;4,00;7,00;4,00;10,00;6,00;16,00;6,00;0,00;0,00;1,00;1,00;1,00;3,00;7,00;1,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-21;42,00;477,75;5,25;2,63;15,75;65,52;35,28;43,68;112,56;97,26;9,95;29,84;32,05;84,00;20,49;13,32;4,10;7,00;5,00;7,00;4,00;14,00;2,00;20,00;9,00;1,00;1,00;1,00;2,00;1,00;2,00;3,00;1,00;3,00;1,00;1,00;3,00;0,00;0,00;1,00;0,00;0,00;0,00
2019-07-28;43,00;467,63;10,75;5,38;16,13;84,28;29,24;32,68;113,52;78,08;10,18;24,89;28,29;69,22;19,93;11,54;1,05;4,00;6,00;6,00;0,00;18,00;5,00;12,00;4,00;1,00;0,00;0,00;1,00;0,00;0,00;4,00;0,00;3,00;0,00;2,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00
2019-08-04;51,00;510,00;11,33;5,67;28,33;61,20;27,20;35,70;98,60;68,00;7,93;34,00;22,67;79,10;19,78;11,45;11,45;7,00;2,00;8,00;5,00;9,00;2,00;21,00;6,00;0,00;2,00;1,00;0,00;6,00;2,00;6,00;1,00;2,00;0,00;1,00;2,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-08-11;36,00;437,14;5,14;5,14;15,43;75,43;32,57;27,43;114,86;61,88;10,13;31,50;25,88;55,54;17,49;17,49;8,23;5,00;8,00;7,00;3,00;10,00;7,00;15,00;5,00;0,00;3,00;0,00;2,00;2,00;3,00;3,00;0,00;2,00;0,00;0,00;3,00;2,00;1,00;0,00;1,00;0,00;0,00
2019-08-18;41,00;456,13;5,13;5,13;30,75;59,79;30,75;23,92;88,83;55,41;15,51;28,81;17,73;42,03;10,25;88,15;5,13;11,00;3,00;7,00;0,00;22,00;5,00;15,00;4,00;1,00;0,00;1,00;0,00;2,00;2,00;5,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-25;37,00;507,43;5,29;5,29;21,14;63,91;26,91;15,14;109,32;53,82;5,61;19,06;16,82;62,69;19,53;102,78;5,14;7,00;6,00;8,00;3,00;16,00;7,00;17,00;5,00;0,00;0,00;2,00;0,00;3,00;3,00;2,00;2,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00
2019-09-01;46,00;398,67;5,11;2,56;30,67;44,30;20,44;20,44;85,19;70,68;10,10;32,54;19,07;55,20;15,33;19,42;3,07;5,00;2,00;8,00;2,00;16,00;7,00;18,00;3,00;0,00;1,00;0,00;0,00;3,00;2,00;3,00;1,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00
2019-09-08;52,00;395,20;10,40;5,20;20,80;45,07;27,73;13,87;100,53;41,83;7,91;35,04;29,39;49,92;18,72;7,28;2,08;5,00;4,00;6,00;4,00;9,00;2,00;16,00;5,00;1,00;0,00;0,00;0,00;5,00;2,00;2,00;2,00;2,00;0,00;0,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00
2019-09-15;40,00;400,00;5,71;5,71;17,14;59,13;17,39;19,13;88,70;45,56;8,89;25,56;28,89;45,13;3,08;9,23;2,05;3,00;1,00;3,00;3,00;11,00;0,00;20,00;3,00;0,00;0,00;1,00;0,00;1,00;3,00;2,00;0,00;2,00;0,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00
2019-09-22;41,00;379,25;5,13;5,13;15,38;59,79;25,63;15,38;70,04;44,32;5,54;22,16;22,16;27,68;4,10;8,20;2,05;4,00;1,00;2,00;6,00;8,00;6,00;14,00;3,00;0,00;1,00;0,00;1,00;0,00;2,00;1,00;0,00;3,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-09-29;29,00;388,60;5,80;5,80;23,20;39,24;17,06;17,06;88,71;53,54;7,81;30,12;21,19;26,93;7,25;5,18;1,04;4,00;1,00;2,00;2,00;13,00;5,00;15,00;2,00;0,00;0,00;0,00;1,00;1,00;3,00;0,00;0,00;2,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-06;33,00;335,50;5,50;2,75;27,50;43,42;24,32;12,16;67,74;50,07;5,69;29,59;20,48;23,72;8,25;4,13;2,06;5,00;2,00;6,00;1,00;10,00;1,00;14,00;3,00;0,00;0,00;0,00;0,00;5,00;4,00;4,00;0,00;5,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00
2019-10-13;23,00;350,75;5,75;5,75;11,50;39,43;14,79;6,57;64,07;33,95;3,29;25,19;15,33;21,00;7,00;2,00;0,00;2,00;2,00;3,00;2,00;5,00;1,00;17,00;6,00;0,00;1,00;0,00;0,00;2,00;0,00;0,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;0,00
2019-10-20;30,00;312,00;6,00;3,00;24,00;31,76;21,18;10,59;56,47;43,85;10,38;23,08;16,15;12,86;4,29;2,14;1,07;3,00;1,00;4,00;1,00;9,00;4,00;10,00;1,00;0,00;1,00;0,00;0,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00
2019-10-27;17,00;198,33;5,67;0,00;17,00;20,40;15,30;10,20;40,80;30,60;9,07;18,13;18,13;7,44;8,50;5,31;2,13;1,00;4,00;4,00;0,00;7,00;1,00;9,00;1,00;0,00;1,00;0,00;0,00;2,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00
