Semaine;Polynesie (PF);Nouvelle Caledonie (NC);Fidji (FJ);Vanuatu (VU);Iles Cook (CK)
2019-01-06;30,00;0,00;13,00;3,00;5,00
2019-01-13;29,00;2,00;15,00;2,00;2,00
2019-01-20;19,00;2,00;19,00;2,00;5,00
2019-01-27;24,00;0,00;19,00;0,00;2,00
2019-02-03;12,00;5,00;22,00;2,00;0,00
2019-02-10;23,00;0,00;10,00;5,00;10,00
2019-02-17;23,00;5,00;23,00;3,00;10,00
2019-02-24;31,00;8,00;34,00;3,00;3,00
2019-03-03;5,00;2,00;40,00;0,00;5,00
2019-03-10;17,00;7,00;20,00;2,00;2,00
2019-03-17;31,00;0,00;32,00;5,00;3,00
2019-03-24;18,00;8,00;26,00;5,00;3,00
2019-03-31;21,00;0,00;13,00;3,00;3,00
2019-04-07;10,00;5,00;20,00;0,00;5,00
2019-04-14;20,00;0,00;28,00;3,00;8,00
2019-04-21;14,00;3,00;19,00;0,00;3,00
2019-04-28;23,00;0,00;25,00;0,00;8,00
2019-05-05;20,00;5,00;15,00;5,00;7,00
2019-05-12;8,00;0,00;26,00;3,00;3,00
2019-05-19;23,00;0,00;20,00;0,00;5,00
2019-05-26;24,00;3,00;5,00;3,00;5,00
2019-06-02;18,00;5,00;13,00;3,00;3,00
2019-06-09;23,00;3,00;31,00;3,00;8,00
2019-06-16;34,00;10,00;21,00;0,00;0,00
2019-06-23;10,00;5,00;21,00;8,00;5,00
2019-06-30;28,00;5,00;23,00;0,00;18,00
2019-07-07;25,00;0,00;20,00;5,00;3,00
2019-07-14;5,00;11,00;13,00;3,00;3,00
2019-07-21;28,00;3,00;11,00;0,00;6,00
2019-07-28;16,00;0,00;32,00;0,00;0,00
2019-08-04;24,00;0,00;14,00;3,00;0,00
2019-08-11;10,00;0,00;26,00;0,00;8,00
2019-08-18;21,00;3,00;24,00;0,00;0,00
2019-08-25;8,00;8,00;21,00;13,00;5,00
2019-09-01;8,00;2,00;20,00;10,00;5,00
2019-09-08;23,00;3,00;10,00;8,00;3,00
2019-09-15;18,00;3,00;20,00;5,00;5,00
2019-09-22;35,00;7,00;37,00;10,00;5,00
2019-09-29;27,00;2,00;22,00;2,00;7,00
2019-10-06;25,00;5,00;37,00;0,00;2,00
2019-10-13;20,00;2,00;27,00;5,00;0,00
2019-10-20;17,00;5,00;34,00;0,00;2,00
2019-10-27;14,00;7,00;19,00;7,00;0,00
