Semaine;Nice (FR);reta (SI);Agadir (MA);Djerba (TN);Corfu (GR);Santorini Island (GR);Faro (PT);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;36,00;4,00;9,00;8,69;17,38;111,00;18,00;0,00;21,60;36,00;0,00;0,00;9,00;0,00;0,00;8,69;4,97;31,03;4,97;0,00;9,39;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;38,00;4,00;4,00;3,68;24,52;93,54;38,00;0,00;30,40;38,00;0,00;4,00;8,00;0,00;0,00;12,26;8,58;33,10;3,68;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;33,00;8,00;20,00;0,00;20,31;87,00;27,00;0,00;16,50;66,00;8,25;4,00;0,00;0,00;0,00;3,81;3,81;20,31;12,69;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;45,00;8,00;12,00;12,50;32,50;117,00;27,00;0,00;30,00;75,00;7,50;8,00;8,00;0,00;0,00;8,75;8,75;61,25;16,25;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;30,00;0,00;30,00;8,75;17,50;102,00;33,00;0,00;15,00;60,00;7,50;17,00;9,00;13,00;0,00;12,50;8,75;26,25;3,75;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;34,00;0,00;26,00;0,00;25,50;98,91;24,73;8,50;42,50;93,50;8,50;13,00;17,00;0,00;0,00;25,50;0,00;29,14;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;44,00;4,00;17,00;0,00;22,63;113,14;28,29;7,33;51,33;51,33;7,33;4,00;9,00;17,00;4,00;8,80;12,57;17,60;12,57;0,00;4,71;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;30,00;9,00;26,00;3,75;17,50;144,00;33,00;15,00;30,00;60,00;7,50;0,00;9,00;4,00;4,00;21,25;17,50;30,00;3,75;0,00;4,74;0,00;9,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00
2019-03-03;57,00;26,00;39,00;0,00;48,33;126,00;18,00;0,00;16,29;65,14;8,14;4,00;4,00;4,00;0,00;8,67;4,96;26,02;0,00;0,00;0,00;9,50;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;35,00;4,00;18,00;5,00;26,25;102,08;29,17;17,50;26,25;61,25;8,75;0,00;4,00;4,00;0,00;13,75;5,00;31,25;17,50;0,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
