Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;100,00;13,00;7,00;7,00;7,00;7,00;13,00;7,00;0,00;7,00;0,00;27,00;40,00;0,00;0,00;13,00;0,00;7,00;0,00;0,00;0,00;0,00;7,00;0,00;13,00;7,00;0,00;0,00;0,00;13,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;60,27;0,00;0,00;0,00;0,00
2019-01-13;57,00;6,00;19,00;0,00;6,00;6,00;0,00;0,00;0,00;13,00;6,00;19,00;25,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;6,00;6,00;0,00;0,00;0,00;0,00;13,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;25,02;12,51;13,00;0,00;0,00
2019-01-20;18,00;12,00;12,00;0,00;0,00;18,00;0,00;6,00;0,00;6,00;6,00;12,00;24,00;0,00;0,00;24,00;0,00;0,00;0,00;18,00;0,00;0,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;12,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;78,92;5,54;0,00;12,00;6,00
2019-01-27;61,00;0,00;0,00;6,00;0,00;0,00;6,00;0,00;0,00;6,00;0,00;6,00;31,00;0,00;0,00;6,00;0,00;12,00;0,00;18,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;6,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;98,43;0,00;6,00;12,00;0,00
2019-02-03;51,00;6,00;13,00;6,00;0,00;13,00;0,00;6,00;0,00;0,00;0,00;6,00;26,00;0,00;0,00;0,00;0,00;6,00;0,00;26,00;0,00;0,00;0,00;0,00;6,00;6,00;0,00;0,00;6,00;13,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;6,89;38,59;12,41;0,00;32,00;6,00
2019-02-10;32,00;0,00;13,00;0,00;0,00;6,00;6,00;13,00;0,00;6,00;0,00;6,00;13,00;0,00;0,00;6,00;0,00;6,00;0,00;6,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;45,91;12,52;0,00;19,00;6,00
2019-02-17;59,00;0,00;7,00;0,00;6,00;13,00;0,00;0,00;7,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;7,00;7,00;0,00;39,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;85,69;7,02;0,00;13,00;7,00
2019-02-24;45,00;13,00;0,00;0,00;6,00;13,00;0,00;6,00;0,00;0,00;0,00;6,00;32,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;6,00;0,00;0,00;6,00;0,00;6,00;0,00;13,00;6,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;64,69;19,69;0,00;13,00;6,00
2019-03-03;33,00;0,00;13,00;7,00;7,00;7,00;0,00;7,00;0,00;0,00;0,00;13,00;20,00;0,00;0,00;13,00;0,00;0,00;0,00;7,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,88;33,00;26,13;0,00;0,00;13,00
2019-03-10;39,00;13,00;13,00;13,00;13,00;7,00;0,00;0,00;0,00;0,00;0,00;7,00;13,00;0,00;0,00;0,00;7,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,72;13,45;0,00;7,00;0,00
