Semaine;Réunion (RE);Mayotte (YT);Maurice (MU);Seychelles (SC);Zanzibar (TZ);Madagascar (MG)
2019-01-06;48,00;8,00;30,00;10,00;8,00;6,00
2019-01-13;45,00;8,00;29,00;10,00;8,00;5,00
2019-01-20;42,00;12,00;26,00;14,00;9,00;7,00
2019-01-27;40,00;7,00;30,00;11,00;2,00;3,00
2019-02-03;35,00;8,00;28,00;14,00;0,00;5,00
2019-02-10;39,00;7,00;30,00;13,00;0,50;4,00
2019-02-17;40,00;18,00;28,00;10,00;0,50;4,00
2019-02-24;37,00;10,00;25,00;9,00;0,00;5,00
2019-03-03;38,00;10,00;28,00;11,00;0,50;4,00
2019-03-10;34,00;8,00;20,00;8,00;0,00;5,00
2019-03-17;34,00;8,00;24,00;10,00;0,50;4,00
2019-03-24;38,00;9,00;25,00;9,00;0,00;6,00
2019-03-31;38,00;7,00;26,00;11,00;8,00;5,00
2019-04-07;42,00;10,00;26,00;9,00;10,00;3,00
2019-04-14;40,00;9,00;24,00;10,00;7,00;2,00
2019-04-21;42,00;12,00;20,00;9,00;7,00;3,00
2019-04-28;44,00;9,00;21,00;10,00;8,00;3,00
2019-05-05;43,00;9,00;21,00;9,00;6,00;4,00
2019-05-12;38,00;12,00;18,00;9,00;6,00;3,00
2019-05-19;43,00;8,00;19,00;8,00;7,00;3,00
2019-05-26;39,00;7,00;17,00;6,00;7,00;4,00
2019-06-02;42,00;8,00;19,00;7,00;6,00;4,00
2019-06-09;38,00;9,00;21,00;7,00;9,00;4,00
2019-06-16;35,00;12,00;24,00;10,00;12,00;5,00
2019-06-23;39,00;13,00;21,00;8,00;7,00;5,00
2019-06-30;38,00;11,00;24,00;7,00;7,00;7,00
2019-07-07;43,00;12,00;20,00;12,00;11,00;10,00
2019-07-14;47,00;7,00;19,00;12,00;7,00;5,00
2019-07-21;39,00;7,00;24,00;11,00;9,00;6,00
2019-07-28;44,00;10,00;24,00;12,00;9,00;4,00
2019-08-04;46,00;10,00;27,00;13,00;9,00;8,00
2019-08-11;45,00;11,00;28,00;18,00;8,00;5,00
2019-08-18;41,00;9,00;25,00;14,00;11,00;6,00
2019-08-25;41,00;9,00;28,00;13,00;13,00;3,00
2019-09-01;43,00;9,00;23,00;9,00;10,00;4,00
2019-09-08;37,00;6,00;30,00;8,00;8,00;4,00
2019-09-15;41,00;9,00;24,00;10,00;11,00;3,00
2019-09-22;41,00;10,00;24,00;6,00;9,00;5,00
2019-09-29;44,00;6,00;24,00;7,00;8,00;3,00
2019-10-06;41,00;11,00;23,00;16,00;10,00;6,00
2019-10-13;44,00;10,00;23,00;11,00;9,00;5,00
2019-10-20;61,00;34,00;28,00;11,00;9,00;5,00
2019-10-27;46,00;11,00;28,00;17,00;9,00;3,00
2019-11-03;39,00;10,00;28,00;8,00;9,00;4,00
2019-11-10;44,00;9,00;22,00;10,00;8,00;4,00
2019-11-17;41,00;10,00;22,00;10,00;11,00;4,00
2019-11-24;41,00;8,00;20,00;8,00;6,00;3,00
2019-12-01;38,00;9,00;22,00;10,00;7,00;3,00
2019-12-08;39,00;20,00;23,00;7,00;6,00;4,00
2019-12-15;34,00;8,00;24,00;10,00;8,00;4,00
2019-12-22;49,00;7,00;38,00;12,00;18,00;4,00
2019-12-29;51,00;8,00;34,00;13,00;13,00;5,00
2020-01-05;45,00;9,00;33,00;10,00;12,00;5,00
2020-01-12;49,00;9,00;32,00;12,00;13,00;5,00
2020-01-19;47,00;9,00;28,00;11,00;11,00;4,00
2020-01-26;48,00;9,00;43,00;10,00;10,00;6,00
2020-02-02;47,00;5,00;34,00;9,00;8,00;4,00
2020-02-09;46,00;10,00;27,00;14,00;11,00;4,00
2020-02-16;43,00;8,00;27,00;12,00;12,00;5,00
2020-02-23;38,00;11,00;26,00;11,00;11,00;3,00
2020-03-01;43,00;9,00;26,00;11,00;8,00;5,00
2020-03-08;44,00;8,00;32,00;10,00;6,00;5,00
2020-03-15;41,00;7,00;21,00;8,00;3,00;4,00
2020-03-22;34,00;10,00;18,00;7,00;2,00;2,00
2020-03-29;32,00;9,00;14,00;18,00;4,00;3,00
2020-04-05;27,00;10,00;10,00;6,00;3,00;1,00
2020-04-12;33,00;9,00;14,00;7,00;6,00;3,00
2020-04-19;28,00;11,00;10,00;5,00;4,00;3,00
2020-04-26;32,00;9,00;14,00;5,00;2,00;2,00
2020-05-03;30,00;23,00;12,00;4,00;4,00;3,00
2020-05-10;28,00;14,00;11,00;3,00;2,00;2,00
2020-05-17;31,00;11,00;9,00;4,00;3,00;3,00
2020-05-24;28,00;14,00;12,00;4,00;2,00;2,00
2020-05-31;30,00;8,00;14,00;4,00;3,00;3,00
2020-06-07;31,00;12,00;14,00;4,00;3,00;2,00
2020-06-14;37,00;10,00;13,00;5,00;3,00;3,00
2020-06-21;35,00;11,00;11,00;5,00;3,00;2,00
2020-06-28;34,00;10,00;10,00;4,00;1,00;3,00
2020-07-05;37,00;12,00;11,00;6,00;4,00;2,00
2020-07-12;34,00;11,00;11,00;8,00;3,00;2,00
2020-07-19;38,00;10,00;11,00;7,00;2,00;2,00
2020-07-26;38,00;9,00;12,00;6,00;2,00;3,00
2020-08-02;38,00;8,00;29,00;6,00;3,00;1,00
2020-08-09;36,00;7,00;51,00;7,00;3,00;3,00
2020-08-16;46,00;11,00;27,00;4,00;9,00;4,00
2020-08-23;40,00;7,00;12,00;5,00;5,00;4,00
2020-08-30;40,00;8,00;19,00;4,00;3,00;2,00
2020-09-06;42,00;9,00;10,00;3,00;3,00;4,00
2020-09-13;38,00;8,00;11,00;4,00;5,00;3,00
2020-09-20;36,00;8,00;12,00;3,00;5,00;2,00
2020-09-27;36,00;10,00;9,00;3,00;4,00;2,00
2020-10-04;37,00;7,00;9,00;4,00;3,00;3,00
2020-10-11;47,00;10,00;9,00;3,00;4,00;2,00
2020-10-18;36,00;7,00;9,00;4,00;5,00;2,00
2020-10-25;42,00;8,00;7,00;2,00;1,00;1,00
2020-11-01;33,00;6,00;8,00;3,00;3,00;1,00
2020-11-08;34,00;6,00;10,00;3,00;2,00;3,00
2020-11-15;35,00;8,00;7,00;3,00;3,00;2,00
2020-11-22;36,00;9,00;7,00;4,00;7,00;2,00
2020-11-29;36,00;6,00;7,00;3,00;4,00;2,00
2020-12-06;44,00;10,00;9,00;4,00;3,00;2,00
2020-12-13;55,00;16,00;8,00;5,00;6,00;3,00
2020-12-20;45,00;7,00;10,00;4,00;11,00;1,00
2020-12-27;55,00;8,00;11,00;6,00;12,00;3,00
2021-01-03;63,00;8,00;11,00;6,00;10,00;2,00
2021-01-10;100,00;10,00;12,00;7,00;11,00;4,00
2021-01-17;66,00;11,00;15,00;5,00;11,00;3,00
2021-01-24;53,00;12,00;11,00;5,00;8,00;3,00
2021-01-31;44,00;17,00;9,00;4,00;5,00;2,00
2021-02-07;38,00;11,00;10,00;4,00;5,00;3,00
2021-02-14;44,00;9,00;8,00;5,00;5,00;1,00
2021-02-21;39,00;15,00;8,00;4,00;8,00;2,00
2021-02-28;44,00;11,00;10,00;7,00;4,00;2,00
2021-03-07;39,00;9,00;12,00;7,00;48,00;2,00
2021-03-14;35,00;10,00;9,00;6,00;7,00;2,00
2021-03-21;36,00;9,00;7,00;5,00;13,00;1,00
2021-03-28;35,00;9,00;9,00;5,00;4,00;3,00
2021-04-04;31,00;6,00;7,00;6,00;5,00;2,00
2021-04-11;37,00;9,00;8,00;7,00;3,00;2,00
2021-04-18;37,00;9,00;8,00;7,00;6,00;3,00
2021-04-25;34,00;8,00;11,00;7,00;5,00;2,00
2021-05-02;39,00;8,00;9,00;16,00;6,00;2,00
2021-05-09;38,00;6,00;10,00;31,00;16,00;2,00
2021-05-16;40,00;10,00;10,00;12,00;8,00;2,00
2021-05-23;42,00;7,00;11,00;7,00;9,00;3,00
2021-05-30;39,00;9,00;12,00;20,00;8,00;3,00
2021-06-06;42,00;10,00;11,00;10,00;7,00;3,00
2021-06-13;39,00;8,00;14,00;9,00;7,00;3,00
2021-06-20;39,00;7,00;14,00;10,00;11,00;3,00
2021-06-27;47,00;10,00;10,00;6,00;10,00;3,00
2021-07-04;41,00;8,00;10,00;6,00;9,00;2,00
2021-07-11;50,00;11,00;11,00;13,00;9,00;2,00
2021-07-18;39,00;10,00;9,00;7,00;19,00;3,00
2021-07-25;66,00;9,00;15,00;8,00;12,00;3,00
2021-08-01;45,00;9,00;15,00;6,00;11,00;2,00
2021-08-08;45,00;11,00;15,00;10,00;13,00;4,00
2021-08-15;44,00;6,00;15,00;9,00;13,00;2,00
2021-08-22;40,00;9,00;18,00;8,00;16,00;2,00
2021-08-29;48,00;8,00;13,00;9,00;12,00;3,00
2021-09-05;44,00;9,00;13,00;9,00;12,00;3,00
2021-09-12;44,00;9,00;18,00;9,00;11,00;2,00
